queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
3,f877a1dc60e3,Eu,63,3,CCCCP(=S)(CCCC)CP(=S)(CCCC)CCCC,"[5, 12]",2,9,4,water,63|CCCCP(=S)(CCCC)CP(=S)(CCCC)CCCC|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig4_water_f877a1dc60e3.xyz,1,large_ligand_deep,1958781998,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_family_regenerated/conformer_deep/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_water_f877a1dc60e3_attempt01_large_ligand_deep.xyz,data/processed/geometries_family_regenerated/conformer_deep/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_water_f877a1dc60e3_attempt01_large_ligand_deep.mol2,-7475.5886460091,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O237:2.768;S13:2.891;S72:2.944;S183:3.010;S65:3.055;S124:3.057;S190:3.107;S131:3.139;S6:3.175,3.1754,4.0975,0.9221,O237:2.768;S13:2.891;S72:2.944;S183:3.010;S65:3.055;S124:3.057;S190:3.107;S131:3.139;S6:3.175;P12:4.097;P5:4.118;P71:4.308;P64:4.394;P182:4.434;P189:4.533;P130:4.603;P123:4.769
3,f877a1dc60e3,Eu,63,3,CCCCP(=S)(CCCC)CP(=S)(CCCC)CCCC,"[5, 12]",2,9,4,water,63|CCCCP(=S)(CCCC)CP(=S)(CCCC)CCCC|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig4_water_f877a1dc60e3.xyz,2,standard,1958789917,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_family_regenerated/conformer_deep/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_water_f877a1dc60e3_attempt02_standard.xyz,data/processed/geometries_family_regenerated/conformer_deep/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_water_f877a1dc60e3_attempt02_standard.mol2,-7475.835510356535,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O237:2.641;S6:2.814;S13:2.867;S124:2.878;S72:2.914;S183:2.968;S190:3.123;S131:3.130;S65:3.267,3.2666,4.1301,0.8635,O237:2.641;S6:2.814;S13:2.867;S124:2.878;S72:2.914;S183:2.968;S190:3.123;S131:3.130;S65:3.267;P5:4.130;P12:4.242;P71:4.351;P182:4.446;P130:4.511;P123:4.533;P64:4.635;P189:4.687
