queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
257,9fc207440e89,Tm,69,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,8,1,nitrate,69|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tm/Tm_Z69_ox3_CN8_nlig1_nitrate_9fc207440e89.xyz,1,standard,127104188,40,5,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
257,9fc207440e89,Tm,69,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,8,1,nitrate,69|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tm/Tm_Z69_ox3_CN8_nlig1_nitrate_9fc207440e89.xyz,2,standard,127112107,50,6,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
5,6774552a35e9,Ce,58,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 8, 15, 18, 19]",8,9,1,nitrate,58|O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_6774552a35e9.xyz,1,standard,1119277098,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_6774552a35e9_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_6774552a35e9_attempt01_standard_dup2.mol2,-2297.583504519066,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O1:2.095;O19:2.101;O8:2.119;O47:2.345;N16:2.469;N5:2.648;O20:2.997;O3:3.646;O9:3.833,3.8333,5.1718,1.3385,O1:2.095;O19:2.101;O8:2.119;O47:2.345;N16:2.469;N5:2.648;O20:2.997;O3:3.646;O9:3.833;O23:5.172;O24:5.777
5,6774552a35e9,Ce,58,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 8, 15, 18, 19]",8,9,1,nitrate,58|O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_6774552a35e9.xyz,2,standard,1119285017,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_6774552a35e9_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_6774552a35e9_attempt02_standard_dup2.mol2,-2300.6261567461574,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O23:2.136;O1:2.244;O8:2.246;O19:2.252;O47:2.336;N5:2.626;N16:2.680;O24:3.410;O9:4.212,4.2123,4.2387,0.0263,O23:2.136;O1:2.244;O8:2.246;O19:2.252;O47:2.336;N5:2.626;N16:2.680;O24:3.410;O9:4.212;O20:4.239;O3:4.366
41,28e521f57d3b,Eu,63,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 10, 13, 14, 17]",8,9,1,nitrate,63|O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_28e521f57d3b.xyz,1,standard,38409395,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_28e521f57d3b_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_28e521f57d3b_attempt01_standard_dup2.mol2,-1898.278178108227,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O1:2.221;O14:2.226;O18:2.241;O8:2.431;N5:2.477;O38:2.543;N11:2.633;O3:4.244;O15:4.301,4.3006,4.3603,0.0597,O1:2.221;O14:2.226;O18:2.241;O8:2.431;N5:2.477;O38:2.543;N11:2.633;O3:4.244;O15:4.301;O19:4.360
41,28e521f57d3b,Eu,63,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 10, 13, 14, 17]",8,9,1,nitrate,63|O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_28e521f57d3b.xyz,2,standard,38417314,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_28e521f57d3b_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_28e521f57d3b_attempt02_standard_dup2.mol2,-1899.0203195182526,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O1:2.115;O18:2.118;O14:2.214;O38:2.320;O8:2.426;N5:2.488;N11:2.681;O3:3.782;O19:4.212,4.2119,4.2180,0.0061,O1:2.115;O18:2.118;O14:2.214;O38:2.320;O8:2.426;N5:2.488;N11:2.681;O3:3.782;O19:4.212;O15:4.218
77,192ab9676a31,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,"[18, 23, 29]",3,9,3,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_192ab9676a31.xyz,1,standard,811334883,40,5,250,0,accepted,True,,data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_192ab9676a31_attempt01_standard.xyz,data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_192ab9676a31_attempt01_standard.mol2,-12322.061123066593,,OK,nearest_coreCN_qc_ok,O281:2.281;O161:2.312;O19:2.374;O292:2.407;O150:2.438;O30:2.587;O155:2.607;O286:2.620;O24:2.860,2.8595,4.1777,1.3182,O281:2.281;O161:2.312;O19:2.374;O292:2.407;O150:2.438;O30:2.587;O155:2.607;O286:2.620;O24:2.860;N271:4.178;N162:4.343;N9:4.379;N140:4.527;N293:4.573;N31:4.786
113,8085bc618fe6,Eu,63,3,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,"[10, 14]",2,9,4,nitrate,63|CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_8085bc618fe6.xyz,1,standard,2062743430,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_8085bc618fe6_attempt01_standard.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_8085bc618fe6_attempt01_standard.mol2,-8552.61799092123,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O75:2.247;O11:2.397;O203:2.484;O15:2.497;O139:2.500;O79:2.670;O257:2.837;O143:3.366;O207:3.731,3.7310,4.3252,0.5941,O75:2.247;O11:2.397;O203:2.484;O15:2.497;O139:2.500;O79:2.670;O257:2.837;O143:3.366;O207:3.731;N69:4.325;N5:4.615;N197:4.663;N16:4.710;N133:4.736;N80:4.752;N144:5.632;N208:5.785
113,8085bc618fe6,Eu,63,3,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,"[10, 14]",2,9,4,nitrate,63|CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_8085bc618fe6.xyz,2,standard,2062751349,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_8085bc618fe6_attempt02_standard.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_8085bc618fe6_attempt02_standard.mol2,-8553.313491990568,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O75:2.213;O143:2.319;O257:2.450;O79:2.524;O15:2.565;O207:2.647;O139:2.742;O203:2.937;O11:3.248,3.2475,4.2088,0.9613,O75:2.213;O143:2.319;O257:2.450;O79:2.524;O15:2.565;O207:2.647;O139:2.742;O203:2.937;O11:3.248;N144:4.209;N69:4.352;N80:4.691;N16:4.832;N208:4.869;N133:4.940;N197:5.159;N5:5.379
149,448f0760f6e6,La,57,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 8, 15, 18, 19]",8,9,1,nitrate,57|O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig1_nitrate_448f0760f6e6.xyz,1,standard,1548611671,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_448f0760f6e6_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_448f0760f6e6_attempt01_standard_dup2.mol2,-2298.820413319122,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O19:2.097;O8:2.128;O1:2.167;O47:2.383;N16:2.638;N5:2.770;O3:2.923;O20:3.268;O9:4.191,4.1911,5.3079,1.1168,O19:2.097;O8:2.128;O1:2.167;O47:2.383;N16:2.638;N5:2.770;O3:2.923;O20:3.268;O9:4.191;O23:5.308;O24:5.875
