enabled,build_id,ligType,DENTATE,COORDLIST,note
1,bf9e03e12455,tetra_trigonal_pyramidal,4,"[18, 20, 23, 43]",Focused no-XYZ regeneration rescue; preserve O-N-O-O donor template
1,1c021f009609,tri_mer_bent,3,"[8, 11, 31]",Focused no-XYZ regeneration rescue; preserve N-O-O donor template
