simplified_ligand,n_metals,n_coord_modes,metals,coord_modes,n_rows
False,14,121,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb","[0, 13, 19, 22] || [0, 15, 21, 24] || [0, 15, 25, 28] || [0, 17] || [0, 2, 4, 7, 10, 13, 14, 17] || [0, 2, 4, 7, 8, 15, 18, 19] || [0, 25, 38, 41] || [0, 2]",1262
True,13,5,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Yb","[18, 20, 23, 43] || [18, 20, 23] || [22, 27, 33] || [26, 28, 31, 34] || [26, 28, 31]",26
