queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
249,854baef45df8,Nd,60,3,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,"[19, 21, 24]",3,9,3,water,60|CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig3_water_854baef45df8.xyz,1,standard,306831118,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig3_water_854baef45df8_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig3_water_854baef45df8_attempt01_standard.mol2,-11289.800846830245,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O20:2.322;O25:2.394;O22:2.515;N145:2.673;O141:2.740;O139:2.906;O260:3.062;O263:3.080;O258:3.252,3.2518,3.3950,0.1432,O20:2.322;O25:2.394;O22:2.515;N145:2.673;O141:2.740;O139:2.906;O260:3.062;O263:3.080;O258:3.252;O144:3.395;N9:4.523;N26:4.554;N128:5.035;N247:5.091;N264:5.284
249,854baef45df8,Nd,60,3,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,"[19, 21, 24]",3,9,3,water,60|CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig3_water_854baef45df8.xyz,2,standard,306839037,50,6,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_water_854baef45df8_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_water_854baef45df8_attempt02_standard.mol2,-11293.712423578758,,OK,nearest_coreCN_qc_ok,O139:2.369;O258:2.377;O25:2.396;O263:2.397;O20:2.417;O144:2.468;O260:2.802;O141:2.828;O22:2.851,2.8506,4.5647,1.7141,O139:2.369;O258:2.377;O25:2.396;O263:2.397;O20:2.417;O144:2.468;O260:2.802;O141:2.828;O22:2.851;N128:4.565;N247:4.596;N26:4.598;N264:4.601;N9:4.642;N145:4.673
33,e95e58f27630,Er,68,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,8,1,nitrate,68|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Er/Er_Z68_ox3_CN8_nlig1_nitrate_e95e58f27630.xyz,1,standard,1801332784,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Er/Er_Z68_ox3_CN8_nlig1_nitrate_e95e58f27630_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Er/Er_Z68_ox3_CN8_nlig1_nitrate_e95e58f27630_attempt01_standard_dup2.mol2,-4800.678241471723,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O52:2.084;O114:2.096;O113:2.100;O60:2.158;N54:2.447;N111:2.451;N57:2.503;O112:3.615,3.6154,3.7397,0.1243,O52:2.084;O114:2.096;O113:2.100;O60:2.158;N54:2.447;N111:2.451;N57:2.503;O112:3.615;N44:3.740;N7:4.204
33,e95e58f27630,Er,68,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,8,1,nitrate,68|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Er/Er_Z68_ox3_CN8_nlig1_nitrate_e95e58f27630.xyz,2,standard,1801340703,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Er/Er_Z68_ox3_CN8_nlig1_nitrate_e95e58f27630_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Er/Er_Z68_ox3_CN8_nlig1_nitrate_e95e58f27630_attempt02_standard_dup2.mol2,-4796.47581244679,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O113:1.997;O114:2.050;O52:2.228;O60:2.241;N111:2.358;N57:2.419;N54:2.441;O112:3.509,3.5086,3.7353,0.2267,O113:1.997;O114:2.050;O52:2.228;O60:2.241;N111:2.358;N57:2.419;N54:2.441;O112:3.509;N7:3.735;N44:3.976
69,1f1106359435,Eu,63,3,CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,"[10, 14, 18, 30]",4,9,2,nitrate,63|CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_1f1106359435.xyz,1,standard,1724577200,40,5,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
69,1f1106359435,Eu,63,3,CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,"[10, 14, 18, 30]",4,9,2,nitrate,63|CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_1f1106359435.xyz,2,standard,1724585119,50,6,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
105,e53e8fa1150f,Eu,63,3,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],"[9, 26, 44]",3,9,3,water,63|CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-]|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_water_e53e8fa1150f.xyz,1,standard,108793303,40,5,250,0,accepted,True,,data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_water_e53e8fa1150f_attempt01_standard.xyz,data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_water_e53e8fa1150f_attempt01_standard.mol2,-11602.873609538266,,OK,nearest_coreCN_qc_ok,O165:2.348;O267:2.362;O10:2.397;O147:2.477;O285:2.495;O130:2.505;O250:2.535;O27:2.768;O45:2.801,2.8006,3.2811,0.4805,O165:2.348;O267:2.362;O10:2.397;O147:2.477;O285:2.495;O130:2.505;O250:2.535;O27:2.768;O45:2.801;N164:3.281;P249:3.542;P9:3.639;P146:3.684;N284:3.687;P266:3.707;P129:3.825;N44:3.848;P26:4.098
141,4cb46c21efa5,Ho,67,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[9, 22, 23, 26, 35, 36, 37, 38]",8,8,1,nitrate,67|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_4cb46c21efa5.xyz,1,standard,300212777,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_4cb46c21efa5_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_4cb46c21efa5_attempt01_standard_dup2.mol2,-3020.3377088310745,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N38:2.217;N23:2.331;N24:2.372;N36:2.484;N37:2.663;N39:3.010;N27:3.251;N10:4.375,4.3755,inf,inf,N38:2.217;N23:2.331;N24:2.372;N36:2.484;N37:2.663;N39:3.010;N27:3.251;N10:4.375
141,4cb46c21efa5,Ho,67,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[9, 22, 23, 26, 35, 36, 37, 38]",8,8,1,nitrate,67|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_4cb46c21efa5.xyz,2,standard,300220696,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_4cb46c21efa5_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_4cb46c21efa5_attempt02_standard_dup2.mol2,-3019.570101168402,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N38:2.172;N27:2.382;N36:2.475;N39:2.589;N37:2.631;N23:3.464;N10:3.637;N24:3.735,3.7350,inf,inf,N38:2.172;N27:2.382;N36:2.475;N39:2.589;N37:2.631;N23:3.464;N10:3.637;N24:3.735
177,ac16f7a06741,Nd,60,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 8, 15, 18, 19]",8,9,1,nitrate,60|O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_ac16f7a06741.xyz,1,standard,944100623,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_ac16f7a06741_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_ac16f7a06741_attempt01_standard_dup2.mol2,-2297.958510581926,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O19:2.154;O1:2.166;O8:2.192;O47:2.343;N16:2.578;N5:2.620;O20:2.682;O3:4.134;O9:4.214,4.2141,5.0225,0.8084,O19:2.154;O1:2.166;O8:2.192;O47:2.343;N16:2.578;N5:2.620;O20:2.682;O3:4.134;O9:4.214;O23:5.022;O24:5.772
