queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
17,ac16f7a06741,Nd,60,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 8, 15, 18, 19]",8,9,1,nitrate,60|O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_ac16f7a06741.xyz,1,standard,944100623,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_ac16f7a06741_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_ac16f7a06741_attempt01_standard.mol2,-2297.424301758788,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O1:2.094;O8:2.103;O19:2.144;O47:2.349;N16:2.471;N5:2.719;O3:2.991;O9:3.215;O20:3.974,3.9742,4.9992,1.0250,O1:2.094;O8:2.103;O19:2.144;O47:2.349;N16:2.471;N5:2.719;O3:2.991;O9:3.215;O20:3.974;O24:4.999;O23:5.391
17,ac16f7a06741,Nd,60,3,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 8, 15, 18, 19]",8,9,1,nitrate,60|O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_ac16f7a06741.xyz,2,standard,944108542,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_ac16f7a06741_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_ac16f7a06741_attempt02_standard.mol2,-2299.5195194756334,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O19:2.193;O8:2.200;O1:2.204;O23:2.289;O47:2.299;N5:2.562;N16:2.586;O3:4.006;O9:4.013,4.0126,4.0226,0.0100,O19:2.193;O8:2.200;O1:2.204;O23:2.289;O47:2.299;N5:2.562;N16:2.586;O3:4.006;O9:4.013;O20:4.023;O24:4.379
53,f6d91e19679c,Nd,60,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[4, 5, 13, 14, 23, 24, 25]",7,9,1,nitrate,60|CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_f6d91e19679c.xyz,1,standard,875880411,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_f6d91e19679c_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_f6d91e19679c_attempt01_standard.mol2,-2743.7912635193316,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O64:2.049;O65:2.050;N25:2.398;N6:2.426;N62:2.436;N5:2.632;N24:2.671;N26:3.217;O63:3.606,3.6057,3.8006,0.1949,O64:2.049;O65:2.050;N25:2.398;N6:2.426;N62:2.436;N5:2.632;N24:2.671;N26:3.217;O63:3.606;N15:3.801;N14:3.825
53,f6d91e19679c,Nd,60,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[4, 5, 13, 14, 23, 24, 25]",7,9,1,nitrate,60|CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_f6d91e19679c.xyz,2,standard,875888330,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_f6d91e19679c_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_f6d91e19679c_attempt02_standard.mol2,-2746.2425433039525,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O64:2.091;O65:2.198;N62:2.274;N6:2.281;N14:2.332;N15:2.371;N5:2.573;N25:2.629;O63:3.175,3.1749,4.1044,0.9295,O64:2.091;O65:2.198;N62:2.274;N6:2.281;N14:2.332;N15:2.371;N5:2.573;N25:2.629;O63:3.175;N24:4.104;N26:4.200
89,8d3294e0ac8d,Eu,63,3,CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,"[3, 8, 21, 22, 25, 29, 33, 34]",8,9,1,nitrate,63|CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_8d3294e0ac8d.xyz,1,standard,1479620864,40,5,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
89,8d3294e0ac8d,Eu,63,3,CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,"[3, 8, 21, 22, 25, 29, 33, 34]",8,9,1,nitrate,63|CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_8d3294e0ac8d.xyz,2,standard,1479628783,50,6,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
125,4982246f582c,Eu,63,3,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,"[22, 25, 29]",3,9,3,nitrate,63|CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_4982246f582c.xyz,1,standard,282176135,40,5,250,0,accepted,True,tri_mer_bent,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_4982246f582c_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_4982246f582c_attempt01_standard.mol2,-13356.699781971298,,OK,nearest_coreCN_qc_ok,O316:2.243;O173:2.261;O30:2.282;O312:2.342;O166:2.472;O23:2.474;O26:2.495;O309:2.520;O169:2.631,2.6313,4.2282,1.5969,O316:2.243;O173:2.261;O30:2.282;O312:2.342;O166:2.472;O23:2.474;O26:2.495;O309:2.520;O169:2.631;N317:4.228;N174:4.434;N31:4.445;N11:4.471;N154:4.629;N297:4.662
161,459f887bb756,Eu,63,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[6, 7, 20, 21, 34, 35, 36, 37]",8,9,1,water,63|CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_water_459f887bb756.xyz,1,standard,927892775,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_water_459f887bb756_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_water_459f887bb756_attempt01_standard.mol2,-3558.9609521695425,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N35:2.333;N8:2.357;N37:2.363;N36:2.422;O95:2.512;N38:2.533;N7:2.586;N21:4.052;N22:4.523,4.5226,inf,inf,N35:2.333;N8:2.357;N37:2.363;N36:2.422;O95:2.512;N38:2.533;N7:2.586;N21:4.052;N22:4.523
161,459f887bb756,Eu,63,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[6, 7, 20, 21, 34, 35, 36, 37]",8,9,1,water,63|CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_water_459f887bb756.xyz,2,standard,927900694,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_water_459f887bb756_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_water_459f887bb756_attempt02_standard.mol2,-3558.3763024093346,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N8:2.246;N36:2.391;N35:2.454;O95:2.540;N21:2.544;N37:2.592;N22:2.775;N7:2.911;N38:3.815,3.8149,inf,inf,N8:2.246;N36:2.391;N35:2.454;O95:2.540;N21:2.544;N37:2.592;N22:2.775;N7:2.911;N38:3.815
197,89b393ce8294,La,57,3,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,"[17, 19, 22]",3,9,3,water,57|CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig3_water_89b393ce8294.xyz,1,standard,2000709872,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/La/La_Z57_ox3_CN9_nlig3_water_89b393ce8294_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/La/La_Z57_ox3_CN9_nlig3_water_89b393ce8294_attempt01_standard.mol2,-11654.270649503951,,OK,nearest_coreCN_qc_ok,O252:2.320;O18:2.334;O135:2.375;O140:2.632;O23:2.657;O254:2.667;O137:2.702;O20:2.750;O257:2.767,2.7671,4.2873,1.5202,O252:2.320;O18:2.334;O135:2.375;O140:2.632;O23:2.657;O254:2.667;O137:2.702;O20:2.750;O257:2.767;N250:4.287;N16:4.337;N133:4.376;N141:4.778;N24:4.840;N258:4.907;S12:6.604;S129:6.653;S246:6.664;S264:8.126;S147:8.209;S30:8.299
