SMILES_FOR_ARCHITECTOR,n_metals,n_coord_modes,metals,n_rows
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,8,1,"Dy,Er,Eu,Gd,La,Lu,Nd,Sm",8
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,12,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Pr,Tb,Tm,Yb",12
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,12,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Pr,Tb,Tm,Yb",12
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,13,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Tb,Tm,Yb",13
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,11,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Tm",11
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,11,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Nd,Sm,Tm,Yb",11
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",15
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,9,1,"Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Tb",10
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",19
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,5,1,"Ce,Eu,Ho,Nd,Pr",5
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",28
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,13,1,"Ce,Dy,Er,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",13
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,10,1,"Ce,Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Yb",10
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",15
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",24
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",28
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,9,1,"Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Tb",9
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,9,1,"Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Tb",9
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,8,1,"Dy,Er,Eu,Gd,La,Lu,Nd,Sm",8
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,3,1,"Eu,La,Nd",3
CCCCCCOP(=O)(O)OCCCCCC,10,1,"Ce,Dy,Eu,Gd,Ho,La,Nd,Pr,Sm,Tb",19
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,14,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb",14
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,13,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Yb",23
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,13,1,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Yb",14
CCCCN(C)C(=O)CC(=O)N(C)CCCC,3,1,"Eu,La,Nd",3
