build_id,reference,Atomic Number_metal,metal_symbol,metal_ox,SMILES_FOR_ARCHITECTOR,COORDLIST,DONOR_TYPES,DENTATE,coreCN,n_ligs,inner_sphere_anion,fill_ligand,n_fill,xyz_path,mol2_path,sdf_path,energy_eV,status,note,qc_status,smiles_for_architector_original,smiles_for_architector_used,simplified_ligand,xyz_exists,xyz_ok,observed_cn,donor_count_sig,near_donor_distances,max_near_donor_dist,min_near_donor_dist,cn_matches_coreCN,qc_note
192ab9676a31,,63,Eu,3,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,"[18, 23, 29]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,9,3,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_192ab9676a31.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_192ab9676a31.mol2,,-12323.477646250323,ok,built (standard attempt 2),accepted,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,False,True,True,9,O9,"281:O:2.16,150:O:2.28,30:O:2.43,292:O:2.47,286:O:2.49,161:O:2.59,24:O:2.87,155:O:3.01,19:O:3.19",3.1947929849822256,2.1592960377074153,True,ok
3beb4537ab26,,63,Eu,3,CCCCCCCCNC(=O)c1cc(OC)ccn1,"[10, 14, 18]","[""O(amide_carbonyl)"", ""O(ether)"", ""N(aromatic)""]",3,9,3,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_3beb4537ab26.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_3beb4537ab26.mol2,,-4760.262251960137,ok,built (standard attempt 1),accepted,CCCCCCCCNC(=O)c1cc(OC)ccn1,CCCCCCCCNC(=O)c1cc(OC)ccn1,False,True,True,4,"N1,O3","97:O:2.06,11:O:2.21,54:O:2.31,19:N:2.35",2.3466414809510563,2.058535898341915,False,ok
9ce4f4d1c0d5,,63,Eu,3,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,"[18, 20, 23]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,9,3,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_9ce4f4d1c0d5.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_9ce4f4d1c0d5.mol2,,-14482.625777830908,ok,built (large_ligand_deep attempt 1),accepted,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,False,True,True,7,O7,"310:O:2.06,19:O:2.17,167:O:2.28,21:O:2.33,162:O:2.34,307:O:2.35,164:O:2.37",2.3732638852858847,2.0553536177221643,False,ok
0345ed41f690,,57,La,3,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,"[4, 7, 10, 17, 20, 23]","[""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)"", ""O(ether)""]",6,9,1,nitrate,nitrate,3,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig1_nitrate_0345ed41f690.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig1_nitrate_0345ed41f690.mol2,,-2893.06901091912,ok,built (standard attempt 1),accepted,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,False,True,True,10,"N1,O9","66:O:2.14,65:O:2.17,18:O:2.47,11:O:2.52,63:N:2.54,5:O:2.55,21:O:2.56,24:O:2.66,67:O:2.68,8:O:2.85",2.847007422384522,2.141925086871444,False,ok
a899d73ff41d,,63,Eu,3,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)s1,"[18, 24, 42]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)"", ""S(donor)""]",3,9,3,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_a899d73ff41d.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_a899d73ff41d.mol2,,-10972.16489741112,ok,built (standard attempt 2),accepted,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)s1,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)s1,False,True,True,9,"O6,S3","138:O:2.22,245:O:2.29,25:O:2.38,251:O:2.39,19:O:2.43,132:O:2.48,43:S:2.85,269:S:2.92,156:S:2.98",2.9844867967471407,2.2238851869485,True,ok
767f19fc0623,,64,Gd,3,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,"[3, 10, 19]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)"", ""N(aromatic)""]",3,9,3,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_767f19fc0623.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_767f19fc0623.mol2,,-5844.878327453979,ok,built (standard attempt 1),accepted,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,False,True,True,9,"N3,O6","56:O:2.30,94:O:2.31,4:O:2.32,11:O:2.36,20:N:2.48,49:O:2.50,65:N:2.58,110:N:2.75,101:O:2.83",2.8278566274252954,2.303304767429259,True,ok
59820f9615bf,,57,La,3,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,"[18, 30, 48, 51]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)""]",4,9,2,water,water,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig2_water_59820f9615bf.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig2_water_59820f9615bf.mol2,,-8641.136906806489,ok,built (standard attempt 1),accepted,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,False,True,True,9,"N4,O5","145:O:2.37,157:O:2.57,19:O:2.59,52:N:2.70,178:N:2.74,49:N:2.86,253:O:3.01,31:O:3.03,175:N:3.07",3.074250432930429,2.365059978653293,True,ok
b937f642bd0f,,65,Tb,3,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,"[18, 21, 25]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,8,2,nitrate,nitrate,2,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tb/Tb_Z65_ox3_CN8_nlig2_nitrate_b937f642bd0f.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tb/Tb_Z65_ox3_CN8_nlig2_nitrate_b937f642bd0f.mol2,,-7950.689987512582,ok,built (standard attempt 1),accepted,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,False,True,True,9,"N1,O8","242:O:2.09,241:O:2.10,138:O:2.17,19:O:2.19,26:O:2.32,145:O:2.36,239:N:2.45,22:O:2.63,141:O:2.64",2.6387444094676957,2.0873091184962718,False,ok
3d1b981eb728,,60,Nd,3,CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,"[3, 6]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",2,9,4,nitrate,nitrate,1,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig4_nitrate_3d1b981eb728.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig4_nitrate_3d1b981eb728.mol2,,-6627.9081488933325,ok,built (standard attempt 1),accepted,CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,False,True,True,9,O9,"4:O:2.36,121:O:2.39,7:O:2.39,82:O:2.41,124:O:2.43,43:O:2.44,85:O:2.45,46:O:2.48,157:O:2.79",2.7862352546465314,2.357149138080337,True,ok
fb46283268e8,,63,Eu,3,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,"[11, 15, 23]","[""O(amide_carbonyl)"", ""O(ether)"", ""O(amide_carbonyl)""]",3,9,3,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_fb46283268e8.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_fb46283268e8.mol2,,-8964.79828016754,ok,built (standard attempt 1),accepted,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,False,True,True,8,O8,"208:O:2.29,196:O:2.47,104:O:2.69,12:O:2.69,16:O:2.77,108:O:2.84,24:O:2.87,116:O:3.04",3.0381033250699114,2.2924987453943277,False,ok
e89f796158d3,,69,Tm,3,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,"[4, 16, 28, 29]","[""O(amide_carbonyl)"", ""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)""]",4,8,2,nitrate,nitrate,0,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tm/Tm_Z69_ox3_CN8_nlig2_nitrate_e89f796158d3.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tm/Tm_Z69_ox3_CN8_nlig2_nitrate_e89f796158d3.mol2,,-5754.708750793947,ok,built (standard attempt 1),accepted,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,False,True,True,8,"N4,O4","5:O:2.21,17:O:2.26,89:O:2.26,77:O:2.27,101:N:2.39,30:N:2.45,102:N:2.46,29:N:2.49",2.4854138126005263,2.2122293519969563,True,ok
