queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
256,b6234ce57a75,Yb,70,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,8,1,nitrate,70|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Yb/Yb_Z70_ox3_CN8_nlig1_nitrate_b6234ce57a75.xyz,1,standard,1190187911,40,5,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
256,b6234ce57a75,Yb,70,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,8,1,nitrate,70|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Yb/Yb_Z70_ox3_CN8_nlig1_nitrate_b6234ce57a75.xyz,2,standard,1190195830,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Yb/Yb_Z70_ox3_CN8_nlig1_nitrate_b6234ce57a75_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Yb/Yb_Z70_ox3_CN8_nlig1_nitrate_b6234ce57a75_attempt02_standard.mol2,-4796.910365125498,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O52:2.009;O60:2.017;O114:2.114;O113:2.355;N54:2.380;N57:2.420;N111:2.637;N44:3.147,3.1472,3.5166,0.3694,O52:2.009;O60:2.017;O114:2.114;O113:2.355;N54:2.380;N57:2.420;N111:2.637;N44:3.147;N7:3.517;O112:3.807
4,4de900a55128,Ce,58,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[9, 22, 23, 26, 35, 36, 37, 38]",8,9,1,nitrate,58|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_4de900a55128.xyz,1,standard,422732408,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_4de900a55128_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_4de900a55128_attempt01_standard_dup2.mol2,-3162.6847278771093,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N38:2.360;N24:2.378;N23:2.435;N37:2.569;N36:2.576;O79:2.647;N39:3.176;N27:3.785;N10:4.426,4.4264,inf,inf,N38:2.360;N24:2.378;N23:2.435;N37:2.569;N36:2.576;O79:2.647;N39:3.176;N27:3.785;N10:4.426
4,4de900a55128,Ce,58,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[9, 22, 23, 26, 35, 36, 37, 38]",8,9,1,nitrate,58|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_4de900a55128.xyz,2,standard,422740327,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_4de900a55128_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_4de900a55128_attempt02_standard_dup2.mol2,-3162.0688734651862,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N39:2.402;N23:2.411;N36:2.484;N37:2.527;O79:2.627;N38:2.744;N24:3.342;N10:3.507;N27:4.350,4.3499,inf,inf,N39:2.402;N23:2.411;N36:2.484;N37:2.527;O79:2.627;N38:2.744;N24:3.342;N10:3.507;N27:4.350
40,1fec5a3a3c29,Eu,63,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[9, 22, 23, 26, 35, 36, 37, 38]",8,9,1,nitrate,63|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_1fec5a3a3c29.xyz,1,standard,1787036423,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_1fec5a3a3c29_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_1fec5a3a3c29_attempt01_standard_dup2.mol2,-3160.7892013961286,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N38:2.172;N23:2.275;O79:2.500;N36:2.503;N37:2.609;N39:2.690;N24:3.136;N10:4.203;N27:4.263,4.2630,inf,inf,N38:2.172;N23:2.275;O79:2.500;N36:2.503;N37:2.609;N39:2.690;N24:3.136;N10:4.203;N27:4.263
40,1fec5a3a3c29,Eu,63,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[9, 22, 23, 26, 35, 36, 37, 38]",8,9,1,nitrate,63|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_1fec5a3a3c29.xyz,2,standard,1787044342,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_1fec5a3a3c29_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_1fec5a3a3c29_attempt02_standard_dup2.mol2,-3160.6159554428687,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O79:2.394;N36:2.439;N27:2.531;N37:2.552;N38:2.635;N39:2.718;N10:2.879;N23:3.630;N24:4.002,4.0016,inf,inf,O79:2.394;N36:2.439;N27:2.531;N37:2.552;N38:2.635;N39:2.718;N10:2.879;N23:3.630;N24:4.002
112,33c10b1775e6,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1,"[18, 28]",2,9,4,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6.xyz,1,standard,276999379,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6_attempt01_standard_dup2.mol2,-9504.333650823237,,BORDERLINE_LONGISH,coreCN_max_dist>2.95,O157:2.378;O277:2.381;O226:2.416;O19:2.536;N167:2.871;O88:2.910;N29:2.913;N98:2.989;N236:3.064,3.0641,4.5637,1.4996,O157:2.378;O277:2.381;O226:2.416;O19:2.536;N167:2.871;O88:2.910;N29:2.913;N98:2.989;N236:3.064;N147:4.564;N216:4.656;N9:4.735;N78:5.029
112,33c10b1775e6,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1,"[18, 28]",2,9,4,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccccc2n1|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6.xyz,2,standard,277007298,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_nitrate_33c10b1775e6_attempt02_standard_dup2.mol2,-9504.534826007217,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O19:2.261;O277:2.386;O88:2.398;O157:2.446;O226:2.687;N236:2.850;N167:2.897;N29:2.964;N98:3.277,3.2766,4.4298,1.1532,O19:2.261;O277:2.386;O88:2.398;O157:2.446;O226:2.687;N236:2.850;N167:2.897;N29:2.964;N98:3.277;N9:4.430;N78:4.627;N147:4.649;N216:4.893
148,20465e7ee3e2,La,57,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[6, 7, 20, 21, 34, 35, 36, 37]",8,9,1,nitrate,57|CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig1_nitrate_20465e7ee3e2.xyz,1,standard,755235230,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_20465e7ee3e2_attempt01_standard.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_20465e7ee3e2_attempt01_standard.mol2,-3559.7389598190152,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N21:2.548;O95:3.006;N38:3.125;N37:3.157;N22:3.227;N35:3.589;N36:3.662;N8:3.719;N7:3.867,3.8666,inf,inf,N21:2.548;O95:3.006;N38:3.125;N37:3.157;N22:3.227;N35:3.589;N36:3.662;N8:3.719;N7:3.867
148,20465e7ee3e2,La,57,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[6, 7, 20, 21, 34, 35, 36, 37]",8,9,1,nitrate,57|CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig1_nitrate_20465e7ee3e2.xyz,2,standard,755243149,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_20465e7ee3e2_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_20465e7ee3e2_attempt02_standard_dup2.mol2,-3563.886944473075,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N21:2.330;N8:2.396;O95:2.657;N37:2.662;N36:2.671;N22:3.029;N7:3.049;N38:4.449;N35:4.524,4.5235,inf,inf,N21:2.330;N8:2.396;O95:2.657;N37:2.662;N36:2.671;N22:3.029;N7:3.049;N38:4.449;N35:4.524
184,4daf401699d8,Nd,60,3,CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,"[8, 11, 31]",3,9,3,nitrate,60|CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_4daf401699d8.xyz,1,standard,935531371,40,5,250,124,failed_timeout,False,,,,,exceeded 2400s,BUILD_FAILED,timeout,,,,,
184,4daf401699d8,Nd,60,3,CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,"[8, 11, 31]",3,9,3,nitrate,60|CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_4daf401699d8.xyz,2,standard,935539290,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_4daf401699d8_attempt02_standard.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_4daf401699d8_attempt02_standard.mol2,-12788.206295368389,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O32:2.205;O12:2.295;O308:2.372;O170:2.465;O288:2.481;O150:2.569;N285:2.971;N9:3.053;N147:3.695,3.6953,4.4471,0.7518,O32:2.205;O12:2.295;O308:2.372;O170:2.465;O288:2.481;O150:2.569;N285:2.971;N9:3.053;N147:3.695;N33:4.447;N13:4.475;N309:4.588;N289:4.614;N171:4.722;N151:4.757
256,b6234ce57a75,Yb,70,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,8,1,nitrate,70|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Yb/Yb_Z70_ox3_CN8_nlig1_nitrate_b6234ce57a75.xyz,1,standard,1190187911,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Yb/Yb_Z70_ox3_CN8_nlig1_nitrate_b6234ce57a75_attempt01_standard.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Yb/Yb_Z70_ox3_CN8_nlig1_nitrate_b6234ce57a75_attempt01_standard.mol2,-4799.857585534236,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O113:2.050;O114:2.094;O60:2.115;O52:2.149;N54:2.362;N57:2.409;N111:2.425;O112:3.606,3.6062,3.8345,0.2283,O113:2.050;O114:2.094;O60:2.115;O52:2.149;N54:2.362;N57:2.409;N111:2.425;O112:3.606;N7:3.834;N44:3.842
256,b6234ce57a75,Yb,70,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,8,1,nitrate,70|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Yb/Yb_Z70_ox3_CN8_nlig1_nitrate_b6234ce57a75.xyz,2,standard,1190195830,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Yb/Yb_Z70_ox3_CN8_nlig1_nitrate_b6234ce57a75_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Yb/Yb_Z70_ox3_CN8_nlig1_nitrate_b6234ce57a75_attempt02_standard_dup2.mol2,-4799.136503670968,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O113:2.070;O114:2.078;O52:2.126;O60:2.136;N111:2.237;N57:2.373;N54:2.402;O112:3.211,3.2109,3.9964,0.7856,O113:2.070;O114:2.078;O52:2.126;O60:2.136;N111:2.237;N57:2.373;N54:2.402;O112:3.211;N7:3.996;N44:4.132
