smiles_for_architector_used,n_metals,n_rows,ok_rows,bad_rows,max_template_dist,metals
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,14,14,0,14,5.8464200855662956,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb"
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,14,14,0,14,4.795708901686591,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb"
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,14,14,0,14,4.639256881043499,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb"
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,14,14,0,14,3.9858309080590772,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb"
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,14,14,0,14,3.9324891356670153,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb"
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,14,14,0,14,3.919055224038238,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb"
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,14,14,0,14,3.9094705755728536,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb"
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,14,14,0,14,3.8217684798377785,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb"
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,11,14,0,14,3.6103716441410407,"Ce,Dy,Er,Eu,Gd,La,Lu,Nd,Sm,Tb,Yb"
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,14,14,0,14,3.6009667816184177,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb"
CCN(CC)C(=O)COCC(=O)N(CC)CC,14,14,0,14,3.4477977994226467,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb"
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,13,13,0,13,4.922153514773586,"Ce,Dy,Er,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb"
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,14,14,1,13,4.211364668627997,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb"
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,13,13,0,13,4.150714495809719,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tm,Yb"
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,13,13,0,13,3.965501892074793,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Tb,Tm,Yb"
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,13,13,0,13,3.851274538662105,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Tb,Tm,Yb"
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,13,13,0,13,3.5318314142944423,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Sm,Tb,Tm,Yb"
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,14,14,1,13,3.520831622041779,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb"
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,14,14,2,12,3.861937095294307,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Yb"
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,12,12,0,12,3.780981902103206,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Pr,Tb,Tm,Yb"
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,12,12,0,12,3.714593118102931,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Pr,Tb,Tm,Yb"
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,13,13,1,12,3.596202083272664,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tm,Yb"
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,11,11,0,11,3.938453502738787,"Ce,Dy,Er,Eu,Gd,Ho,La,Nd,Sm,Tm,Yb"
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,11,11,0,11,3.8832208046339067,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Tm"
CN(C)C(=O)COCCOCC(=O)N(C)C,10,10,0,10,5.9274454903333895,"Ce,Dy,Eu,Gd,Ho,La,Nd,Pr,Sm,Tb"
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,10,10,0,10,4.9293126425760585,"Dy,Er,Eu,Gd,Ho,Lu,Sm,Tb,Tm,Yb"
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,11,11,1,10,4.517908380145651,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Tb,Yb"
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,10,10,0,10,4.320671931059378,"Ce,Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Yb"
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,11,11,1,10,3.9427875036674136,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Sm,Yb"
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,10,10,0,10,3.59819501675123,"Ce,Dy,Er,Eu,Gd,La,Lu,Nd,Pr,Tm"
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,9,9,0,9,4.905097030709498,"Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Tb"
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,9,9,0,9,4.52607802774271,"Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Tb"
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,9,9,0,9,4.4421630549467865,"Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Tb"
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,10,10,1,9,3.814412956055227,"Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Sm,Yb"
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,9,9,0,9,3.796356680739529,"Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Tb"
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,9,9,0,9,3.68346642563533,"Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Tb"
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,8,8,0,8,4.185626791679061,"Ce,Dy,Eu,Gd,La,Nd,Pr,Sm"
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,8,8,0,8,3.8953439645498746,"Dy,Er,Eu,Gd,La,Lu,Nd,Sm"
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,8,8,0,8,3.7317818647857464,"Dy,Er,Eu,Gd,La,Lu,Nd,Sm"
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,8,8,0,8,3.69162607547549,"Dy,Er,Eu,Gd,La,Lu,Nd,Sm"
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,8,8,0,8,3.6730887061376785,"Ce,Dy,Eu,Gd,La,Nd,Pr,Sm"
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,9,9,1,8,3.5165132384612905,"Dy,Er,Eu,Gd,La,Nd,Pr,Sm,Tb"
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,7,7,0,7,8.746454511800245,"Ce,Eu,Gd,La,Nd,Pr,Sm"
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,7,7,0,7,3.671582883966342,"Dy,Er,Eu,Gd,La,Lu,Nd"
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,6,6,0,6,7.156372537808315,"Ce,Eu,La,Nd,Tm,Yb"
CN(C)C(=O)COCC(=O)N(C)C,6,6,0,6,6.375637570254939,"Ce,Eu,La,Lu,Nd,Yb"
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,6,6,0,6,5.315178063556606,"Dy,Eu,Gd,Nd,Sm,Tb"
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,6,6,0,6,4.017174070482916,"Ce,Eu,La,Nd,Pr,Sm"
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,6,6,0,6,3.847672352667292,"Ce,Eu,La,Nd,Pr,Sm"
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,6,6,0,6,3.6688251981804236,"Dy,Er,Gd,Nd,Sm,Yb"
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,5,5,0,5,4.926427403372034,"Ce,Er,Eu,La,Pr"
CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,5,5,0,5,4.306408492750425,"Dy,Eu,Gd,Nd,Sm"
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,5,5,0,5,3.730593875456908,"Dy,Er,Eu,Lu,Nd"
c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,5,5,0,5,3.698184008115659,"Ce,Er,Eu,La,Pr"
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,5,5,0,5,3.6972406006345144,"Ce,Eu,Ho,Nd,Pr"
C1COCCOCCOCCOCCOCCO1,5,5,0,5,3.657053513860128,"Ce,Er,Eu,La,Pr"
CN(C)C(=O)CN(CC(=O)N(C)C)CC(=O)N(C)C,4,4,0,4,6.52072851526932,"Ce,Dy,Er,Eu"
CCCCCCOP(=O)(O)OCCCCCC,4,4,0,4,5.048248614582826,"Eu,Ho,La,Tb"
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,4,4,0,4,3.711119016313802,"Ce,Er,Eu,La"
CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,3,3,0,3,6.75618037518172,"Eu,La,Yb"
CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,3,3,0,3,4.241036555774009,"Er,Eu,La"
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,3,3,0,3,3.944427611057628,"Eu,La,Nd"
CCCCN(C)C(=O)CC(=O)N(C)CCCC,3,3,0,3,3.5618760892273493,"Eu,La,Nd"
CCC[C@H](O[C@H](CCC)C(=O)N(C)C)C(=O)N(C)C,2,2,0,2,6.269533215748354,"Pr,Sm"
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,2,2,0,2,3.625607458791216,"Eu,Nd"
