smiles_for_architector_used,n_metals,n_rows,n_core_sigs,qc_bad,qc_borderline,qc_ok,max_core_dist,min_gap,metals,core_sigs
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,14,24,2,2,2,20,4.113265415954937,0.5362580754964528,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,"N4,O4;N4,O5"
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,7,7,2,2,2,3,4.056430241208048,0.0300935793809831,Dy;Er;Eu;Gd;La;Lu;Nd,"N1,O7;O9"
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,6,6,2,2,2,2,3.3872700581072945,0.0272639302057857,Ce;Eu;La;Nd;Tm;Yb,"N1,O7;O9"
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,14,14,2,2,1,11,3.310072163256521,0.8741383381436947,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,O8;O9
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,14,14,2,2,1,11,3.1276204308922084,1.082826358035959,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,"N4,O4;N4,O5"
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,11,11,2,2,1,8,3.640249939519194,0.6614944452329281,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Tb;Yb,O8;O9
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,9,9,2,2,1,6,3.4090938559494197,0.8105273727819866,Dy;Er;Eu;Gd;La;Nd;Pr;Sm;Tb,O8;O9
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,6,6,2,2,1,3,3.4304905142121473,0.1079114528480809,Dy;Eu;Gd;Nd;Sm;Tb,"N1,O7;O9"
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,11,11,2,2,0,9,3.1817866838389333,1.0477417213145386,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Sm;Yb,O8;O9
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,9,9,2,2,0,7,3.642626656469031,0.3553491718180992,Dy;Er;Eu;Gd;La;Nd;Pr;Sm;Tb,O8;O9
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,9,9,3,2,0,7,3.538491298235053,0.3914717715224625,Dy;Er;Eu;Gd;La;Nd;Pr;Sm;Tb,"N1,O8;O8;O9"
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,3,3,1,2,0,1,3.581115177980847,0.935496658588368,Eu;La;Nd,O9
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,1,2,1,2,0,0,4.212131765561879,,Eu,"N8,O1"
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,1,2,2,2,0,0,4.616614784900568,0.2912009279314178,Eu,"N6,O1,S2;N7,O1,S1"
CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,2,2,2,2,0,0,4.261557975237422,0.1206132308998189,Eu;Nd,"N3,O6;N4,O5"
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,1,2,2,2,0,0,3.982919428068136,0.099544772343338,Eu,"N4,O3,S2;N5,O4"
CCCCCCCCn1cc(-c2cc(CC(=O)O)cc(-c3cn(CCCCCCCC)nn3)n2)nn1,1,2,2,2,0,0,3.802386584648238,0.1720727364490377,Eu,"N6,O3;N7,O2"
CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,1,2,1,2,0,0,3.295569044894222,0.6396960419202702,Eu,"O3,S6"
Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,1,2,1,2,0,0,4.030799735917503,,Eu,"N8,O1"
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,13,21,3,1,6,14,3.1414974656925096,0.0021931866939501,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Sm;Tb;Tm;Yb,"N1,O7;O8;O9"
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,13,13,2,1,6,6,3.6251939636417614,0.0012317583928447,Ce;Dy;Er;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,"N1,O7;O9"
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,14,14,2,1,4,9,3.2198231487665105,0.0338075330587988,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Sm;Tb;Tm;Yb,"N1,O7;O9"
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,10,10,3,1,4,5,3.5573535828720573,0.0083519601827606,Dy;Er;Eu;Gd;Ho;Lu;Sm;Tb;Tm;Yb,"N1,O7;O8;O9"
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,8,8,2,1,3,4,3.1119660075299356,0.0501735875169027,Dy;Er;Eu;Gd;La;Lu;Nd;Sm,"N1,O7;O9"
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,5,5,2,1,3,1,3.7271701358471585,0.0015710031787015,Dy;Er;Eu;Lu;Nd,"N1,O7;O9"
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,12,12,2,1,2,9,3.2104092483215334,0.8543911445181722,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Pr;Tb;Tm;Yb,O8;O9
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,11,11,2,1,2,8,3.111864871779938,0.8424667821880969,Ce;Dy;Er;Eu;Gd;Ho;La;Nd;Sm;Tm;Yb,O8;O9
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,13,13,2,1,1,11,3.1790852012090935,0.7510965592540884,Ce;Dy;Er;Eu;Gd;Ho;La;Lu;Nd;Pr;Tb;Tm;Yb,O8;O9
