queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
3,95a1bbb26c49,Gd,64,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[9, 22, 23, 26, 35, 36, 37, 38]",8,9,1,nitrate,64|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_95a1bbb26c49.xyz,1,standard,1370961182,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_95a1bbb26c49_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_95a1bbb26c49_attempt01_standard.mol2,-3161.220830182807,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N38:2.260;N23:2.271;N24:2.396;O79:2.561;N37:2.595;N36:2.607;N39:3.143;N27:3.723;N10:4.393,4.3934,inf,inf,N38:2.260;N23:2.271;N24:2.396;O79:2.561;N37:2.595;N36:2.607;N39:3.143;N27:3.723;N10:4.393
3,95a1bbb26c49,Gd,64,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[9, 22, 23, 26, 35, 36, 37, 38]",8,9,1,nitrate,64|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_95a1bbb26c49.xyz,2,standard,1370969101,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_95a1bbb26c49_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_95a1bbb26c49_attempt02_standard.mol2,-3160.6057173019376,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N38:2.268;N23:2.278;N24:2.362;N36:2.554;N37:2.559;O79:2.589;N39:3.040;N27:3.326;N10:4.079,4.0791,inf,inf,N38:2.268;N23:2.278;N24:2.362;N36:2.554;N37:2.559;O79:2.589;N39:3.040;N27:3.326;N10:4.079
39,623b05528a11,Eu,63,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[4, 5, 13, 14, 23, 24, 25]",7,9,1,nitrate,63|CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_623b05528a11.xyz,1,standard,423618416,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_623b05528a11_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_623b05528a11_attempt01_standard.mol2,-2743.32589127015,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O64:2.028;O65:2.033;N6:2.305;N62:2.414;N24:2.484;N25:2.529;N5:2.558;O63:3.582;N15:3.752,3.7524,3.7977,0.0453,O64:2.028;O65:2.033;N6:2.305;N62:2.414;N24:2.484;N25:2.529;N5:2.558;O63:3.582;N15:3.752;N14:3.798;N26:3.836
39,623b05528a11,Eu,63,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[4, 5, 13, 14, 23, 24, 25]",7,9,1,nitrate,63|CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_623b05528a11.xyz,2,standard,423626335,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_623b05528a11_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_623b05528a11_attempt02_standard.mol2,-2743.5856685851945,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O65:2.030;O64:2.076;N25:2.313;N62:2.340;N24:2.539;N26:2.588;N5:3.128;N6:3.346;O63:3.412,3.4119,3.8147,0.4027,O65:2.030;O64:2.076;N25:2.313;N62:2.340;N24:2.539;N26:2.588;N5:3.128;N6:3.346;O63:3.412;N14:3.815;N15:3.880
75,28e521f57d3b,Eu,63,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 10, 13, 14, 17]",8,9,1,nitrate,63|O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_28e521f57d3b.xyz,1,standard,38409395,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_28e521f57d3b_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_28e521f57d3b_attempt01_standard.mol2,-1898.6427549602324,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O14:2.170;O1:2.302;O8:2.316;O18:2.350;N5:2.421;O38:2.623;N11:2.647;O15:4.220;O3:4.345,4.3452,4.4998,0.1547,O14:2.170;O1:2.302;O8:2.316;O18:2.350;N5:2.421;O38:2.623;N11:2.647;O15:4.220;O3:4.345;O19:4.500
75,28e521f57d3b,Eu,63,3,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,"[0, 2, 4, 7, 10, 13, 14, 17]",8,9,1,nitrate,63|O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_28e521f57d3b.xyz,2,standard,38417314,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_28e521f57d3b_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_28e521f57d3b_attempt02_standard.mol2,-1899.1950702513318,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O1:2.159;O14:2.208;O18:2.220;O38:2.322;O8:2.338;N5:2.530;N11:2.762;O3:4.049;O19:4.370,4.3696,4.3772,0.0076,O1:2.159;O14:2.208;O18:2.220;O38:2.322;O8:2.338;N5:2.530;N11:2.762;O3:4.049;O19:4.370;O15:4.377
111,bffb797bc9ad,Ce,58,3,CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,"[22, 24, 27]",3,9,3,water,58|CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig3_water_bffb797bc9ad.xyz,1,standard,2038958750,40,5,250,0,accepted,True,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Ce/Ce_Z58_ox3_CN9_nlig3_water_bffb797bc9ad_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/accepted/Ce/Ce_Z58_ox3_CN9_nlig3_water_bffb797bc9ad_attempt01_standard.mol2,-12842.635846424839,,OK,nearest_coreCN_qc_ok,O23:2.254;O165:2.273;O28:2.276;O297:2.421;O25:2.542;O302:2.568;O160:2.569;O162:2.577;O299:2.782,2.7823,4.2880,1.5057,O23:2.254;O165:2.273;O28:2.276;O297:2.421;O25:2.542;O302:2.568;O160:2.569;O162:2.577;O299:2.782;N166:4.288;N9:4.364;N29:4.480;N283:4.581;N146:4.731;N303:4.736
147,2e531fb08047,Gd,64,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,9,1,water,64|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_water_2e531fb08047.xyz,1,standard,640004251,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_water_2e531fb08047_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_water_2e531fb08047_attempt01_standard.mol2,-4795.215174930664,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O52:2.208;O60:2.269;O114:2.328;N54:2.431;N57:2.441;O111:2.474;O117:2.505;N44:4.363;N7:4.409,4.4089,inf,inf,O52:2.208;O60:2.269;O114:2.328;N54:2.431;N57:2.441;O111:2.474;O117:2.505;N44:4.363;N7:4.409
147,2e531fb08047,Gd,64,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,9,1,water,64|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_water_2e531fb08047.xyz,2,standard,640012170,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_water_2e531fb08047_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_water_2e531fb08047_attempt02_standard.mol2,-4790.705868131288,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O60:2.176;O52:2.279;N7:2.503;O117:2.503;O111:2.551;O114:2.553;N54:2.723;N57:2.861;N44:4.054,4.0538,inf,inf,O60:2.176;O52:2.279;N7:2.503;O117:2.503;O111:2.551;O114:2.553;N54:2.723;N57:2.861;N44:4.054
183,9b88ecdb5d6a,Ho,67,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,8,1,nitrate,67|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_9b88ecdb5d6a.xyz,1,standard,1730019111,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_9b88ecdb5d6a_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_9b88ecdb5d6a_attempt01_standard.mol2,-4801.634972336686,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O113:2.028;O60:2.065;O52:2.181;N54:2.331;N111:2.375;O114:2.442;N57:2.486;O112:3.303,3.3033,3.5228,0.2195,O113:2.028;O60:2.065;O52:2.181;N54:2.331;N111:2.375;O114:2.442;N57:2.486;O112:3.303;N7:3.523;N44:3.993
