queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,attempts_run,best_qc_class,best_coreCN_max_dist,best_gap_after_coreCN,best_xyz_path,best_failed_xyz_path,failure_note,accepted_for_clean_3d_features,ligtype_override
19,b9dbd9b023ab,Tb,65,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[9, 22, 23, 26, 35, 36, 37, 38]",8,8,1,nitrate,65|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate,2,FAIL_LONG_BOND,4.0031,inf,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Tb/Tb_Z65_ox3_CN8_nlig1_nitrate_b9dbd9b023ab_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/best_failed/Tb/Tb_Z65_ox3_CN8_nlig1_nitrate_b9dbd9b023ab_attempt02_standard.xyz,coreCN_max_dist>3.10,False,
55,25ade73f3220,Eu,63,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,"[9, 27, 28, 31, 40, 41, 42, 43]",8,9,1,water,63|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21|water,2,FAIL_LONG_BOND,3.4644,0.3748,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_water_25ade73f3220_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/best_failed/Eu/Eu_Z63_ox3_CN9_nlig1_water_25ade73f3220_attempt02_standard.xyz,coreCN_max_dist>3.10,False,
127,8ba2ae0e67b2,Eu,63,3,CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,"[6, 7, 20, 21, 24, 33, 34, 35]",8,9,1,nitrate,63|CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C|nitrate,2,FAIL_LONG_BOND,3.7485,inf,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_8ba2ae0e67b2_attempt01_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/best_failed/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_8ba2ae0e67b2_attempt01_standard.xyz,coreCN_max_dist>3.10,False,
199,a0aa0701cbf7,Yb,70,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,8,1,water,70|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|water,2,FAIL_LONG_BOND,4.0061,inf,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Yb/Yb_Z70_ox3_CN8_nlig1_water_a0aa0701cbf7_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/best_failed/Yb/Yb_Z70_ox3_CN8_nlig1_water_a0aa0701cbf7_attempt02_standard.xyz,coreCN_max_dist>3.10,False,
55,b327caa3b7fb,Eu,63,3,Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,"[5, 8, 11, 12, 18, 19]",6,9,1,nitrate,63|Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1|nitrate,2,FAIL_LONG_BOND,3.3010,0.1971,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_b327caa3b7fb_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_b327caa3b7fb_attempt01_standard_dup2.xyz,no_structures_returned,False,
91,af7d4ce816f6,Eu,63,3,CCCCCCCCNC(=O)c1cnccn1,"[10, 13, 16]",3,9,3,nitrate,63|CCCCCCCCNC(=O)c1cnccn1|nitrate,2,FAIL_LONG_BOND,3.3185,0.9087,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_af7d4ce816f6_attempt01_standard.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Eu/Eu_Z63_ox3_CN9_nlig3_nitrate_af7d4ce816f6_attempt01_standard.xyz,no_structures_returned,False,
199,fb8eb6781614,Nd,60,3,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,"[11, 20]",2,9,4,nitrate,60|CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC|nitrate,2,FAIL_LONG_BOND,3.2218,1.2375,data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig4_nitrate_fb8eb6781614_attempt01_standard.xyz,data/processed/geometries_regenerated_fail_long_bond/best_failed/Nd/Nd_Z60_ox3_CN9_nlig4_nitrate_fb8eb6781614_attempt01_standard.xyz,coreCN_max_dist>3.10,False,
