queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
248,2008860df8de,Yb,70,3,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,"[0, 3, 9, 11, 13, 17, 20]",7,8,1,nitrate,70|O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Yb/Yb_Z70_ox3_CN8_nlig1_nitrate_2008860df8de.xyz,1,standard,1490673780,40,5,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
248,2008860df8de,Yb,70,3,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,"[0, 3, 9, 11, 13, 17, 20]",7,8,1,nitrate,70|O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Yb/Yb_Z70_ox3_CN8_nlig1_nitrate_2008860df8de.xyz,2,standard,1490681699,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Yb/Yb_Z70_ox3_CN8_nlig1_nitrate_2008860df8de_attempt02_standard.xyz,/nfs/home/nshank3/lanthanide_dataset_builder/data/processed/geometries_regenerated_fail_long_bond/rejected/Yb/Yb_Z70_ox3_CN8_nlig1_nitrate_2008860df8de_attempt02_standard.mol2,-1908.1962563008092,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O1:2.054;O12:2.321;O33:2.343;O21:2.489;O18:2.550;O10:2.798;O14:4.254;O4:4.435,4.4353,inf,inf,O1:2.054;O12:2.321;O33:2.343;O21:2.489;O18:2.550;O10:2.798;O14:4.254;O4:4.435
32,bec89700cf93,Er,68,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[6, 7, 20, 21, 34, 35, 36, 37]",8,8,1,nitrate,68|CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Er/Er_Z68_ox3_CN8_nlig1_nitrate_bec89700cf93.xyz,1,standard,1176791893,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Er/Er_Z68_ox3_CN8_nlig1_nitrate_bec89700cf93_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Er/Er_Z68_ox3_CN8_nlig1_nitrate_bec89700cf93_attempt01_standard_dup2.mol2,-3419.52060445076,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N21:2.335;N22:2.375;N36:2.490;N8:2.490;N37:2.665;N35:2.901;N7:3.397;N38:4.667,4.6666,inf,inf,N21:2.335;N22:2.375;N36:2.490;N8:2.490;N37:2.665;N35:2.901;N7:3.397;N38:4.667
32,bec89700cf93,Er,68,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[6, 7, 20, 21, 34, 35, 36, 37]",8,8,1,nitrate,68|CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Er/Er_Z68_ox3_CN8_nlig1_nitrate_bec89700cf93.xyz,2,standard,1176799812,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Er/Er_Z68_ox3_CN8_nlig1_nitrate_bec89700cf93_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Er/Er_Z68_ox3_CN8_nlig1_nitrate_bec89700cf93_attempt02_standard_dup2.mol2,-3417.850052858801,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N21:2.179;N38:2.239;N37:2.400;N36:2.548;N22:2.635;N8:3.359;N7:3.426;N35:3.557,3.5573,inf,inf,N21:2.179;N38:2.239;N37:2.400;N36:2.548;N22:2.635;N8:3.359;N7:3.426;N35:3.557
68,fbeb4feade31,Eu,63,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,9,1,water,63|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_water_fbeb4feade31.xyz,1,standard,1608785219,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_water_fbeb4feade31_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_water_fbeb4feade31_attempt01_standard_dup2.mol2,-4793.856575707336,,FAIL_LONG_BOND,coreCN_max_dist>3.10,O60:2.241;O52:2.260;N57:2.472;O117:2.509;O114:2.627;N54:2.629;O111:2.736;N44:4.004;N7:4.261,4.2607,inf,inf,O60:2.241;O52:2.260;N57:2.472;O117:2.509;O114:2.627;N54:2.629;O111:2.736;N44:4.004;N7:4.261
68,fbeb4feade31,Eu,63,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[6, 43, 51, 53, 56, 59]",6,9,1,water,63|CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O|water,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_water_fbeb4feade31.xyz,2,standard,1608793138,50,6,250,8,build_failed,False,,,,,no_structures_returned,BUILD_FAILED,no_structures_returned,,,,,
140,41c879df857c,Ho,67,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[6, 7, 15, 16, 19, 28, 29]",7,8,1,nitrate,67|CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_41c879df857c.xyz,1,standard,94099682,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_41c879df857c_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_41c879df857c_attempt01_standard_dup2.mol2,-2688.888988491334,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N16:2.291;N8:2.309;O66:2.459;N7:2.508;N29:2.555;N17:2.844;N30:3.836;N20:4.135,4.1349,inf,inf,N16:2.291;N8:2.309;O66:2.459;N7:2.508;N29:2.555;N17:2.844;N30:3.836;N20:4.135
140,41c879df857c,Ho,67,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[6, 7, 15, 16, 19, 28, 29]",7,8,1,nitrate,67|CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_41c879df857c.xyz,2,standard,94107601,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_41c879df857c_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_41c879df857c_attempt02_standard_dup2.mol2,-2689.0809059237376,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N16:2.260;N7:2.303;N8:2.305;N29:2.365;N17:2.448;O66:2.485;N20:3.213;N30:3.472,3.4717,inf,inf,N16:2.260;N7:2.303;N8:2.305;N29:2.365;N17:2.448;O66:2.485;N20:3.213;N30:3.472
176,806c58d6243c,Nd,60,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[9, 22, 23, 26, 35, 36, 37, 38]",8,9,1,nitrate,60|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_806c58d6243c.xyz,1,standard,1927210361,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_806c58d6243c_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_806c58d6243c_attempt01_standard_dup2.mol2,-3161.298268375027,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N38:2.304;N23:2.380;O79:2.453;N24:2.485;N36:2.553;N37:2.585;N39:2.620;N27:3.943;N10:4.432,4.4320,inf,inf,N38:2.304;N23:2.380;O79:2.453;N24:2.485;N36:2.553;N37:2.585;N39:2.620;N27:3.943;N10:4.432
176,806c58d6243c,Nd,60,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[9, 22, 23, 26, 35, 36, 37, 38]",8,9,1,nitrate,60|CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_806c58d6243c.xyz,2,standard,1927218280,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_806c58d6243c_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_806c58d6243c_attempt02_standard_dup2.mol2,-3162.2137688771286,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N23:2.235;N38:2.325;N39:2.375;N36:2.530;N24:2.619;O79:2.624;N37:2.637;N27:3.131;N10:3.649,3.6485,inf,inf,N23:2.235;N38:2.325;N39:2.375;N36:2.530;N24:2.619;O79:2.624;N37:2.637;N27:3.131;N10:3.649
248,7b3aca9f455b,Tm,69,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[6, 7, 15, 16, 19, 28, 29]",7,8,1,nitrate,69|CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tm/Tm_Z69_ox3_CN8_nlig1_nitrate_7b3aca9f455b.xyz,1,standard,469979068,40,5,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Tm/Tm_Z69_ox3_CN8_nlig1_nitrate_7b3aca9f455b_attempt01_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Tm/Tm_Z69_ox3_CN8_nlig1_nitrate_7b3aca9f455b_attempt01_standard_dup2.mol2,-2688.3946869926167,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N16:2.268;N8:2.269;N7:2.279;N29:2.349;O66:2.439;N17:2.552;N20:2.843;N30:3.763,3.7631,inf,inf,N16:2.268;N8:2.269;N7:2.279;N29:2.349;O66:2.439;N17:2.552;N20:2.843;N30:3.763
248,7b3aca9f455b,Tm,69,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[6, 7, 15, 16, 19, 28, 29]",7,8,1,nitrate,69|CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C|nitrate,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tm/Tm_Z69_ox3_CN8_nlig1_nitrate_7b3aca9f455b.xyz,2,standard,469986987,50,6,250,0,rejected_by_nearest_coreCN_qc,False,,data/processed/geometries_regenerated_fail_long_bond/rejected/Tm/Tm_Z69_ox3_CN8_nlig1_nitrate_7b3aca9f455b_attempt02_standard_dup2.xyz,data/processed/geometries_regenerated_fail_long_bond/rejected/Tm/Tm_Z69_ox3_CN8_nlig1_nitrate_7b3aca9f455b_attempt02_standard_dup2.mol2,-2688.6989953875614,,FAIL_LONG_BOND,coreCN_max_dist>3.10,N8:2.184;N16:2.237;N17:2.390;N29:2.412;N7:2.425;O66:2.459;N20:3.606;N30:3.749,3.7487,inf,inf,N8:2.184;N16:2.237;N17:2.390;N29:2.412;N7:2.425;O66:2.459;N20:3.606;N30:3.749
