enabled,build_id,geometry_key,ligType,DENTATE,COORDLIST,DONOR_TYPES,SMILES_FOR_ARCHITECTOR,metal_symbol,coreCN,n_ligs,inner_sphere_anion,note
1,a8cebae3a691,,tri_mer_bent,3,"[5, 13, 24]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,Dy,9,3,nitrate,family template replan: BTP_like_N3
1,ae268fc436f5,,tetra_planar_bent,4,"[51, 53, 56, 59]","[""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)"", ""O(amide_carbonyl)""]",CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,Dy,8,1,water,family template replan: large_rigid_filtered_4dent
1,60e55854a033,,tetra_trigonal_pyramidal,4,"[18, 20, 23, 43]","[""O(amide_carbonyl)"", ""N(amine)"", ""O(amide_carbonyl)"", ""O(amide_carbonyl)""]",CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,Dy,8,1,nitrate,family template replan: compact_amide_core_4dent
1,6fdbdd68aedf,,tri_mer_bent,3,"[7, 15, 28]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,Er,9,3,nitrate,family template replan: BTP_like_N3
1,3613f9313097,,tetra_planar_bent,4,"[22, 35, 36, 37]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,Er,8,1,nitrate,family template replan: BTBP_BTPhen_like_N4
1,e12fcd7548a4,,tetra_planar_bent,4,"[7, 20, 35, 36]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,Er,8,1,nitrate,family template replan: BTBP_BTPhen_like_N4
1,07e48b9adbd1,,tetra_planar_bent,4,"[51, 53, 56, 59]","[""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)"", ""O(amide_carbonyl)""]",CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,Er,8,1,nitrate,family template replan: large_rigid_filtered_4dent
1,3055a9eb1f23,,tri_mer_bent,3,"[5, 13, 24]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,Er,9,3,nitrate,family template replan: BTP_like_N3
1,99b569fa6f64,,tetra_planar_bent,4,"[51, 53, 56, 59]","[""O(amide_carbonyl)"", ""N(aromatic)"", ""N(aromatic)"", ""O(amide_carbonyl)""]",CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,Er,8,1,water,family template replan: large_rigid_filtered_4dent
1,cf17beddcb28,,tetra_planar_bent,4,"[21, 33, 34, 35]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,Eu,9,1,nitrate,family template replan: BTBP_BTPhen_like_N4
1,75a002a31497,,tetra_planar_bent,4,"[11, 24, 25, 28]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,Eu,9,1,nitrate,family template replan: BTBP_BTPhen_like_N4
1,59647d1e3834,,tetra_planar_bent,4,"[22, 35, 36, 37]","[""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)"", ""N(aromatic)""]",CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,Eu,9,1,nitrate,family template replan: BTBP_BTPhen_like_N4
1,c83f2b866c76,,hexa_octahedral,6,"[0, 4, 7, 10, 13, 17]","[""O(ester_carbonyl)"", ""N(amine)"", ""O(hydroxyl)"", ""N(amine)"", ""O(ester_carbonyl)"", ""O(ester_carbonyl)""]",O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,Eu,9,1,nitrate,family template replan: aminopolycarboxylate_6dent
