queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
9,64774e79e81c,Gd,64,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_05a03a08886e.xyz,1,large_ligand_fast,2067589785,40,5,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/template_large_rigid/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_64774e79e81c_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_64774e79e81c_attempt01_large_ligand_fast.mol2,-5366.731219220839,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O118:2.066;O117:2.086;O113:2.169;O114:2.171;O60:2.271;N115:2.394;O119:2.430;N57:2.499;N111:2.527,2.5267,2.602,0.0753,O118:2.066;O117:2.086;O113:2.169;O114:2.171;O60:2.271;N115:2.394;O119:2.430;N57:2.499;N111:2.527;O52:2.602;N54:2.610;O116:3.559;O112:3.719;N7:4.346;N44:4.700
9,64774e79e81c,Gd,64,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_05a03a08886e.xyz,2,large_ligand_deep,2067597704,50,6,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/template_large_rigid/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_64774e79e81c_attempt02_large_ligand_deep.xyz,data/processed/geometries_family_regenerated/template_large_rigid/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_64774e79e81c_attempt02_large_ligand_deep.mol2,-5367.209512340033,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O118:2.094;O117:2.106;O114:2.148;O113:2.164;O60:2.338;N115:2.427;N111:2.504;O52:2.516;N57:2.555,2.5549,2.6015,0.0466,O118:2.094;O117:2.106;O114:2.148;O113:2.164;O60:2.338;N115:2.427;N111:2.504;O52:2.516;N57:2.555;N54:2.602;O119:2.647;O116:3.592;O112:3.693;N7:4.417;N44:4.656
10,37a7e6578c98,Gd,64,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,9,1,water,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Gd/Gd_Z64_ox3_CN9_nlig1_water_2e531fb08047.xyz,1,large_ligand_fast,319533763,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Gd/Gd_Z64_ox3_CN9_nlig1_water_37a7e6578c98_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Gd/Gd_Z64_ox3_CN9_nlig1_water_37a7e6578c98_attempt01_large_ligand_fast.mol2,-5073.949657157573,,OK,nearest_coreCN_qc_ok,O60:2.341;O52:2.394;O111:2.425;N57:2.439;N54:2.459;O117:2.545;O120:2.752;O123:2.772;O114:2.794,2.7942,4.4964,1.7022,O60:2.341;O52:2.394;O111:2.425;N57:2.439;N54:2.459;O117:2.545;O120:2.752;O123:2.772;O114:2.794;N7:4.496;N44:4.514
11,75c4380e37c9,Ho,67,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,8,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_9b88ecdb5d6a.xyz,1,large_ligand_fast,43490818,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_75c4380e37c9_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_75c4380e37c9_attempt01_large_ligand_fast.mol2,-5227.289572118418,,OK,nearest_coreCN_qc_ok,O117:2.079;O113:2.100;O118:2.112;O114:2.148;O60:2.397;O52:2.408;N111:2.449;N115:2.457,2.4566,2.62,0.1635,O117:2.079;O113:2.100;O118:2.112;O114:2.148;O60:2.397;O52:2.408;N111:2.449;N115:2.457;N57:2.620;N54:2.641;O112:3.599;O116:3.641;N7:4.560;N44:4.582
12,45a08ce57e6e,Ho,67,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,8,1,water,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig1_water_62f0b304a15a.xyz,1,large_ligand_fast,232084336,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Ho/Ho_Z67_ox3_CN8_nlig1_water_45a08ce57e6e_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Ho/Ho_Z67_ox3_CN8_nlig1_water_45a08ce57e6e_attempt01_large_ligand_fast.mol2,-4934.388818635494,,OK,nearest_coreCN_qc_ok,O60:2.357;O52:2.392;O114:2.438;N54:2.527;N57:2.538;O117:2.552;O111:2.586;O120:2.650,2.6503,4.5261,1.8758,O60:2.357;O52:2.392;O114:2.438;N54:2.527;N57:2.538;O117:2.552;O111:2.586;O120:2.650;N7:4.526;N44:4.547
13,2f4afdcc8771,La,57,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig1_nitrate_8895a6ee019b.xyz,1,large_ligand_fast,14397422,40,5,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/template_large_rigid/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_2f4afdcc8771_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_2f4afdcc8771_attempt01_large_ligand_fast.mol2,-5369.754840961777,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O117:2.143;O118:2.206;O114:2.229;O113:2.236;O60:2.417;N57:2.524;N115:2.536;N54:2.552;O52:2.557,2.5568,2.6088,0.052,O117:2.143;O118:2.206;O114:2.229;O113:2.236;O60:2.417;N57:2.524;N115:2.536;N54:2.552;O52:2.557;N111:2.609;O119:2.697;O116:3.714;O112:3.799;N7:4.539;N44:4.682
13,2f4afdcc8771,La,57,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig1_nitrate_8895a6ee019b.xyz,2,large_ligand_deep,14405341,50,6,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/template_large_rigid/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_2f4afdcc8771_attempt02_large_ligand_deep.xyz,data/processed/geometries_family_regenerated/template_large_rigid/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_2f4afdcc8771_attempt02_large_ligand_deep.mol2,-5369.847570017507,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O117:2.155;O118:2.167;O113:2.300;O114:2.303;O60:2.441;N115:2.524;N57:2.543;O52:2.582;N54:2.597,2.597,2.6364,0.0394,O117:2.155;O118:2.167;O113:2.300;O114:2.303;O60:2.441;N115:2.524;N57:2.543;O52:2.582;N54:2.597;O119:2.636;N111:2.675;O116:3.712;O112:3.857;N7:4.578;N44:4.710
14,a76a8b802706,La,57,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,9,1,water,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig1_water_65d6bea6dcfa.xyz,1,large_ligand_fast,184277608,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/template_large_rigid/accepted/La/La_Z57_ox3_CN9_nlig1_water_a76a8b802706_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/La/La_Z57_ox3_CN9_nlig1_water_a76a8b802706_attempt01_large_ligand_fast.mol2,-5077.212577200949,,OK,nearest_coreCN_qc_ok,O60:2.441;N57:2.473;N54:2.481;O52:2.499;O111:2.510;O120:2.604;O114:2.662;O117:2.690;O123:2.842,2.842,4.5615,1.7195,O60:2.441;N57:2.473;N54:2.481;O52:2.499;O111:2.510;O120:2.604;O114:2.662;O117:2.690;O123:2.842;N7:4.561;N44:4.607
15,08140b63d6f3,Lu,71,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,8,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Lu/Lu_Z71_ox3_CN8_nlig1_nitrate_cc05c1c73d3e.xyz,1,large_ligand_fast,222533799,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Lu/Lu_Z71_ox3_CN8_nlig1_nitrate_08140b63d6f3_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Lu/Lu_Z71_ox3_CN8_nlig1_nitrate_08140b63d6f3_attempt01_large_ligand_fast.mol2,-5226.78382886413,,OK,nearest_coreCN_qc_ok,O113:2.029;O117:2.031;O118:2.031;O114:2.135;N115:2.357;O60:2.367;O52:2.375;N111:2.385,2.3847,2.5892,0.2045,O113:2.029;O117:2.031;O118:2.031;O114:2.135;N115:2.357;O60:2.367;O52:2.375;N111:2.385;N57:2.589;N54:2.608;O112:3.510;O116:3.512;N7:4.509;N44:4.525
16,727bfd0c6ac8,Lu,71,3,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,"[51, 53, 56, 59]",4,8,1,water,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Lu/Lu_Z71_ox3_CN8_nlig1_water_01e76e93d20f.xyz,1,large_ligand_fast,1676027899,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Lu/Lu_Z71_ox3_CN8_nlig1_water_727bfd0c6ac8_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_large_rigid/accepted/Lu/Lu_Z71_ox3_CN8_nlig1_water_727bfd0c6ac8_attempt01_large_ligand_fast.mol2,-4934.024152784259,,OK,nearest_coreCN_qc_ok,O120:2.339;O60:2.347;O52:2.375;N54:2.395;N57:2.407;O117:2.442;O114:2.528;O111:2.590,2.59,4.4804,1.8904,O120:2.339;O60:2.347;O52:2.375;N54:2.395;N57:2.407;O117:2.442;O114:2.528;O111:2.590;N7:4.480;N44:4.501
