reference,candidate,delta_mean,ci95_low,ci95_high,p_better,extractants_improved,n_extractants
A2,A2_TP,0.0032676232366060467,0.0013708619611472075,0.0053341186752064035,0.9999,25,34
A2,PAIRMEAN,-0.12619293163927445,-0.19229262428567373,-0.061308448637650004,0.0001,10,34
PAIRMEAN,A2,0.12619293163927445,0.061308448637650004,0.19229262428567373,0.9999,24,34
