arm,macro_mae,pooled_mae,pooled_r2,sign_accuracy,dispersion_ratio,adjacent_mae,nonadjacent_mae,macro_mae_split_sd
A2,0.32380968588975806,0.412794212776757,0.33053046073732156,0.8500223713646532,0.7566068998325077,0.13549226997891822,0.4662125699539287,0.005689222385347115
A2_TP,0.320542062653152,0.4096845437815263,0.33729085468625464,0.8495152870991797,0.7627775475152443,0.12448359002879932,0.4646245354062512,0.004944669431696125
PAIRMEAN,0.4500026175290325,0.3863750979654189,0.43176530808370617,0.8414019388516033,0.7069778319255452,0.12765750831483808,0.436213438341011,0.005108062208494649
