reference,candidate,delta_mean,ci95_low,ci95_high,p_better,extractants_improved,n_extractants
A2,OURS_anchored3D,-0.010237929838166219,-0.05299881556573897,0.03652401612279247,0.3146,16,34
A2_TP,OURS_anchored3D,-0.013597106956597865,-0.0562308824161589,0.032487917472266724,0.2668,17,34
OURS_anchored,OURS_anchored3D,-0.005231867770475008,-0.022757736739233696,0.012272225030917704,0.276,17,34
A2,OURS_anchored,-0.0050060620676912115,-0.03897010524874328,0.03521392738135038,0.3786,14,34
