arm,macro_mae,pooled_mae,pooled_r2,sign_accuracy,dispersion_ratio,adjacent_mae,nonadjacent_mae
A2,0.30961467936438714,0.40211660093187424,0.36892516345390725,0.8555008210180624,0.7364550623219016,0.1302850984913466,0.45442166574821646
A2_TP,0.30625550224595555,0.400108283999494,0.373208510279871,0.8550529929840275,0.7437927733496362,0.12035986177738242,0.4539367005929619
PAIRMEAN,0.44651392211047847,0.3817571576397878,0.44434275605764373,0.8459471562919839,0.7004354416686721,0.1250934349249137,0.4311436802910478
OURS_anchored,0.3146207414320783,0.41209430987295953,0.3542959903810098,0.8416181519629795,0.6646642951570472,0.12187923974186538,0.46793668986792447
OURS_encoder,0.36341187828265664,0.39821239933688346,0.4188513797143152,0.8552022689953724,0.6031559492291986,0.119930781913567,0.4517585774135309
OURS_anchored3D,0.3198526092025534,0.4005357702468547,0.39908708085864264,0.8559486490520973,0.6263524090565291,0.11875206878613712,0.4547558096343655
