build_id,metal_symbol,coreCN,DENTATE,n_ligs,inner_sphere_anion,fill_ligand,n_fill,rows_covered,heavy_atoms,mol_weight,n_rotatable_bonds,estimated_complex_heavy_atoms,heavy_ligand,recommended_profile_sequence,SMILES_FOR_ARCHITECTOR
8891c25d4c67,Ce,9,4,2,nitrate,nitrate,1,1,61,861.48,48,126,1,"standard,large_ligand_deep,large_ligand_fast",CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC
45970656f998,Eu,9,5,1,nitrate,nitrate,4,4,43,651.19,30,59,0,standard,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1
f4b171990fec,Yb,8,3,2,nitrate,nitrate,2,10,26,345.4,4,60,0,standard,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1
9517759666e7,Gd,9,4,2,water,water,1,1,52,715.12,30,105,0,standard,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1
48dc87a4f65a,Sm,9,3,3,nitrate,nitrate,0,2,43,609.04,32,129,0,standard,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC
63832a3a0ccc,Sm,9,2,4,nitrate,nitrate,1,1,21,282.34,4,88,0,standard,CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1
ab223aba5c2d,Gd,9,3,3,nitrate,nitrate,0,1,34,482.79,24,102,0,standard,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC
1c89bff6bd02,La,9,4,2,nitrate,nitrate,1,1,38,506.65,7,80,0,standard,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C
c8d46f63de3f,Tb,8,4,2,nitrate,nitrate,0,1,38,506.65,7,76,0,standard,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1
898d25284bd9,Ho,8,4,2,nitrate,nitrate,0,1,34,450.54,7,68,0,standard,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1
1fa2d9a6f39b,Tm,8,3,2,nitrate,nitrate,2,1,32,425.58,9,72,0,standard,CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1
74b654cc8157,Dy,8,2,4,nitrate,nitrate,0,1,54,755.19,32,216,0,standard,CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC
43d4b72c1250,Tb,8,4,2,nitrate,nitrate,0,1,40,530.67,8,80,0,standard,CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1
b1698120a579,Gd,9,4,2,nitrate,nitrate,1,1,36,490.69,14,76,0,standard,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1
