build_id,metal_symbol,coreCN,DENTATE,n_ligs,inner_sphere_anion,fill_ligand,n_fill,rows_covered,heavy_atoms,mol_weight,n_rotatable_bonds,estimated_complex_heavy_atoms,heavy_ligand,recommended_profile_sequence,SMILES_FOR_ARCHITECTOR
3927fc1f583b,Yb,8,4,2,nitrate,nitrate,0,1,61,861.48,48,122,1,"standard,large_ligand_deep,large_ligand_fast",CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC
da9ddf9cfb60,Ce,9,2,4,nitrate,nitrate,1,1,21,282.34,4,88,0,standard,CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1
2e9f73b8c9a6,Tm,8,4,2,nitrate,nitrate,0,1,38,506.65,7,76,0,standard,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C
62d86ee18db9,Tm,8,4,2,nitrate,nitrate,0,1,40,530.67,8,80,0,standard,CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1
5554eaf366fe,Er,8,3,2,nitrate,nitrate,2,1,30,401.51,6,68,0,standard,CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C
a0171bc7cc0b,Gd,9,2,4,nitrate,nitrate,1,1,25,354.58,16,104,0,standard,CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC
1a29423d80c9,Sm,9,3,3,water,water,0,1,41,576.95,26,123,0,standard,CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C
a71aa6e38cbc,Lu,8,3,2,nitrate,nitrate,2,1,45,667.98,32,98,0,standard,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-]
389643f6ef69,Er,8,3,2,nitrate,nitrate,2,33,41,580.98,32,90,0,standard,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC
569888167aa5,Lu,8,4,2,nitrate,nitrate,0,4,44,625.04,35,88,0,standard,CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC
66cc8b0df11e,Dy,8,3,2,nitrate,nitrate,2,1,44,623.06,33,96,0,standard,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC
e8a79da64745,Ce,9,6,1,nitrate,nitrate,3,1,18,264.32,0,30,0,standard,C1COCCOCCOCCOCCOCCO1
4c7560f50545,Sm,9,2,4,nitrate,nitrate,1,1,28,407.58,13,116,0,standard,CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1
9badbb5df239,Er,8,3,2,water,water,2,1,49,693.2,36,100,0,standard,CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C
e15dd3ef134f,Er,8,6,1,nitrate,nitrate,2,1,26,372.5,0,34,0,standard,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1
5b918030ec24,Eu,9,3,3,water,water,0,1,47,656.1,33,141,0,standard,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1
b2c371753758,Gd,9,3,3,nitrate,nitrate,0,6,23,312.37,6,69,0,standard,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1
0345ed41f690,La,9,6,1,nitrate,nitrate,3,1,26,372.5,0,38,0,standard,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1
854baef45df8,Nd,9,3,3,water,water,0,1,43,609.04,26,129,0,standard,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C
5370ca21e6d7,Tb,8,7,1,water,water,1,1,25,364.44,16,26,0,standard,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC
