queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,attempts_run,best_qc_class,best_coreCN_max_dist,best_gap_after_coreCN,best_xyz_path,best_failed_xyz_path,failure_note,accepted_for_clean_3d_features,ligtype_override
1,1e38ddd02002,Eu,63,3,CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1,"[12, 22, 23, 30]",4,9,2,nitrate,,2,FAIL_LONG_BOND,3.284,0.1549,data/processed/geometries_family_regenerated/template_other/rejected/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_1e38ddd02002_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_other/best_failed/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_1e38ddd02002_attempt02_large_ligand_fast.xyz,coreCN_max_dist>3.10,False,tetra_planar_bent
4,82898fce9546,Eu,63,3,Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,"[8, 12, 18, 19]",4,9,2,nitrate,,2,,,,,,no_structures_returned,False,tetra_planar_bent
5,edbaf992f7bf,Eu,63,3,Cc1ccn(-c2cncc(-n3ccc(C)n3)n2)n1,"[7, 15, 16, 17]",4,9,2,nitrate,,2,,,,,,no_structures_returned,False,tetra_planar_bent
6,d183c84956a2,Eu,63,3,CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,"[6, 9]",2,9,4,water,,2,FAIL_LONG_BOND,3.1772,0.6678,data/processed/geometries_family_regenerated/template_other/rejected/Eu/Eu_Z63_ox3_CN9_nlig4_water_d183c84956a2_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_other/best_failed/Eu/Eu_Z63_ox3_CN9_nlig4_water_d183c84956a2_attempt02_large_ligand_fast.xyz,coreCN_max_dist>3.10,False,bi_cis_chelating
8,505d828558f4,Ho,67,3,CCCCCCOP(=O)(O)OCCCCCC,"[8, 9]",2,8,4,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.7961,0.0876,data/processed/geometries_family_regenerated/template_other/rejected/Ho/Ho_Z67_ox3_CN8_nlig4_nitrate_505d828558f4_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_other/best_failed/Ho/Ho_Z67_ox3_CN8_nlig4_nitrate_505d828558f4_attempt02_large_ligand_fast.xyz,gap_after_coreCN<0.10,False,bi_cis_chelating
