queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
2,810d12deae71,Eu,63,3,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,"[18, 30, 48, 51]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_501e57106fbd.xyz,1,standard,181366711,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/template_other/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_810d12deae71_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_other/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_810d12deae71_attempt01_standard.mol2,-5188.246208446016,,OK,nearest_coreCN_qc_ok,O129:2.058;O130:2.112;O134:2.113;O133:2.118;N127:2.432;N131:2.473;O135:2.558;N49:2.616;N52:2.647,2.6475,2.8776,0.2302,O129:2.058;O130:2.112;O134:2.113;O133:2.118;N127:2.432;N131:2.473;O135:2.558;N49:2.616;N52:2.647;S19:2.878;S31:3.037;O128:3.610;O132:3.665;N32:4.623;N9:4.972
8,505d828558f4,Ho,67,3,CCCCCCOP(=O)(O)OCCCCCC,"[8, 9]",2,8,4,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig2_nitrate_59fa2fc349b4.xyz,1,standard,1135899208,40,5,250,0,rejected_by_nearest_coreCN_qc,False,bi_cis_chelating,data/processed/geometries_family_regenerated/template_other/rejected/Ho/Ho_Z67_ox3_CN8_nlig4_nitrate_505d828558f4_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_other/rejected/Ho/Ho_Z67_ox3_CN8_nlig4_nitrate_505d828558f4_attempt01_standard.mol2,-6359.057164208298,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O97:2.099;O141:2.129;O53:2.161;O9:2.164;O10:2.538;O142:2.666;O54:2.683;O98:2.872,2.8717,2.9170,0.0453,O97:2.099;O141:2.129;O53:2.161;O9:2.164;O10:2.538;O142:2.666;O54:2.683;O98:2.872;P8:2.917;P140:2.938;P52:2.964;P96:3.110;O139:3.676;O55:3.685;O11:3.884;O95:4.006;O7:4.111;O51:4.265;O143:4.269;O99:4.316
8,505d828558f4,Ho,67,3,CCCCCCOP(=O)(O)OCCCCCC,"[8, 9]",2,8,4,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig2_nitrate_59fa2fc349b4.xyz,2,large_ligand_fast,1135907127,50,6,250,0,rejected_by_nearest_coreCN_qc,False,bi_cis_chelating,data/processed/geometries_family_regenerated/template_other/rejected/Ho/Ho_Z67_ox3_CN8_nlig4_nitrate_505d828558f4_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_other/rejected/Ho/Ho_Z67_ox3_CN8_nlig4_nitrate_505d828558f4_attempt02_large_ligand_fast.mol2,-6358.023834998149,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O9:2.104;O141:2.130;O97:2.133;O53:2.165;O10:2.552;O98:2.625;O142:2.722;O54:2.796,2.7961,2.8837,0.0876,O9:2.104;O141:2.130;O97:2.133;O53:2.165;O10:2.552;O98:2.625;O142:2.722;O54:2.796;P8:2.884;P96:2.961;P140:3.035;P52:3.103;O7:3.732;O99:3.834;O11:4.068;O143:4.079;O55:4.144;O139:4.156;O51:4.220;O95:4.289
