combiner,r2_overall,r2_between,r2_within,r2_within_composition,rmse,mae,sel_spearman_mean,sel_logSF_r2,sel_sign_accuracy
best_single,0.516271733220404,0.7372287463468834,0.3023325566706121,0.3091564349664837,1.1669751240038444,0.8614991251702627,0.6175419402937489,0.42753610182726887,0.7605421686746988
mean,0.5107808119557458,0.7048870024976157,0.32283964647676644,0.3230652392022787,1.17357974832888,0.8838947123059923,0.5862903686429433,0.3875430275579804,0.7533885542168675
nnls,0.5098931796024969,0.7105672959693872,0.31559269281136415,0.3207452953540796,1.1746439290607447,0.8791055818539882,0.5957230393508242,0.3960703191348198,0.7575301204819277
uncert,0.5107213701808788,0.7058010519363955,0.32183763263469434,0.32217489802225896,1.1736510431043239,0.8834811590701753,0.5859583973372339,0.38814547009993317,0.7530120481927711
