dataset_row_index,safe_exp_id,metal,canonical_smiles,inner_sphere_anion,geometry_key,build_id,geometry_environment_key,geom_cond__acid_class,geom_cond__acid_strength_bin,geom_cond__nitrate_activity,geom_cond__pH_bin,geom_cond__diluent_family,geom_cond__modifier_class,geom_cond__temperature_bin,geom_cond__contact_time_bin,geom_cond__shaking_time_bin,geom_cond__phase_ratio_bin
0,Am_SAFE:10321,Eu,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1|nitrate,a3e671494b96,acid_class=nitrate|acid_strength_bin=high|nitrate_activity=high|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,high,high,missing,aliphatic_hydrocarbon,none,ambient,medium,missing,missing
1,Am_SAFE:10343,Eu,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1|nitrate,a3e671494b96,acid_class=nitrate|acid_strength_bin=low|nitrate_activity=low|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,low,low,missing,aliphatic_hydrocarbon,none,ambient,medium,missing,missing
2,Am_SAFE:10344,Eu,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1|nitrate,a3e671494b96,acid_class=nitrate|acid_strength_bin=low|nitrate_activity=low|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,low,low,missing,aliphatic_hydrocarbon,none,ambient,medium,missing,missing
3,Am_SAFE:10345,Eu,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1|nitrate,a3e671494b96,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,medium,medium,missing,aliphatic_hydrocarbon,none,ambient,medium,missing,missing
4,Am_SAFE:10346,Eu,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1|nitrate,a3e671494b96,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,medium,medium,missing,aliphatic_hydrocarbon,none,ambient,medium,missing,missing
5,Am_SAFE:10348,Eu,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1|nitrate,a3e671494b96,acid_class=nitrate|acid_strength_bin=very_high|nitrate_activity=very_high|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,very_high,very_high,missing,aliphatic_hydrocarbon,none,ambient,medium,missing,missing
6,Am_SAFE:10391,Eu,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,water,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1|water,4db10fb36c20,acid_class=nitrate|acid_strength_bin=missing|nitrate_activity=missing|pH_bin=missing|diluent_family=ionic_liquid|modifier_class=none|temperature_bin=ambient|contact_time_bin=long|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,missing,missing,missing,ionic_liquid,none,ambient,long,missing,missing
7,Am_SAFE:10392,Eu,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1|nitrate,a3e671494b96,acid_class=nitrate|acid_strength_bin=low|nitrate_activity=low|pH_bin=missing|diluent_family=ionic_liquid|modifier_class=none|temperature_bin=ambient|contact_time_bin=long|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,low,low,missing,ionic_liquid,none,ambient,long,missing,missing
8,Am_SAFE:10393,Eu,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1|nitrate,a3e671494b96,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=ionic_liquid|modifier_class=none|temperature_bin=ambient|contact_time_bin=long|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,medium,medium,missing,ionic_liquid,none,ambient,long,missing,missing
9,Am_SAFE:10394,Eu,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1|nitrate,a3e671494b96,acid_class=nitrate|acid_strength_bin=high|nitrate_activity=high|pH_bin=missing|diluent_family=ionic_liquid|modifier_class=none|temperature_bin=ambient|contact_time_bin=long|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,high,high,missing,ionic_liquid,none,ambient,long,missing,missing
10,Am_SAFE:10395,Eu,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1|nitrate,a3e671494b96,acid_class=nitrate|acid_strength_bin=high|nitrate_activity=high|pH_bin=missing|diluent_family=ionic_liquid|modifier_class=none|temperature_bin=ambient|contact_time_bin=long|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,high,high,missing,ionic_liquid,none,ambient,long,missing,missing
11,Am_SAFE:10396,Eu,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1|nitrate,a3e671494b96,acid_class=nitrate|acid_strength_bin=high|nitrate_activity=high|pH_bin=missing|diluent_family=ionic_liquid|modifier_class=none|temperature_bin=ambient|contact_time_bin=long|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,high,high,missing,ionic_liquid,none,ambient,long,missing,missing
12,Am_SAFE:10397,Eu,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1|nitrate,a3e671494b96,acid_class=nitrate|acid_strength_bin=high|nitrate_activity=high|pH_bin=missing|diluent_family=ionic_liquid|modifier_class=none|temperature_bin=ambient|contact_time_bin=long|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,high,high,missing,ionic_liquid,none,ambient,long,missing,missing
13,Am_SAFE:10398,Eu,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1|nitrate,a3e671494b96,acid_class=nitrate|acid_strength_bin=very_high|nitrate_activity=very_high|pH_bin=missing|diluent_family=ionic_liquid|modifier_class=none|temperature_bin=ambient|contact_time_bin=long|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,very_high,very_high,missing,ionic_liquid,none,ambient,long,missing,missing
14,Am_SAFE:10488,Eu,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1|nitrate,a3e671494b96,acid_class=nitrate|acid_strength_bin=high|nitrate_activity=high|pH_bin=missing|diluent_family=ionic_liquid|modifier_class=none|temperature_bin=ambient|contact_time_bin=long|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,high,high,missing,ionic_liquid,none,ambient,long,missing,missing
15,Am_SAFE:11538,Ce,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,nitrate,58|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,8891c25d4c67,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,medium,medium,missing,aliphatic_hydrocarbon,none,ambient,medium,missing,missing
16,Am_SAFE:11539,Dy,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,nitrate,66|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,4ca0b6f30178,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,medium,medium,missing,aliphatic_hydrocarbon,none,ambient,medium,missing,missing
17,Am_SAFE:11540,Er,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,nitrate,68|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,32c5ca2ccd68,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,medium,medium,missing,aliphatic_hydrocarbon,none,ambient,medium,missing,missing
18,Am_SAFE:11541,Eu,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,f3f070427c1f,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,medium,medium,missing,aliphatic_hydrocarbon,none,ambient,medium,missing,missing
19,Am_SAFE:11542,Gd,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,nitrate,64|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,bd11f8c14383,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,medium,medium,missing,aliphatic_hydrocarbon,none,ambient,medium,missing,missing
20,Am_SAFE:11543,Ho,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,nitrate,67|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,b72884625baf,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,medium,medium,missing,aliphatic_hydrocarbon,none,ambient,medium,missing,missing
21,Am_SAFE:11544,La,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,nitrate,57|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,033b4c93146d,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,medium,medium,missing,aliphatic_hydrocarbon,none,ambient,medium,missing,missing
22,Am_SAFE:11545,Lu,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,nitrate,71|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,a5b6774306ad,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,medium,medium,missing,aliphatic_hydrocarbon,none,ambient,medium,missing,missing
23,Am_SAFE:11546,Nd,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,nitrate,60|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,e0bff762c05d,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,medium,medium,missing,aliphatic_hydrocarbon,none,ambient,medium,missing,missing
24,Am_SAFE:11547,Pr,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,nitrate,59|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,0a5ee26d567d,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,medium,medium,missing,aliphatic_hydrocarbon,none,ambient,medium,missing,missing
25,Am_SAFE:11548,Sm,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,nitrate,62|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,bef90f96562a,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,medium,medium,missing,aliphatic_hydrocarbon,none,ambient,medium,missing,missing
26,Am_SAFE:11549,Tb,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,nitrate,65|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,e54b7e0eebc9,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,medium,medium,missing,aliphatic_hydrocarbon,none,ambient,medium,missing,missing
27,Am_SAFE:11550,Tm,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,nitrate,69|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,7dc84a0bd047,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,medium,medium,missing,aliphatic_hydrocarbon,none,ambient,medium,missing,missing
28,Am_SAFE:11551,Yb,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,nitrate,70|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,3927fc1f583b,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=aliphatic_hydrocarbon|modifier_class=none|temperature_bin=ambient|contact_time_bin=medium|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,medium,medium,missing,aliphatic_hydrocarbon,none,ambient,medium,missing,missing
29,Am_SAFE:12711,Eu,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,water,63|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|water,a23b9ed3c843,acid_class=nitrate|acid_strength_bin=very_low|nitrate_activity=very_low|pH_bin=missing|diluent_family=other|modifier_class=none|temperature_bin=ambient|contact_time_bin=short|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,very_low,very_low,missing,other,none,ambient,short,missing,missing
30,Am_SAFE:12712,Eu,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,f3f070427c1f,acid_class=nitrate|acid_strength_bin=low|nitrate_activity=low|pH_bin=missing|diluent_family=other|modifier_class=none|temperature_bin=ambient|contact_time_bin=short|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,low,low,missing,other,none,ambient,short,missing,missing
31,Am_SAFE:12713,Eu,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,f3f070427c1f,acid_class=nitrate|acid_strength_bin=medium|nitrate_activity=medium|pH_bin=missing|diluent_family=other|modifier_class=none|temperature_bin=ambient|contact_time_bin=short|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,medium,medium,missing,other,none,ambient,short,missing,missing
32,Am_SAFE:12714,Eu,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,f3f070427c1f,acid_class=nitrate|acid_strength_bin=high|nitrate_activity=high|pH_bin=missing|diluent_family=other|modifier_class=none|temperature_bin=ambient|contact_time_bin=short|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,high,high,missing,other,none,ambient,short,missing,missing
33,Am_SAFE:12715,Eu,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,f3f070427c1f,acid_class=nitrate|acid_strength_bin=high|nitrate_activity=high|pH_bin=missing|diluent_family=other|modifier_class=none|temperature_bin=ambient|contact_time_bin=short|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,high,high,missing,other,none,ambient,short,missing,missing
34,Am_SAFE:12716,Eu,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,nitrate,63|CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC|nitrate,f3f070427c1f,acid_class=nitrate|acid_strength_bin=high|nitrate_activity=high|pH_bin=missing|diluent_family=other|modifier_class=none|temperature_bin=ambient|contact_time_bin=short|shaking_time_bin=missing|phase_ratio_bin=missing,nitrate,high,high,missing,other,none,ambient,short,missing,missing
