subset,n_cells,pearson_r,spearman_r,boot_lo,boot_hi,n_cells_overall_up,n_cells_adjacent_up
all cells,5,0.815653008065056,0.19999999999999998,-1.0,1.0,2,0
excluding A1,4,-0.3025681802740628,-0.6000000000000001,-1.0,1.0,2,0
