base,arm,question,baseline_obs,arm_obs,arm_lo,arm_hi,delta,lo,hi,p_better,n_boot,lo_5test,hi_5test,verdict,verdict_5test
no topology (CatBoost+repaired),full (CatBoost+repaired+S0),drop-in: does adding S0 to the best no-topology stack help?,0.22633727875624476,0.26717080215448785,0.19052288960071845,0.2955187389872656,0.03806552885470988,0.01913728431084214,0.04951003797187171,1.0,400,0.016589057454070882,0.05954200025534888,adds,adds
topology swapped for control,full (CatBoost+repaired+S0),swap: S0 vs the matched tabular control in the same slot,0.220753188639077,0.26717080215448785,0.19052288960071845,0.2955187389872656,0.04462133468336822,0.029773074673017718,0.05443822468338615,1.0,400,0.027180690522420194,0.062061978844316246,adds,adds
