feature,n_families,median_step_per_index,median_residual_sd,median_snr,frac_families_snr_below_1
gE__abs__e_int_water_ev,81,0.1695271675562063,0.7313255147431281,0.24863216207800184,0.9876543209876543
gE__abs__e_int_octanol_ev,81,0.20093110657236887,0.7559428048081502,0.2538142693200139,0.9876543209876543
gE__abs__dg_transfer_ev,81,0.013573713278860743,0.09929504818255226,0.16895601656100376,1.0
gE__abs__gap_water_ev,81,0.024885488243723112,0.36745233771011043,0.0895780715956252,1.0
gE__abs__q_metal_water,81,0.0019468862735801313,0.014471561557924497,0.13471774431467776,0.9753086419753086
