arm,adj_r2,err_corr
"S0 (3.5 A, published)",0.23820158234461886,0.8970857138903802
F30 (3.0 A),0.23664457960586338,0.8975779097680977
F40 (4.0 A),0.23186615889618756,0.9066999946186041
