w,adj_r2,r2_overall
0.0,0.14217318808560242,0.4986513470594569
0.1,0.17521473696151257,0.5010629922754486
0.2,0.20304768373742088,0.5000302861124881
0.3,0.22567202841332712,0.4955532285705754
0.4,0.24308777098923173,0.48763181964971036
0.5,0.25529491146513417,0.4762660593498931
0.6,0.262293449841035,0.46145594767112363
0.7,0.2640833861169338,0.4432014846134018
0.8,0.2606647202928306,0.4215026701767278
0.9,0.25203745236872566,0.39635950436110134
1.0,0.23820158234461886,0.36777198716652293
