config,preset,model,r2_overall,r2_between,r2_within,r2_within_composition,sel_logSF_r2,sel_spearman_mean,mae,d_r2_overall,d_r2_overall_lo,d_r2_overall_hi,d_r2_overall_p_better,d_r2_between,d_r2_between_lo,d_r2_between_hi,d_r2_between_p_better,d_r2_within,d_r2_within_lo,d_r2_within_hi,d_r2_within_p_better,d_r2_within_composition,d_r2_within_composition_lo,d_r2_within_composition_hi,d_r2_within_composition_p_better,d_mae,d_mae_lo,d_mae_hi,d_mae_p_better,not_comparable
cn8_heavy/core3d_qc,core3d_qc,catboost,0.46970723654757673,0.6455550628240287,0.24574716027090793,0.13279417454207865,-0.09622271198360033,0.2603010137403011,0.9147253783657056,,,,,,,,,,,,,,,,,,,,,True
cn8_heavy/plus_g5,plus_g5,catboost,0.46787728534925876,0.6366090925141215,0.25298018253529464,0.12570730536460428,-0.08396300265444112,0.2994172848280761,0.9255865492413747,,,,,,,,,,,,,,,,,,,,,True
cn8_heavy/inner_sphere,inner_sphere,catboost,0.46359646904673524,0.6459285543406962,0.23137802998612167,0.10865882038480346,-0.18456825276807232,0.2654144583672403,0.9215888159022914,,,,,,,,,,,,,,,,,,,,,True
cn8_heavy/plus_g1,plus_g1,catboost,0.43821561483904214,0.6099096214911953,0.219545849961702,0.11554458752210484,-0.13128509531185895,0.3123446506245055,0.9433479628890711,,,,,,,,,,,,,,,,,,,,,True
cn8_heavy/baseline_2d,baseline_2d,catboost,0.4093683249522886,0.5879885515680219,0.18187731511446859,0.13208410156642603,-0.024986299285059577,0.4809241602694569,0.9704507594131994,,,,,,,,,,,,,,,,,,,,,True
cn9_matched:1/baseline_2d,baseline_2d,catboost,0.38372619788624607,0.4851879918671116,0.2909611170809139,0.1617704726130248,0.3650570080905726,0.5486369519825033,0.7936438726140203,0.10902808825733346,-0.09119176786183186,0.24659171477163694,0.855,0.28558047311258483,-0.046112968033236175,0.7080457534813496,0.92,-0.02172254002308205,-0.1621276263625311,0.04350996673568675,0.325,-0.08044389664798435,-0.30811781849522824,0.01862333663663674,0.1475,-0.08775803693711304,-0.1677985494973637,0.018453203764624292,0.0975,
cn9_matched:1/plus_g1,plus_g1,catboost,0.3665308401795845,0.42864745746062816,0.30973849701919665,0.20235670609591183,0.3580371826201183,0.47864510559725404,0.8231173288432334,0.08752771773947032,-0.09777734582714775,0.23112242511572076,0.7825,0.21017835753720593,-0.12509183073648755,0.6468211674798553,0.83,-0.00330452010142146,-0.10710926786587484,0.054184663513362555,0.4225,-0.040373810564987456,-0.1852738154464254,0.027778575914129244,0.2575,-0.05530804735393513,-0.13577896863141536,0.05971416129898517,0.2325,
cn9_matched:1/core3d_qc,core3d_qc,catboost,0.3557067743157706,0.42519518495665864,0.29217450492428165,0.18968369157458143,0.32533428711441936,0.47652726477405055,0.8326204138258325,0.086029544713764,-0.08040767400782454,0.22262292415168758,0.785,0.23335794732068782,-0.09844799168898703,0.671745521239547,0.84,-0.023078475663296016,-0.085469461953433,0.0069117495525831555,0.125,-0.052768143476890295,-0.1382146891356452,-0.011007658888720646,0.015,-0.05336325439293954,-0.13169014534782206,0.04500425138868359,0.2175,
cn9_matched:0/baseline_2d,baseline_2d,catboost,0.3407981849905435,0.3737212889207572,0.31258091141018596,0.16747300838410073,0.3634029679107059,0.5516235157702288,0.8011524107134749,0.04712378981827048,-0.14159695853076534,0.18387088671755486,0.6675,0.12122864289437618,-0.19292510626208836,0.42611242320493437,0.735,-0.009131024670943066,-0.12540994656255844,0.0668429400467399,0.415,-0.07779414999466794,-0.26594515162111343,0.014874335615462274,0.15,-0.05890089655551933,-0.14220398853689212,0.05967869577495823,0.2,
cn9_matched:0/core3d_qc,core3d_qc,catboost,0.3327958190372401,0.3716493317158397,0.2994957936467475,0.15687083702011295,0.24847720575264132,0.4211334081266268,0.839848358330434,0.048275107143559426,-0.10551590047457508,0.17572591844581464,0.67,0.13633603913827086,-0.16454809358727357,0.4573620493057273,0.7525,-0.018574109708974218,-0.08376236075045815,0.023993421572360594,0.245,-0.08447238312989669,-0.16881704109919834,-0.03111896814725338,0.0,-0.02574046075707037,-0.1079170466905165,0.07863057275561658,0.3925,
cn9_matched:1/inner_sphere,inner_sphere,catboost,0.3212764089338729,0.3435024458197693,0.30095545829021186,0.19448027587247196,0.32108702999602756,0.44842553710197586,0.8563607777053779,0.050361377853493816,-0.1270416383903509,0.200571195226145,0.67,0.13220331355579773,-0.21770919622247192,0.5926820245462172,0.71,-0.010248874007645625,-0.08819845882321768,0.03639646086880405,0.355,-0.050679427102054087,-0.16277890975923684,0.016505008916335606,0.135,-0.03127207049890157,-0.11201732440444526,0.07407208936506406,0.3175,
cn9_matched:0/plus_g1,plus_g1,catboost,0.31798926680021355,0.33283128057719324,0.3052686811556703,0.1600625015240974,0.2988073198745733,0.4570311062844372,0.84275697800758,0.026686098557432425,-0.12585468363746702,0.14410808115334398,0.59,0.08133944264268844,-0.17530536812942654,0.380327221631405,0.67,-0.014802597595486189,-0.09672768812913628,0.04087033891560628,0.32,-0.0833287000306906,-0.21339944793141388,-0.018151322236093014,0.0075,-0.01691880683704239,-0.09830977907996624,0.08674918773454846,0.4325,
cn9_matched:2/core3d_qc,core3d_qc,catboost,0.31674463500953354,0.2855848498572736,0.34250164525499094,0.24077213596110503,0.32361357006675384,0.437823892090933,0.8671218846750961,0.02991160345534527,-0.04994499346826381,0.13371330820606384,0.705,0.06494352988838292,-0.09335715035929132,0.3011346656490844,0.695,0.0009538399905217876,-0.022118146717748238,0.027506292155115842,0.5475,0.0030555864861265825,-0.028801557865384558,0.05711991469521911,0.5875,-0.00549352545586157,-0.06804090161491312,0.04872778374962245,0.47,
cn9_matched:1/plus_g5,plus_g5,catboost,0.3120236177729312,0.36639932147202003,0.2623086822333127,0.15839578351191352,0.2791007385959723,0.445587834747242,0.8689842846760214,0.03181907098057579,-0.13791551213114767,0.17027151767728824,0.595,0.1417392920715823,-0.1789533972623939,0.5502242111019353,0.71,-0.049585312087681466,-0.12524982746940083,-0.0034087733651196506,0.035,-0.08468145305161046,-0.195493423064975,-0.015309132477775433,0.02,-0.012210014510802392,-0.10290272825886274,0.10453855443130557,0.4625,
cn9_matched:0/plus_g5,plus_g5,catboost,0.2995477768250292,0.31818069841653174,0.2835781329158993,0.15490944003931284,0.2524358015968059,0.4848553532996805,0.8711457281075664,0.011813200380994426,-0.13681689135969677,0.13345228059335104,0.515,0.07157374455679988,-0.22959438774483015,0.3963566873427017,0.6,-0.033552496828226364,-0.11849159510286938,0.027886767210746267,0.1925,-0.08861154191229836,-0.18802470053030101,-0.021630551510665442,0.01,0.00952551635292409,-0.0769200793469659,0.12284142570436019,0.6075,
cn9_matched:2/baseline_2d,baseline_2d,catboost,0.28683303155418827,0.22064131996889058,0.34154780526446904,0.23771654947497844,0.4412765249245396,0.5054157750905943,0.8726154101309577,,,,,,,,,,,,,,,,,,,,,
cn9_matched:2/plus_g1,plus_g1,catboost,0.28233021849125617,0.21175017785259587,0.3406724317309041,0.24170749037270722,0.39374692227252883,0.5324018342230797,0.8905603257319064,-0.004502813062932098,-0.05811394464160263,0.06889423160403933,0.435,-0.008891142116295048,-0.10838021308195722,0.1403563139603514,0.4275,-0.0008753735335649271,-0.027869178373858605,0.03396182109829877,0.5575,0.003990940897728779,-0.01733427237283278,0.03959805780262277,0.6125,0.017944915600948685,-0.02590954833569432,0.059524869885742335,0.7725,
cn9_matched:2/inner_sphere,inner_sphere,catboost,0.27261464812890857,0.1887949210720612,0.34190092715891884,0.23097901690392908,0.303324541871394,0.4319882541524751,0.9034604596284245,-0.014218383425279701,-0.0815711247164817,0.06935831319213914,0.3525,-0.03184639889682983,-0.16450434812145726,0.13857006417325965,0.3425,0.0003531218944496928,-0.03267165531850655,0.04201167786967561,0.5525,-0.006737532571049365,-0.04558188146576592,0.060893514602949485,0.485,0.030845049497466803,-0.023467628744371638,0.0890004680857565,0.825,
cn9_matched:0/inner_sphere,inner_sphere,catboost,0.2693663373579749,0.24595951815626216,0.28942752668145666,0.15115011878939522,0.23806661781427374,0.424428638119077,0.8856090673117151,-0.018716040492927855,-0.173538584953321,0.11271947298890567,0.3925,-0.00213875760761173,-0.3344630091663566,0.32502431474796384,0.4575,-0.03130026318197299,-0.09671827836619379,0.014240324310889993,0.115,-0.09364523782571699,-0.17324561771903402,-0.039693439981928244,0.0075,0.019200151723848924,-0.06533053428215561,0.13385064578437825,0.6575,
cn9_matched:2/plus_g5,plus_g5,catboost,0.2515955794360497,0.1707985901171334,0.31838323126100143,0.22030409912395832,0.30955545637763027,0.42371951544219255,0.9226047707224555,-0.03523745211813856,-0.13018721614124332,0.06371685764303607,0.2375,-0.049842729851757306,-0.21979231869136387,0.1714436091506768,0.32,-0.02316457400346761,-0.05156600450384567,0.011316092826198191,0.1225,-0.017412450351020126,-0.06977491116335098,0.05646141222710344,0.3325,0.04998936059149783,-0.021451522333494795,0.13126146709894676,0.855,
