quintile,mae,spread
0,0.7784305727087127,0.1456869407942798
1,0.8222902047042224,0.1951487017238851
2,0.895190918572362,0.23526835717336445
3,0.8677051372113045,0.2841554700771969
4,1.0623863820980164,0.4037359472828899
