key,weight,hi,channels,tune,tune_c,confirm,confirm_c
9d6e4c93026dfa0c,linear,2.5,sum,0.1646026110218728,0.9618349146862054,0.21233249577079205,0.91026489073892
4ab39d0dcc46b245,constant,2.5,sum,0.1673871437272043,0.9632798666379622,0.22806393413964565,0.9147592957469022
c54e571a0dc23d9c,squared,2.5,sum,0.1535525778347765,0.9543476476794283,0.21069454736307247,0.9095045377768496
71eb414574f12dd9,arctan,2.5,sum,0.1601329513501194,0.9613368760926271,0.21651299386520706,0.9150103046999684
466fad29e6fb174c,linear,2.5,split,0.15121824729645184,0.9554539430706324,0.20363718007891252,0.9078952164275708
3e89e7534e30e113,constant,2.5,split,0.14848076916906972,0.9600944706690423,0.22436209558465026,0.9080766027488254
02097bd18ba4c58b,squared,2.5,split,0.1265547232018206,0.9529594630050238,0.21456861757843726,0.9131028049572247
201f62c4c453aa3a,arctan,2.5,split,0.15590903548832824,0.9606045808525535,0.20918187575770952,0.914110947095796
a0ab6bf23ee73565,linear,4.0,sum,0.1559786653429709,0.9590946582418707,0.22242614039180142,0.9071499436889661
7754bf361a4be8de,constant,4.0,sum,0.15965503669218806,0.9608089615908325,0.22049108390829342,0.9114125147468415
dc6a0a752e2ba93c,squared,4.0,sum,0.13756017802138687,0.9456717393035274,0.20566437674834825,0.8994756353678166
21398868a43afdd5,arctan,4.0,sum,0.15026998241537892,0.9600332689692123,0.21632371116191207,0.9121865629421206
2d02ab88ee0f4f8d,linear,4.0,split,0.14734576116582165,0.9526907874746765,0.19097501519163673,0.8995107042387015
ca08e010f24a3d8c,constant,4.0,split,0.15542586643682366,0.9560832622496499,0.22012789695087487,0.9091179110119051
e98df95a2d38460c,squared,4.0,split,0.14091151904391175,0.9349769332671218,0.20239930076607904,0.8935672510289996
1eb63fa67cafdf4a,arctan,4.0,split,0.141992129705785,0.947136522896029,0.2190294795505654,0.9098410202957236
db6c4dec638c0651,linear,6.0,sum,0.14840194468367351,0.9559719543388182,0.21803053560884544,0.9039689052813265
52c1282a9f02fcd6,constant,6.0,sum,0.1666441342421704,0.9604562101875518,0.22870490395319254,0.9024958229287074
fd7a87e209b61975,squared,6.0,sum,0.10517103320318821,0.9472782550502273,0.21779390618081773,0.9083839060387034
63ff5411cfa8bf3e,arctan,6.0,sum,0.13214455972523653,0.9581300032347566,0.2085841349379205,0.904269095633069
05b871a0de904df4,linear,6.0,split,0.15448514137288627,0.9582595616550085,0.22743674132550762,0.9127360456624295
3ed196725edb611e,constant,6.0,split,0.1640951632140233,0.9614906578267731,0.2237730684462943,0.9124247315636272
361ed8bd39e98f99,squared,6.0,split,0.1005828239590465,0.9450276439362527,0.20205104123575346,0.8983749322700403
83613840313f19d8,arctan,6.0,split,0.14695081871312143,0.9558290534501659,0.216087638612117,0.9095325743128196
3db6510910ba3f5f,linear,4.97,sum,0.12762907152905456,0.9591030350342895,0.216351825763215,0.9039190070995652
200b904ff2952591,constant,4.97,sum,0.16527598302757396,0.9612476736683035,0.2180101140393792,0.9092873300818639
5dbd0b48b5d8372a,squared,4.97,sum,0.1251574096645044,0.9505666621664026,0.20296247290237235,0.8993514801017314
f2afd0a6e32b45da,arctan,4.97,sum,0.14566940837979392,0.9628795504311514,0.21952297087872963,0.9049290077904227
84627668552dc525,linear,4.97,split,0.1331466090847775,0.9578225427182341,0.2312176440087501,0.9093374103039662
0b3424353386432a,constant,4.97,split,0.16413114790635364,0.960741718363658,0.2229136708415126,0.9084842803417669
246ded740a8f52c4,squared,4.97,split,0.13194078150777078,0.9504460680222215,0.20896480948757234,0.903832171614458
338f157f4a35d535,arctan,4.97,split,0.1503060630145734,0.956030172106244,0.22514868844655356,0.9111309442474763
