arm,n_feat,r2_overall,r2_between,r2_between_unweighted,r2_within,within_var_frac,r2_per_extractant_weighted,r2_per_extractant_median,frac_extractants_beat_mean,within_pearson,within_spearman,rmse,mae,medae,spearman,pearson,r2_within_composition,sel_n_blocks,sel_spearman_mean,sel_spearman_median,sel_kendall_mean,sel_logSF_mae,sel_logSF_r2,sel_sign_accuracy,sel_n_pairs,sel_adj_n_pairs,sel_adj_logSF_r2,sel_adj_logSF_mae,sel_adj_sign_accuracy,sel_adj_true_sd,sel_adj_pearson,r2_per_metal_mean,r2_per_metal_min
A0_baseline2d,746,0.5075667811003048,0.7482985356601839,0.7614922733990471,0.2976812317591365,0.5342266097547427,-16.019564878240118,0.01229818558148299,0.5394736842105263,0.5504487321165287,0.55783062668921,1.1523546702139538,0.8859066755473776,0.726742202362373,0.6913711888454969,0.713985896227797,0.35947861650358737,164.0,0.625706183467781,0.8545454545454546,0.5650156886242077,0.40615855710590415,0.45201288693775954,0.7770281388843179,6077.0,864.0,0.10453715344560455,0.16395027602698473,0.6712962962962963,0.2736584148081075,0.4065376397069891,0.4457602370185226,0.24470654362679367
A1_plus_feat3d,835,0.47740619123698314,0.7129122286455349,0.7141638623244817,0.27207676087153176,0.5342266097547427,-16.710977519903533,-0.09210851376813645,0.47368421052631576,0.5234597780104887,0.5340156720630594,1.1871200094966392,0.9226810594481076,0.7750734950463558,0.6699207806307934,0.6978471490467824,0.31940452538001485,164.0,0.5437989231496343,0.7912087912087913,0.4701336569001608,0.4486006466400501,0.39017944000981053,0.7172947177883824,6077.0,864.0,-0.12968878525401495,0.20420286766338216,0.5798611111111112,0.2736584148081075,0.2930914368986347,0.43739551834972573,0.2176879046000575
A2_plus_wo,768,0.48064108268003003,0.7138719694965884,0.7263230790242603,0.27729527608996074,0.5342266097547427,-15.597426626169428,-0.05492290200656069,0.4605263157894737,0.5299291743094404,0.5391695328688011,1.1834401289253103,0.9124551221164392,0.7586129756078139,0.6751708784662809,0.6960318679786549,0.3294055532931086,164.0,0.5433167307515847,0.7999999999999999,0.4741532516202259,0.4377338914989481,0.4131800608052987,0.7204212604903736,6077.0,864.0,-0.15580879960322602,0.20304295579191278,0.5694444444444444,0.2736584148081075,0.2671092608170072,0.422266022922452,0.19646577382747954
A3_feat3d_plus_wo,857,0.4750440129849909,0.705568311430018,0.6991278248421748,0.27405798559496053,0.5342266097547427,-17.34871928671682,-0.1012526065422894,0.47368421052631576,0.5253389060687682,0.5362373554889226,1.1897999373460157,0.9205774878691952,0.7822070317174344,0.6691111455292429,0.6948292512703697,0.32521051188931904,164.0,0.5251405040142945,0.7380952380952381,0.45699086719556864,0.4451416372232985,0.4082168065988665,0.7171301629093303,6077.0,864.0,-0.17111723124542122,0.20760894024189436,0.5891203703703703,0.2736584148081075,0.2710328341441474,0.43391873324819247,0.19073479979652042
