variant,r2,pearson2,disp
3-arm (reproduction),0.3131699135655621,0.32381409671128847,0.4688923816881282
3-arm + series profile,0.31167635549349415,0.3226836766438405,0.4657614423898949
profile alone (floor),0.06569358761814803,0.06895867983390333,0.3195895018014961
"3-arm, stratified light/heavy",0.30989799863586553,0.32087085479096006,0.46408217456121886
"3-arm + profile, stratified",0.3104273465334395,0.32398836841279405,0.4545549787730178
dp_pm_catboost_mae_w3_ok_only alone,0.1351087629478085,0.16769878948220052,0.589359888991818
3-arm + dp_pm_catboost_mae_w3_ok_only,0.3088829184546086,0.3204002397155891,0.46052535503286296
