key,resolution,spread,hi,weight,channels,spread_px,n_seeds,adj_r2,err_corr,stack_adj,stack_overall,tune_gain,stack_weight,stack_weight_frac,is_anchor,used
b052a3841b1f2cba,128,0.01969,2.5,linear,sum,1.000252,8,0.166989397655657,0.9638472157782257,0.24131736529055914,0.5795237964988221,-0.006015274865813991,0.003571428571428569,0.023809523809523808,False,False
25b3a7ad6b65a48d,64,0.03968,2.5,linear,sum,0.9999359999999999,8,0.16240012425774664,0.9689590824381583,0.24247912117952086,0.5871635000645341,-0.004853518976852267,0.0023809523809523803,0.011904761904761904,False,False
9d6e4c93026dfa0c,96,0.01316,2.5,linear,sum,0.50008,8,0.15867902713744164,0.9635486554641085,0.2449493714791896,0.5871894711745294,-0.0023832686771835254,0.0011904761904761888,0.011904761904761904,False,False
ff683b1c4ff75eb4,128,0.03937,2.5,linear,sum,1.999996,8,0.1580555736377881,0.9656541524444526,0.24109388021752431,0.5770857366354492,-0.006238759938848815,0.0023809523809523803,0.011904761904761904,False,False
79c309d7c27f5a83,96,0.10526,2.5,linear,sum,3.99988,8,0.1545242974429396,0.9682560257574305,0.24469993469163798,0.5851580627744309,-0.002632705464735152,0.0011904761904761888,0.011904761904761904,False,False
07c6a5e90cf315f5,96,0.02632,2.5,linear,sum,1.00016,8,0.15440862493406193,0.9628548221357189,0.24474432336032614,0.5844349539099589,-0.0025883167960469855,0.0011904761904761888,0.011904761904761904,False,False
e2e7dc7df1c886fb,20,0.06579,2.5,linear,sum,0.500004,8,0.15310332330874066,0.9658038661275613,0.24431276559473747,0.5836653523820696,-0.0030198745616356604,0.0011904761904761888,0.011904761904761904,False,False
c5c36d56ec1af675,64,0.07937,2.5,linear,sum,2.000124,8,0.15306747810363175,0.9671925052023533,0.24451832021885733,0.5857373752590695,-0.002814319937515797,0.0011904761904761888,0.011904761904761904,False,False
914d98f80b768a34,20,0.26316,2.5,linear,sum,2.000016,8,0.15278043482780457,0.9652176944857137,0.2446027191548079,0.5858751053528546,-0.0027299210015652164,0.0011904761904761888,0.011904761904761904,False,False
909cda422ef8fec5,96,0.05263,2.5,linear,sum,1.99994,8,0.1521063428298206,0.9670065467178286,0.24466589926264193,0.5839897492923768,-0.002666740893731201,0.0011904761904761888,0.011904761904761904,False,False
13c391a8bb1e3a40,20,0.08,2.5,linear,sum,0.608,8,0.15172087157901237,0.9666024590833983,0.24438145930406874,0.5836397493152986,-0.0029511808523043914,0.0011904761904761888,0.011904761904761904,True,False
6e229d2419e7c99b,20,0.13158,2.5,linear,sum,1.000008,8,0.1514550063159419,0.9661585888754955,0.24461378450908966,0.5853622944752391,-0.002718855647283469,0.0011904761904761888,0.011904761904761904,False,False
14c87a4ed88f06fb,32,0.08065,2.5,linear,sum,1.00006,8,0.15020790379525972,0.9692730927504895,0.24733264015637313,0.5863880725094948,0.0,0.0,0.0,False,False
c9191361b2875047,48,0.05319,2.5,linear,sum,0.999972,8,0.1491929509540395,0.9638609677187239,0.2406181591625337,0.5786479064735328,-0.006714480993839422,0.0023809523809523803,0.011904761904761904,False,False
5d61de052604e17b,20,0.52632,2.5,linear,sum,4.000032,8,0.14818296658049435,0.9622011980469114,0.23984070491902187,0.5871054150288044,-0.007491935237351255,0.0023809523809523803,0.011904761904761904,False,False
77bebc3486c6c904,32,0.16129,2.5,linear,sum,1.9999959999999999,8,0.14794090944606864,0.9667977458865521,0.24408258785629666,0.5838797219893235,-0.003250052300076467,0.0011904761904761888,0.011904761904761904,False,False
c44c4362463e797d,128,0.07874,2.5,linear,sum,3.999992,8,0.14759896857029298,0.9636091725733883,0.24419279397597993,0.5856072742615914,-0.003139846180393202,0.0011904761904761888,0.011904761904761904,False,False
ec8e1f43bae04eb0,48,0.21277,2.5,linear,sum,4.000076,8,0.14720571972464713,0.9667691867499795,0.24396687654211602,0.5848079167733178,-0.0033657636142571112,0.0011904761904761888,0.011904761904761904,False,False
443db14c43f61af6,64,0.01984,2.5,linear,sum,0.49996799999999997,8,0.14671461800482188,0.9652950795883797,0.24733264015637313,0.5863880725094948,0.0,0.0,0.0,False,False
74fc991a1bb3ee3c,32,0.04032,2.5,linear,sum,0.4999680000000001,8,0.14604219535446095,0.9688478449366232,0.24733264015637313,0.5863880725094948,0.0,0.0,0.0,False,False
749f1d8157b1681d,48,0.10638,2.5,linear,sum,1.999944,8,0.14562477078443026,0.9668659092363328,0.24415901575972798,0.5850203913866282,-0.003173624396645147,0.0011904761904761888,0.011904761904761904,False,False
6811c3fe0abc3ca4,128,0.00984,2.5,linear,sum,0.499872,8,0.14444001973488063,0.9601735430990961,0.24733264015637313,0.5863880725094948,0.0,0.0,0.0,False,False
e8bd41beb3a8dfae,48,0.0266,2.5,linear,sum,0.50008,8,0.1437819684396361,0.9602281548177489,0.24438196708410742,0.5853916215360951,-0.002950673072265708,0.0011904761904761888,0.011904761904761904,False,False
82a7d859e2c49a07,64,0.15873,2.5,linear,sum,3.9999960000000003,8,0.14075587570914838,0.9669154470635211,0.24733264015637313,0.5863880725094948,0.0,0.0,0.0,False,False
36a9c1374ea607ee,32,0.32258,2.5,linear,sum,3.9999919999999998,8,0.1385042872741189,0.9665179815820489,0.24733264015637313,0.5863880725094948,0.0,0.0,0.0,False,False
