term,value,share,lo_order,hi_order
harness,0.16020342905724583,0.6862974541677882,0.16020342905724583,0.16020342905724583
objective,0.1225325658905847,0.5249187768215975,0.035668195547881254,0.20939693623328814
topology,-0.049304516972278,-0.2112162309893857,-0.13616888731498145,0.037559853370425444
