family,descriptor,n_loose,fit_r2_loose,n_tight,fit_r2_tight,block,delta
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g3__polyhedron__angle_max,5,0.33907690457793094,5,0.35777768985915015,g3,0.018700785281219212
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g3__polyhedron__shell_anisotropy,5,1.4500489036617381e-05,5,0.004461938444263458,g3,0.004447437955226841
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g3__polyhedron__shell_eig1,5,0.4610150854942491,5,0.030733201079908068,g3,-0.430281884414341
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g3__polyhedron__shell_eig2,5,0.6324605913817629,5,0.0526932325849635,g3,-0.5797673587967994
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g3__polyhedron__shell_eig3,5,0.5222030584317373,5,0.01990790299694678,g3,-0.5022951554347905
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g3__polyhedron__shell_asphericity,5,0.4380748024233092,5,0.014335470413878282,g3,-0.4237393320094309
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g3__polyhedron__shell_acylindricity,5,0.5323378619313204,5,0.03860384021053487,g3,-0.4937340217207855
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g3__polyhedron__hull_volume,5,0.7407023071762101,5,0.7592325371190393,g3,0.018530229942829157
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g3__polyhedron__hull_area,5,0.7672901677250952,5,0.7887094649909319,g3,0.02141929726583669
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g3__polyhedron__hull_sphericity,5,0.3838031772652454,5,0.04624468556324368,g3,-0.3375584917020017
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g4__steric__vbur_3p5,5,0.01522856297495967,5,0.019508740352611964,g4,0.0042801773776522944
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g4__steric__vbur_5p0,5,0.028339259892071755,5,0.11723991215707874,g4,0.08890065226500699
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g4__steric__vbur_7p0,5,0.4948763449055452,5,0.5240076779779805,g4,0.029131333072435317
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g4__steric__solid_angle_frac,5,0.008132282827979953,5,0.09951800175963377,g4,0.09138571893165381
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g4__steric__n_atoms_within_3p0,5,0.5855984190873382,5,0.36474692927459595,g4,-0.22085148981274227
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g4__steric__n_atoms_within_4p0,5,0.1165074438678988,5,0.019642544641069626,g4,-0.09686489922682917
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g4__steric__cfrac_3p0_4p0,5,0.008007179863845693,5,0.02982721427788959,g4,0.0218200344140439
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g4__steric__n_atoms_within_5p0,5,0.024857093496920002,5,0.15253092855718908,g4,0.12767383506026908
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g4__steric__cfrac_4p0_5p0,5,0.004734407571044819,5,0.06267928872604944,g4,0.057944881155004624
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g4__steric__n_atoms_within_6p0,5,0.04706826024899824,5,0.21749708321328676,g4,0.17042882296428852
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g4__steric__cfrac_5p0_6p0,5,0.05041120274306432,5,0.009630677053623082,g4,-0.04078052568944124
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g4__steric__n_atoms_within_8p0,5,0.6954106250909273,5,0.6954106250909291,g4,1.7763568394002505e-15
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g4__steric__n_atoms_within_10p0,5,0.6954106250909273,5,0.6954106250909291,g4,1.7763568394002505e-15
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g5__electronic__energy_eV,5,0.7102743549508506,5,0.7077432243820999,g5,-0.0025311305687506502
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g5__electronic__free_energy_eV,5,0.7102743549508506,5,0.7077432243820999,g5,-0.0025311305687506502
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g5__electronic__n_atoms,5,0.6954106250909267,5,0.6954106250909273,g5,6.661338147750939e-16
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g5__electronic__energy_per_atom,5,0.8012921485397966,5,0.7839345153225006,g5,-0.017357633217295998
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_00,5,0.6499054958731233,5,0.5624813744583839,g6,-0.08742412141473943
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1|nitrate,g6__rdf__rdf_C_01,5,0.6477825400920737,5,0.534659303881948,g6,-0.11312323621012565
