combiner,r2_overall,r2_between,r2_within,r2_within_composition,rmse,mae,sel_spearman_mean,sel_logSF_r2,sel_sign_accuracy
best_single,0.5206710649522868,0.746604661379433,0.3065392361812621,0.34855039262890575,1.152881452506205,0.8866169754268841,0.6227607501656826,0.4107473455242936,0.7377462874890809
mean,0.5177071800627324,0.7112868710208949,0.33423923242986486,0.37481869841194404,1.156440325911601,0.8963420978794227,0.6379115995807647,0.39560435221583723,0.7526933902746773
nnls,0.521663569894921,0.7366299538488148,0.3179260751253702,0.36341521218479533,1.1516872480777138,0.8851826864376067,0.6391708164213372,0.40796327273845634,0.7509463263127244
uncert,0.5180009418818114,0.7121588243057418,0.3339850049374711,0.37440232745352275,1.1560880816467174,0.8958362999943232,0.6381637151528574,0.396049579076721,0.7524992720566825
