cell,adj_r2,adj_pearson2,adj_disp,n_pairs
blocktf_s42,0.0964906071296739,0.1520215283636102,0.6070497387796217,905
blocktf_s51,-0.1281240382458688,0.1229252131404222,0.8434853063946766,905
blocktf_s67,-0.3597046164015123,0.0040519026806511,0.6551676862769567,905
blocktf_s83,-0.0210858390694137,0.0639279740336353,0.499967083024575,905
blocktf_s91,0.0626405437724142,0.118469202642531,0.5659544779215644,905
blocktf_s103,-0.002254990973918,0.0416241052852216,0.3812457452886283,905
blocktf_s107,0.0716795084311693,0.1127078934758469,0.5008639684685208,905
blocktf_s109,-0.1290438436180188,0.0082526572279654,0.4390735693020702,905
blocktf_ens8,0.127257417364865,0.1400777699165566,0.3944859627161978,905
blocktf_has3d_s42,0.06751496055503159,0.10271334229497296,0.4871177156747849,1349
blocktf_has3d_s51,-0.018500734197738566,0.08801381138579455,0.6103933340714927,1349
blocktf_has3d_s67,-0.1669698047698347,0.005926918756582157,0.4764680387862329,1349
blocktf_has3d_s83,-0.012977023244651553,0.05863592790148359,0.48508791013538355,1349
blocktf_has3d_ens4,0.10730583037066721,0.11771792642781442,0.3580198138655824,1349
