arm,n_feat,adj_r2,r2_overall
B0_tabular,746,0.14217318808560242,0.4986513470594569
B1_plus_snn_emb,1610,-0.009224266909071188,0.2856286304535036
B2_plus_random_emb,1610,0.01760340299077212,0.3336785022341847
