arm,adj_r2_binned,adj_r2_strict,r2_overall
CatBoost,0.14217318808560242,0.08190467207438834,0.4986513470594569
repaired,0.22056862421151013,0.1740785142243262,0.3217636429615367
S0,0.23820158234461886,0.16828646081302312,0.3677719871665228
T0w,0.2006417289741934,0.09665225479055262,0.29626416453401916
