cell,label,n_seeds,n_rows,adj_r2,r2_overall,single_mean,single_sd,is_control
mlp,FCNN (published baseline),1,4746,0.00477010436906633,0.3872030369964423,0.00477010436906633,0.0,False
catboost,CatBoost (published baseline),1,4746,0.14217318808560242,0.4986513470594569,0.14217318808560242,0.0,False
T1,tabular + plain,16,4746,0.16497353342631216,0.36582078711226007,0.13525039688781393,0.03129283572426686,False
T0,tabular + contrast,16,4746,0.19887457272453501,0.29828213136685433,0.16732993091849316,0.02071293614379421,False
T0w,tabular + contrast (wide head),16,4746,0.2006417289741934,0.29626416453401916,0.16801569373093955,0.027081879912532105,True
P1,PI-CNN + plain,16,4742,0.16096842884457763,0.3932919728034846,0.12222093942721063,0.036224352670043695,False
P0,PI-CNN + contrast,16,4742,0.2100509529574074,0.36314014299884234,0.1740350981849865,0.025710940929918623,False
S1,SNN + plain,16,4746,0.02880464611133071,0.38383967012944054,-0.08683189820176845,0.14404208036350521,False
S0,SNN + contrast,16,4746,0.23820158234461886,0.3677719871665228,0.17829678735005694,0.04682945830862845,False
