contrast,baseline_obs,arm_obs,arm_lo,arm_hi,delta,lo,hi,p_better,n_boot,lo_8look,hi_8look,lo_65look,hi_65look,verdict,verdict_corrected,verdict_punitive
P* added to no-topology stack,0.2353147616231961,0.25886650893173224,0.10845991370736494,0.2895805580101853,0.017054887756221982,-0.014332186055812466,0.03265955290702434,0.74,400,-0.018620347398682197,0.052730122911126165,-0.02818471650924768,0.06229449202169164,spans 0,not significant,not significant
P* vs matched 2D control,0.23303039132476233,0.25886650893173224,0.10845991370736494,0.2895805580101853,0.019898383387841383,-0.008315451709227883,0.03350022510118641,0.815,400,-0.011847283750648079,0.051644050526330844,,,spans 0,not significant,
