arm,adj_r2,logD_r2,n_pairs,stack_adj_r2,restrict
c6c_z1_mphys_f40_w10,0.29031738984312194,0.09940173163785981,301,0.2840047389753536,report
cpu_catboost_mae,0.2812245812409053,0.35334562100812694,301,0.2840047389753536,report
cpu_catboost_rsm_03,0.24104377559992174,0.36475161147049395,301,0.2840047389753536,report
cpu_fcnn_narrow,0.20981164313625666,0.04333520585955808,301,0.2840047389753536,report
fcnn_repaired,0.2025676131208234,0.04918197681749459,301,0.2840047389753536,report
