block,mean,median,count
contraction,0.27711890587521254,0.19391065260762122,11
chelate,0.20418414347982664,0.20489087854674978,13
steric,0.22799656208421112,0.20979193761643544,18
rdf,0.2009888943258056,0.2104014953997532,128
first_shell,0.23298051913543055,0.22178012101556116,23
polyhedron,0.2833688493200986,0.2544975724477734,28
topology,0.2909704942779718,0.257833984668968,22
global_shape,0.27005940895156605,0.2580702019843382,24
electronic,0.37337560782192475,0.36958496452753253,23
