n_clusters,mean_distinct_clusters_per_draw,frac_of_clusters,pub_delta,pub_lo,pub_hi,pub_width,pub_p_better,fix_delta,fix_lo,fix_hi,fix_width,fix_p_better,width_ratio_pub_over_fix,base,arm,label
162,102.8,0.6345679012345679,0.04805001487120219,0.00938714699602451,0.10594697142739314,0.09655982443136862,0.995,0.04838982408461066,0.0018769741434328587,0.11181151788538776,0.10993454374195491,0.955,0.8783392475618924,T0,S0,primary endpoint: topology on top of the objective
162,102.8,0.6345679012345679,0.24151579114587068,0.1789394677670854,0.32818544936427074,0.14924598159718536,1.0,0.24361841590493832,0.16030842840965714,0.37174061410112935,0.2114321856914722,1.0,0.705881089528012,FCNN,S0,the published headline
162,102.8,0.6345679012345679,0.08785577036752872,0.029512305854692222,0.12209376379661414,0.09258145794192192,0.99,0.08595519265007458,0.02475290874312875,0.13059760616471258,0.10584469742158384,0.97,0.874691507437223,CAT,S0,"SNN ensemble vs CatBoost, as published"
