tags,n_seeds,ranked,n_rows,n_pairs,adj_r2,ref_adj_r2,err_corr,blend50_adj_r2,arch,preset,no_triangles,topology_only,pair_loss_weight,select_on,level_weight,block_key,block_centre,film,pair_head,pair_head_weight,pair_reconcile,geometry,extra_block_mean,node_angular,angular_readout,attn_pool,aux_target,conformers,pretrain_epochs,filtration_max,heavy_only,dim,layers,dropout,head_hidden,lr,weight_decay,epochs,batch_rows,folds,repeats,restrict_groups,pair_adj_weight,pair_adj_only,pair_loss_kind,pair_metric_align,radius_slope,radius_slope_u,radial_bins,radial_max,rbf_bins,rbf_max,edge_asset,level_loss,level_huber_delta,pair_subsample,level_quantile
"c6_a8_huber_only_s11,c6_a8_huber_only_s23",4,False,3567,604,0.10635146229518255,0.22348566199544928,0.8177022351093363,0.24206972115555114,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,huber,False,off,block,,,,,,huber,1.0,1.0,0.5
"c6sm_sm_octanol_s11,c6sm_sm_octanol_s23",8,False,3496,580,0.10603777759892974,0.2277647463162299,0.8482802884667984,0.23151009330411076,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,octanol,False,False,False,False,,1,0,4.0,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,solvent_matched_extractants.txt,3.0,False,sq,False,off,block,,,64.0,,,huber,1.0,1.0,0.5
"c6_a4_align_w10_s11,c6_a4_align_w10_s23",4,False,3567,604,0.10573564877982178,0.22348566199544928,0.8147045774270466,0.24313101517149893,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,10.0,False,sq,True,off,block,,,,,,huber,1.0,1.0,0.5
"c6_a2_align_adjonly_s11,c6_a2_align_adjonly_s23",4,False,3567,604,0.10445534979623838,0.22348566199544928,0.8171179049113853,0.24180530144082546,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,True,sq,True,off,block,,,,,,huber,1.0,1.0,0.5
"c6h_h2_sub50_s11,c6h_h2_sub50_s23",4,False,3567,604,0.09991327943331896,0.22348566199544928,0.8323532901504705,0.2330772603697574,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,,,,huber,1.0,0.5,0.5
"c6_e3_mphys_basis_align_s11,c6_e3_mphys_basis_align_s23",4,False,3567,604,0.0966962359567135,0.22348566199544928,0.8230125653049517,0.23682760968199212,dist,baseline_2d_mphys,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,True,basis,block,,,,,,huber,1.0,1.0,0.5
"c6_c1_quad_s11,c6_c1_quad_s23",4,False,3567,604,0.09548717192235001,0.22348566199544928,0.7987531111787317,0.24537908957105903,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,quad,block,,,,,,huber,1.0,1.0,0.5
"c6d_d010_s11,c6d_d010_s211",12,True,3567,604,0.08795278998266642,0.22348566199544928,0.8462312992004044,0.2221484861768681,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,4.0,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,64.0,,,huber,0.1,1.0,0.5
"c6n_sub05_lmae_f35_s11,c6n_sub05_lmae_f35_s23",4,False,3567,604,0.08192107279799621,0.22348566199544928,0.7692193630599552,0.2528191967496738,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,,,,mae,1.0,0.05,0.5
"c6_a10_align_pw1_s11,c6_a10_align_pw1_s23",4,False,3567,604,0.07506477864479932,0.22348566199544928,0.8011033686749627,0.2357782730081891,dist,baseline_2d,False,False,1.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,True,off,block,,,,,,huber,1.0,1.0,0.5
"c6w_w50_s11,c6w_w50_s23",4,False,3567,604,0.07402366807526395,0.22348566199544928,0.8249259898072496,0.22462747234812008,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,,,,huber,1.0,0.05,0.5
"c6_a3_align_huber_s11,c6_a3_align_huber_s23",4,False,3567,604,0.06607345390049812,0.22348566199544928,0.821390417171347,0.22319711535253206,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,huber,True,off,block,,,,,,huber,1.0,1.0,0.5
"c6_a9_align_pw4_s11,c6_a9_align_pw4_s23",4,False,3567,604,0.06546600776419731,0.22348566199544928,0.7948251316266742,0.23433926830135687,dist,baseline_2d,False,False,4.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,True,off,block,,,,,,huber,1.0,1.0,0.5
"c6_d2_snn_align_s11,c6_d2_snn_align_s23",4,False,3567,604,0.061503087719515404,0.22348566199544928,0.814497388532686,0.22368224642622303,snn,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,True,off,block,,,,,,huber,1.0,1.0,0.5
"c6_a1_align_s11,c6_a1_align_s23",4,False,3567,604,0.058888793571011844,0.22348566199544928,0.8131777375549674,0.22367901731274187,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,True,off,block,,,,,,huber,1.0,1.0,0.5
"c6_a5_align_w1_s11,c6_a5_align_w1_s23",4,False,3567,604,0.05068215626674977,0.22348566199544928,0.7960424014022526,0.2270156707356108,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,1.0,False,sq,True,off,block,,,,,,huber,1.0,1.0,0.5
"c6n_sub05_lq70_f35_s11,c6n_sub05_lq70_f35_s23",4,False,3567,604,0.04629146238409787,0.22348566199544928,0.7989230142195429,0.22368812521163395,dist,baseline_2d,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,,,,quantile,1.0,0.05,0.7
"c6_a11_align_strict_s11,c6_a11_align_strict_s23",4,False,3567,604,0.046061541912924775,0.22348566199544928,0.8368667192192633,0.20731628898689924,dist,baseline_2d,False,False,2.0,adjacent,,strict_composition_key,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,True,off,block,,,,,,huber,1.0,1.0,0.5
"c6_d1_noecfp_align_s11,c6_d1_noecfp_align_s23",4,False,3567,604,-0.027239434540258456,0.22348566199544928,0.8095307321663125,0.18818724996946534,dist,baseline_no_ecfp,False,False,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,3.5,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,True,off,block,,,,,,huber,1.0,1.0,0.5
"c6v_v4_topo_only_q70_s11,c6v_v4_topo_only_q70_s23",4,False,3567,604,-0.062002330377997295,0.22348566199544928,0.7528002972108021,0.19867857583794246,dist,baseline_2d,False,True,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,4.0,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,64.0,,,quantile,1.0,1.0,0.7
"c6v_v3_topo_only_s11,c6v_v3_topo_only_s23",4,False,3567,604,-0.08628566457226117,0.22348566199544928,0.7727011252448595,0.18015448711637372,dist,baseline_2d,False,True,2.0,adjacent,,,False,False,False,1.0,False,full,False,False,False,False,,1,0,4.0,True,96,3,0.15,256,0.002,0.0001,60,64,5,1,screen_select_extractants.txt,3.0,False,sq,False,off,block,,,64.0,,,huber,1.0,1.0,0.5
