config,preset,model,r2_overall,r2_between,r2_within,r2_within_composition,sel_logSF_r2,sel_spearman_mean,mae,d_r2_overall,d_r2_overall_lo,d_r2_overall_hi,d_r2_overall_p_better,d_r2_between,d_r2_between_lo,d_r2_between_hi,d_r2_between_p_better,d_r2_within,d_r2_within_lo,d_r2_within_hi,d_r2_within_p_better,d_r2_within_composition,d_r2_within_composition_lo,d_r2_within_composition_hi,d_r2_within_composition_p_better,d_mae,d_mae_lo,d_mae_hi,d_mae_p_better,not_comparable
cn8_heavy/core3d_qc,core3d_qc,catboost,0.46970723654757673,0.6455550628240287,0.24574716027090793,0.13279417454207865,-0.09622271198360033,0.2603010137403011,0.9147253783657056,,,,,,,,,,,,,,,,,,,,,True
cn8_heavy/plus_g5,plus_g5,catboost,0.46787728534925876,0.6366090925141215,0.25298018253529464,0.12570730536460428,-0.08396300265444112,0.2994172848280761,0.9255865492413747,,,,,,,,,,,,,,,,,,,,,True
cn8_heavy/inner_sphere,inner_sphere,catboost,0.46359646904673524,0.6459285543406962,0.23137802998612167,0.10865882038480346,-0.18456825276807232,0.2654144583672403,0.9215888159022914,,,,,,,,,,,,,,,,,,,,,True
cn8_heavy/plus_g1,plus_g1,catboost,0.43821561483904214,0.6099096214911953,0.219545849961702,0.11554458752210484,-0.13128509531185895,0.3123446506245055,0.9433479628890711,,,,,,,,,,,,,,,,,,,,,True
cn8_heavy/baseline_2d,baseline_2d,catboost,0.4093683249522886,0.5879885515680219,0.18187731511446859,0.13208410156642603,-0.024986299285059577,0.4809241602694569,0.9704507594131994,,,,,,,,,,,,,,,,,,,,,True
cn9_matched:1/baseline_2d,baseline_2d,catboost,0.38372619788624607,0.4851879918671116,0.2909611170809139,0.1617704726130248,0.3650570080905726,0.5486369519825033,0.7936438726140203,0.04298416737050781,-0.07032068660011881,0.18752015970571567,0.645,0.1161744962054585,-0.12033917106846351,0.4414715050311719,0.7175,-0.016841860479834048,-0.05566325153770794,0.01881798543476121,0.2175,-0.0013151520571951236,-0.060598838691975535,0.04944057766129845,0.5225,-0.020224857252142403,-0.09410916808052279,0.04405346597691075,0.3475,
cn9_matched:1/plus_g1,plus_g1,catboost,0.3665308401795845,0.42864745746062816,0.30973849701919665,0.20235670609591183,0.3580371826201183,0.47864510559725404,0.8231173288432334,0.017517229187932748,-0.1102020586084434,0.18932336231456953,0.5375,0.040409711557804706,-0.21436871179188888,0.41529277697218686,0.54,-0.001195165053550995,-0.042061677232171385,0.05014499970723437,0.44,0.03512891193224399,-0.01045792926416084,0.11237408905267005,0.8875,0.013792733762319265,-0.08079841023842388,0.09530083438304175,0.63,
cn9_matched:1/core3d_qc,core3d_qc,catboost,0.3557067743157706,0.42519518495665864,0.29217450492428165,0.18968369157458143,0.32533428711441936,0.47652726477405055,0.8326204138258325,0.010865887517561235,-0.10559230475678096,0.17111822832941975,0.5225,0.05077813111285334,-0.2027123700032732,0.408603674624028,0.5725,-0.021758518396589044,-0.07429757256357605,0.06274423973392511,0.2775,0.022779192493679545,-0.044422209969806635,0.1424014878797153,0.6525,0.019755112495514315,-0.06361300735893993,0.08617634354284776,0.675,
cn9_matched:0/baseline_2d,baseline_2d,catboost,0.3407981849905435,0.3737212889207572,0.31258091141018596,0.16747300838410073,0.3634029679107059,0.5516235157702288,0.8011524107134749,,,,,,,,,,,,,,,,,,,,,
cn9_matched:0/core3d_qc,core3d_qc,catboost,0.3327958190372401,0.3716493317158397,0.2994957936467475,0.15687083702011295,0.24847720575264132,0.4211334081266268,0.839848358330434,-0.008002365953303392,-0.06695838763892792,0.08348102320583561,0.415,-0.002071957204917374,-0.1087479513113141,0.1761398324183489,0.46,-0.01308511776343857,-0.05505779958054361,0.03797815216529368,0.33,-0.010602171363987778,-0.0847561879002326,0.0831424611810517,0.405,0.03869594761695916,-0.0033310832623918416,0.06885276865747937,0.945,
cn9_matched:1/inner_sphere,inner_sphere,catboost,0.3212764089338729,0.3435024458197693,0.30095545829021186,0.19448027587247196,0.32108702999602756,0.44842553710197586,0.8563607777053779,-0.022489665018914584,-0.15662633942305354,0.15268590555822853,0.3725,-0.038454503071601254,-0.29876686729406415,0.3472428108131175,0.39,-0.009439951195110208,-0.05680445764070348,0.05609096415392296,0.355,0.02627457103668851,-0.03823105472328674,0.14101789218735705,0.725,0.04111333736826017,-0.06101379747781281,0.12283060457684589,0.7875,
cn9_matched:0/plus_g1,plus_g1,catboost,0.31798926680021355,0.33283128057719324,0.3052686811556703,0.1600625015240974,0.2988073198745733,0.4570311062844372,0.84275697800758,-0.02280891819032993,-0.06117153272488513,0.035529120606352126,0.235,-0.04089000834356393,-0.1147614662825145,0.07253974254975713,0.2675,-0.0073122302545156614,-0.03181334703172613,0.027592827172333034,0.355,-0.00741050686000333,-0.04546227864010052,0.05372058317599707,0.42,0.04160456729410511,0.01050225217563018,0.06924296362535955,0.9825,
cn9_matched:2/core3d_qc,core3d_qc,catboost,0.31674463500953354,0.2855848498572736,0.34250164525499094,0.24077213596110503,0.32361357006675384,0.437823892090933,0.8671218846750961,0.0009464915169353771,-0.16124037678340375,0.2612889912712767,0.4825,-0.023374704996249718,-0.32608736831396196,0.4958116118261353,0.415,0.019409309284076914,-0.07166095644977599,0.15674383752325416,0.635,0.08233391948556101,-0.04326528555240044,0.3156894240425928,0.8,0.04615609446571145,-0.09537857464045989,0.1439836910802424,0.73,
cn9_matched:1/plus_g5,plus_g5,catboost,0.3120236177729312,0.36639932147202003,0.2623086822333127,0.15839578351191352,0.2791007385959723,0.445587834747242,0.8689842846760214,-0.03871474513568718,-0.15541096665146278,0.11826591197306499,0.3125,-0.026070797700065818,-0.25654972499202183,0.3192825086277171,0.425,-0.04904995148689173,-0.09651382890019,0.020834527361533527,0.105,-0.008095600598428065,-0.08608241157214207,0.1135212005496743,0.4525,0.057490203230799564,-0.024146537146669513,0.1331237032300089,0.885,
cn9_matched:0/plus_g5,plus_g5,catboost,0.2995477768250292,0.31818069841653174,0.2835781329158993,0.15490944003931284,0.2524358015968059,0.4848553532996805,0.8711457281075664,-0.041250408165514285,-0.10744458959591832,0.05782062770230356,0.225,-0.05554059050422533,-0.1774429250707883,0.14163751245902914,0.28,-0.029002778494286674,-0.06874994179044056,0.035699485740901545,0.2275,-0.01256356834478789,-0.07865429913671071,0.09368164504736387,0.4275,0.06999331739409154,0.014782804995954338,0.11239600741657628,0.97,
cn9_matched:2/baseline_2d,baseline_2d,catboost,0.28683303155418827,0.22064131996889058,0.34154780526446904,0.23771654947497844,0.4412765249245396,0.5054157750905943,0.8726154101309577,-0.04712378981827048,-0.18387088671755505,0.14159695853076487,0.3325,-0.12122864289437618,-0.42611242320493464,0.19292510626208795,0.265,0.009131024670943066,-0.06684294004673991,0.12540994656255838,0.585,0.07779414999466794,-0.01487433561546228,0.2659451516211133,0.85,0.05890089655551933,-0.05967869577495825,0.1422039885368921,0.8,
cn9_matched:2/plus_g1,plus_g1,catboost,0.28233021849125617,0.21175017785259587,0.3406724317309041,0.24170749037270722,0.39374692227252883,0.5324018342230797,0.8905603257319064,-0.04425406760100159,-0.1975690137906981,0.20064178487455975,0.3325,-0.12559479423542053,-0.4142811590795481,0.30551259618611093,0.265,0.017493676268589886,-0.07953254611223796,0.16235418548097666,0.635,0.08253882075196606,-0.028911962941565953,0.2957320986301433,0.8125,0.0721240558728129,-0.06426874931389366,0.1642463901466767,0.835,
cn9_matched:2/inner_sphere,inner_sphere,catboost,0.27261464812890857,0.1887949210720612,0.34190092715891884,0.23097901690392908,0.303324541871394,0.4319882541524751,0.9034604596284245,-0.044439427140188115,-0.20304637676842008,0.20027395033171766,0.33,-0.12926391594037967,-0.41882720171388577,0.32001253990474887,0.2425,0.019952926174331642,-0.08088178522726751,0.16608335256388088,0.64,0.07368892794695159,-0.0479744063131493,0.31284342961215966,0.7675,0.0777046332993826,-0.054635426978642224,0.16971820664153883,0.865,
cn9_matched:0/inner_sphere,inner_sphere,catboost,0.2693663373579749,0.24595951815626216,0.28942752668145666,0.15115011878939522,0.23806661781427374,0.424428638119077,0.8856090673117151,-0.0714318476325686,-0.10276301609320201,-0.02997040235783666,0.005,-0.1277617707644948,-0.19028660780953205,-0.06302809779919043,0.005,-0.023153384728729298,-0.06031862451245388,0.028839523906241313,0.2525,-0.016322889594705514,-0.07767228718105404,0.09074281809999782,0.4,0.0844566565982402,0.05753458313806315,0.10864358825042698,1.0,
cn9_matched:2/plus_g5,plus_g5,catboost,0.2515955794360497,0.1707985901171334,0.31838323126100143,0.22030409912395832,0.30955545637763027,0.42371951544219255,0.9226047707224555,-0.06891306989982615,-0.21555381945845023,0.17415979266579745,0.27,-0.14634540658452533,-0.4473984310496611,0.33275114234580244,0.2525,-0.010132280857703013,-0.0973470643843721,0.12432625222956933,0.435,0.06047679431407904,-0.05237404954076592,0.27917785714744847,0.74,0.1036217316985838,-0.029331621555696855,0.19342613320822635,0.9025,
