key,resolution,spread,hi,weight,channels,spread_px,n_seeds,adj_r2,err_corr,stack_adj,stack_overall,tune_gain,stack_weight,stack_weight_frac,is_anchor,used
4ab39d0dcc46b245,96,0.01316,2.5,constant,sum,0.50008,8,0.1673871437272043,0.9632798666379622,0.2445609721359231,0.5858018596100312,-0.0027716680204500355,0.0023809523809523777,0.023809523809523808,False,False
52c1282a9f02fcd6,96,0.03158,6.0,constant,sum,0.5000166666666667,8,0.1666441342421704,0.9604562101875518,0.24119544846009855,0.5845146144303724,-0.00613719169627458,0.003571428571428569,0.023809523809523808,False,False
200b904ff2952591,96,0.02616,4.97,constant,sum,0.5000402414486922,8,0.16527598302757396,0.9612476736683035,0.24146271256121687,0.5823396900662184,-0.005869927595156255,0.003571428571428569,0.023809523809523808,False,False
9d6e4c93026dfa0c,96,0.01316,2.5,linear,sum,0.50008,8,0.1646026110218728,0.9618349146862054,0.24172572148132643,0.5826301721551266,-0.0056069186750467015,0.003571428571428569,0.023809523809523808,False,False
0b3424353386432a,96,0.02616,4.97,constant,split,0.5000402414486922,8,0.16413114790635364,0.960741718363658,0.24180973561644814,0.5842029122115205,-0.005522904539924989,0.003571428571428569,0.023809523809523808,False,False
3ed196725edb611e,96,0.03158,6.0,constant,split,0.5000166666666667,8,0.1640951632140233,0.9614906578267731,0.2415476409026266,0.5834923700145953,-0.005784999253746537,0.003571428571428569,0.023809523809523808,False,False
71eb414574f12dd9,96,0.01316,2.5,arctan,sum,0.50008,8,0.1601329513501194,0.9613368760926271,0.2454044606529976,0.5887999892666538,-0.0019281795033755378,0.0011904761904761888,0.011904761904761904,False,False
7754bf361a4be8de,96,0.02106,4.0,constant,sum,0.5001749999999999,8,0.15965503669218806,0.9608089615908325,0.24512568687566605,0.5855571835681663,-0.00220695328070708,0.0011904761904761888,0.011904761904761904,False,False
a0ab6bf23ee73565,96,0.02106,4.0,linear,sum,0.5001749999999999,8,0.1559786653429709,0.9590946582418707,0.2453879569595807,0.5840084710491042,-0.0019446831967924183,0.0011904761904761888,0.011904761904761904,False,False
201f62c4c453aa3a,96,0.01316,2.5,arctan,split,0.50008,8,0.15590903548832824,0.9606045808525535,0.24521789567209917,0.5878145128483694,-0.002114744484273956,0.0011904761904761888,0.011904761904761904,False,False
ca08e010f24a3d8c,96,0.02106,4.0,constant,split,0.5001749999999999,8,0.15542586643682366,0.9560832622496499,0.2451488791893458,0.5858891535178168,-0.002183760967027326,0.0011904761904761888,0.011904761904761904,False,False
05b871a0de904df4,96,0.03158,6.0,linear,split,0.5000166666666667,8,0.15448514137288627,0.9582595616550085,0.24519885743622116,0.5867233072553303,-0.0021337827201519666,0.0011904761904761888,0.011904761904761904,False,False
c54e571a0dc23d9c,96,0.01316,2.5,squared,sum,0.50008,8,0.1535525778347765,0.9543476476794283,0.24129392915523906,0.5827008047387361,-0.006038711001134067,0.007142857142857136,0.05952380952380952,False,False
466fad29e6fb174c,96,0.01316,2.5,linear,split,0.50008,8,0.15121824729645184,0.9554539430706324,0.24152720841489594,0.5831940459440041,-0.005805431741477185,0.0023809523809523803,0.011904761904761904,False,False
338f157f4a35d535,96,0.02616,4.97,arctan,split,0.5000402414486922,8,0.1503060630145734,0.956030172106244,0.2446980527709648,0.5862357586479943,-0.002634587385408338,0.0011904761904761888,0.011904761904761904,False,False
21398868a43afdd5,96,0.02106,4.0,arctan,sum,0.5001749999999999,8,0.15026998241537892,0.9600332689692123,0.24495097671651367,0.5841583232299905,-0.0023816634398594605,0.0011904761904761888,0.011904761904761904,False,False
3e89e7534e30e113,96,0.01316,2.5,constant,split,0.50008,8,0.14848076916906972,0.9600944706690423,0.24469290071978267,0.5867923190888183,-0.0026397394365904603,0.0011904761904761888,0.011904761904761904,False,False
db6c4dec638c0651,96,0.03158,6.0,linear,sum,0.5000166666666667,8,0.14840194468367351,0.9559719543388182,0.2444735554658446,0.5845368518764262,-0.002859084690528535,0.0011904761904761888,0.011904761904761904,False,False
