fit,key,without_3d,with_3d,delta_3d
row,composition_key,0.16996545994489287,0.20602707038252388,0.03606161043763101
row,strict_composition_key,0.10487791103740318,0.12418433519872607,0.019306424161322888
pair,composition_key,0.2252990811114759,0.264512436955997,0.039213355844521125
pair,strict_composition_key,0.17874868741319871,0.19115769076020894,0.012409003347010228
