arm,adj_r2_binned,adj_r2_strict,r2_overall,err_corr_with_repaired
CatBoost,0.14217318808560242,0.08190467207438834,0.4986513470594569,0.8805404338249385
repaired,0.22056862421151013,0.1740785142243262,0.3217636429615367,1.0
S0,0.23820158234461886,0.16828646081302312,0.3677719871665228,0.8970857138903802
T0w,0.2006417289741934,0.09665225479055262,0.29626416453401916,0.9289798123392873
G0,0.2458716764875809,0.17954901145492963,0.37258784022308,0.9040903403380363
D0,0.24736635599080148,0.16030675599702737,0.34362109726960266,0.8915084471890198
