cell,axis,n_seeds,tune_adj_binned,gain_vs_D0,tune_adj_strict,tune_r2_overall
D0,(anchor),4,0.236240159394839,0.0,0.1369493290184134,0.4742941368830119
T2,pairwise head,4,0.21094552823504675,-0.025294631159792247,0.10665143013564682,0.46684783849523914
T2W,pairwise head,4,0.20417750244175759,-0.032062656953081414,0.10867558135488531,0.5101193408728315
T2X,pairwise head,4,0.15305385471164068,-0.08318630468319832,0.07610448717547147,0.5348780236416462
T3,condition FiLM,4,0.17858098930512045,-0.05765917008971855,0.11054123844091168,0.4768834476164644
T23,both,4,0.17042010094115012,-0.06582005845368888,0.14127246560286122,0.46682204459989707
