family,metal_lo,metal_hi,li_lo,d_index,anchor_offset_lo,anchor_offset_hi,rmsd_heavy,d_mean_md,d_radius,n_donor_lo,n_donor_hi,n_atoms
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1||nitrate||9||2||1||nitrate,Pr,Nd,3,1,-1,0,0.00280963963035958,-0.00213358110640538,-0.016999999999999904,9,9,216
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1||nitrate||9||2||1||nitrate,Sm,Eu,6,1,2,3,0.010462034230925015,-0.002577083462680374,-0.0129999999999999,9,9,216
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1||nitrate||9||2||1||nitrate,Eu,Gd,7,1,3,4,0.008733780059913331,-0.0028679053477076444,-0.013000000000000123,9,9,216
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC||water||8||2||2||water,Tb,Dy,9,1,-1,0,0.0018510526823205503,-0.0037687967868409444,-0.013000000000000123,8,8,281
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC||water||9||3||0||water,Ce,Pr,2,1,-2,-1,0.016627361933667647,-0.008515964801676379,-0.017000000000000126,9,9,412
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC||water||9||3||0||water,Pr,Nd,3,1,-1,0,0.004525295829400055,-0.0016480652876982305,-0.016999999999999904,9,9,412
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC||water||9||3||0||water,Sm,Eu,6,1,2,3,0.005685288840158536,-0.0011462536814739188,-0.0129999999999999,9,9,412
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC||water||9||3||0||water,Eu,Gd,7,1,3,4,0.006112266582872803,-0.0029589577196333927,-0.013000000000000123,9,9,412
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O||nitrate||8||2||2||nitrate,Tb,Dy,9,1,0,1,0.00275161120632439,-0.004406420225833596,-0.013000000000000123,9,9,233
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O||nitrate||9||3||0||nitrate,Eu,Gd,7,1,3,4,0.005313550532627389,-0.002419433207033528,-0.013000000000000123,9,9,343
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC||nitrate||8||2||0||nitrate,Tb,Dy,9,1,-3,-2,0.007740117320485175,-0.00504771129971493,-0.013000000000000123,8,8,337
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC||nitrate||8||2||0||nitrate,Dy,Ho,10,1,-2,-1,0.018469970711458897,-0.006141755891721612,-0.01200000000000001,8,8,337
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC||nitrate||8||2||0||nitrate,Ho,Er,11,1,-1,0,0.005176809462227542,-0.005535691450858415,-0.010999999999999899,8,8,337
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC||nitrate||8||2||0||nitrate,Er,Tm,12,1,0,1,0.030034810618156337,-0.006796462260449054,-0.010000000000000009,8,8,337
