arm_set,key,n_pairs,n_arms,row_level,pair_level,delta,lo,hi,frac_bootstrap_positive,frac_random_halves_won,n_halves
2 arms,composition_key,905,2,0.2743455639323954,0.2521839616677163,-0.022161602264679114,-0.0341092752169275,-0.002477411184881807,0.0005,0.0,200
2 arms,strict_composition_key,1417,2,0.2010904706574841,0.19850659635084722,-0.0025838743066368686,-0.008848236141345514,0.0013886717006667173,0.096,0.105,200
3 arms,composition_key,905,3,0.20602707038252388,0.2670510369446959,0.061023966562172016,-0.002447292064370243,0.08876987830025604,0.9675,0.965,200
3 arms,strict_composition_key,1417,3,0.12418433519872618,0.19560813961000467,0.07142380441127849,0.0057896283032602275,0.12013234023999259,0.9815,0.965,200
4 arms,composition_key,905,4,0.20602707038252366,0.264512436955997,0.05848536657347336,0.004797078573883707,0.08191402979071251,0.9835,0.98,200
4 arms,strict_composition_key,1417,4,0.12418433519872607,0.19115769076020883,0.06697335556148276,0.008176429611772241,0.10534546358565837,0.984,0.965,200
all arms,composition_key,904,15,0.20689344691074985,0.26582245638971935,0.05892900947896951,0.002491948208830436,0.08369219661822683,0.9825,0.995,200
all arms,strict_composition_key,1416,15,0.1308653434105851,0.1813884146720257,0.05052307126144062,0.004836410972650946,0.08384388376004967,0.9855,1.0,200
