config,preset,model,r2_overall,r2_between,r2_within,r2_within_composition,sel_logSF_r2,sel_spearman_mean,mae,not_comparable,d_r2_overall,d_r2_overall_lo,d_r2_overall_hi,d_r2_overall_p_better,d_r2_between,d_r2_between_lo,d_r2_between_hi,d_r2_between_p_better,d_r2_within,d_r2_within_lo,d_r2_within_hi,d_r2_within_p_better,d_r2_within_composition,d_r2_within_composition_lo,d_r2_within_composition_hi,d_r2_within_composition_p_better,d_mae,d_mae_lo,d_mae_hi,d_mae_p_better
cn9_light/baseline_2d_qc,baseline_2d_qc,catboost,0.5229806107696474,0.7440915636614082,0.30889238375000816,0.3101458352565436,0.4333548180409442,0.6250152447445942,0.8569316374110315,,,,,,,,,,,,,,,,,,,,,
cn9_light/baseline_2d,baseline_2d,catboost,0.5221631876503312,0.7539852652764838,0.2977040329413039,0.30593056831722754,0.4339681048265671,0.6288440287002457,0.856670885758303,,-0.0008174231193162074,-0.007948881136955577,0.011389171571036688,0.51,0.009893701615075745,0.0005918600703335721,0.027909353501926335,0.96,-0.011188350808704284,-0.016864286946381684,0.001542717429224829,0.07,-0.004215266939316065,-0.010368236481252829,0.009498677217302394,0.28,-0.0002607516527285414,-0.01348369657874901,0.007831780652508759,0.434
cn9_light/core3d_qc,core3d_qc,catboost,0.4951660636340768,0.7269719153898551,0.270722619444021,0.27809229909938626,0.32190026485523904,0.4958674961460469,0.8858802663310106,,-0.027814547135570633,-0.044151977898783216,-0.003999272504465941,0.034,-0.0171196482715531,-0.0445389132193227,0.020282592079538208,0.224,-0.038169764305987175,-0.06354177655868679,-0.02267198862388562,0.0,-0.032053536157157336,-0.05068751302180134,-0.018769066398350624,0.0,0.02894862891997907,0.0007341270657992623,0.05024692384342734,0.954
cn9_light/plus_g5,plus_g5,catboost,0.4898677893732939,0.7179348764535591,0.2690443626005393,0.275506015061592,0.31192971907431033,0.5561572431639831,0.892204129146391,,-0.03311282139635352,-0.04858239691973883,-0.014636784473966416,0.002,-0.026156687207849028,-0.04739823396641617,0.005823677675747321,0.072,-0.03984802114946884,-0.07306064196860107,-0.020269836681141594,0.0,-0.0346398201949516,-0.07646732608766982,-0.012278857683481316,0.002,0.03527249173535951,0.01796763696268754,0.05675365702119052,1.0
cn8_heavy/core3d_qc,core3d_qc,catboost,0.46970723654757673,0.6455550628240287,0.24574716027090793,0.13279417454207865,-0.09622271198360033,0.2603010137403011,0.9147253783657056,True,,,,,,,,,,,,,,,,,,,,
cn8_heavy/plus_g5,plus_g5,catboost,0.46787728534925876,0.6366090925141215,0.25298018253529464,0.12570730536460428,-0.08396300265444112,0.2994172848280761,0.9255865492413747,True,,,,,,,,,,,,,,,,,,,,
cn8_heavy/baseline_2d_qc,baseline_2d_qc,catboost,0.42189847508550393,0.6028352433259643,0.19145711408351185,0.13487831789680893,-0.00017084373985132295,0.48035812466556355,0.9573901782753885,True,,,,,,,,,,,,,,,,,,,,
cn8_heavy/baseline_2d,baseline_2d,catboost,0.4093683249522886,0.5879885515680219,0.18187731511446859,0.13208410156642603,-0.024986299285059577,0.4809241602694569,0.9704507594131994,True,,,,,,,,,,,,,,,,,,,,
