mode,n_seeds,adj_r2,r2_overall,n_rows,seconds
repseed,1,-0.04172699235285071,0.38083701078641974,4746,1070.1607434749603
grouped,1,-0.0045272107519451765,0.3156374389387495,4746,427.1065845489502
published,1,0.06840516400266283,0.368742283001791,4746,1227.4676208496094
no_stop,1,0.08613087767836913,0.37929722192703796,4746,1342.1679186820984
ensemble16,16,0.11357232162044217,0.35382570858038254,4746,16684.80004644394
std_scaler,1,0.17357012365135716,0.27361515506150713,4746,202.1042664051056
std_scaler_repseed,1,0.20066126959909503,0.31086428795200605,4746,192.37356185913086
std_scaler_ens16,16,0.22056862421151013,0.3217636429615367,4746,3129.179432630539
