queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
1,3e5d617998e4,Eu,63,3,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,"[0, 3]",2,9,2,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_6657c2fbd39d.xyz,1,large_ligand_fast,1265006576,40,5,250,0,rejected_by_nearest_coreCN_qc,False,bi_cis_chelating,data/processed/geometries_family_regenerated/template_flavonol/rejected/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_3e5d617998e4_attempt01_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_flavonol/rejected/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_3e5d617998e4_attempt01_large_ligand_fast.mol2,-4560.194059898037,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O40:2.107;O39:2.109;O3:2.138;O4:2.191;O5:2.239;O41:2.289;O8:2.448;N37:2.456;N1:2.499,2.4993,2.5192,0.0199,O40:2.107;O39:2.109;O3:2.138;O4:2.191;O5:2.239;O41:2.289;O8:2.448;N37:2.456;N1:2.499;O44:2.519;O73:2.690;O38:3.646;O2:3.671;O25:4.670;O61:4.721;O18:5.560;O54:5.616;O52:6.763;O16:8.453;O14:8.499;O50:8.512;O22:8.577;O58:8.629
1,3e5d617998e4,Eu,63,3,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,"[0, 3]",2,9,2,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_6657c2fbd39d.xyz,2,standard,1265014495,50,6,250,0,rejected_by_nearest_coreCN_qc,False,bi_cis_chelating,data/processed/geometries_family_regenerated/template_flavonol/rejected/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_3e5d617998e4_attempt02_standard.xyz,data/processed/geometries_family_regenerated/template_flavonol/rejected/Eu/Eu_Z63_ox3_CN9_nlig2_nitrate_3e5d617998e4_attempt02_standard.mol2,-4560.110979534026,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O39:2.116;O4:2.123;O40:2.128;O5:2.199;O3:2.199;O41:2.266;N37:2.472;N1:2.496;O8:2.502,2.5021,2.5060,0.0039,O39:2.116;O4:2.123;O40:2.128;O5:2.199;O3:2.199;O41:2.266;N37:2.472;N1:2.496;O8:2.502;O44:2.506;O73:2.671;O38:3.663;O2:3.671;O25:4.567;O61:4.700;O18:5.578;O54:5.585;O52:8.372;O50:8.467;O22:8.536;O58:8.606;O14:8.949;O16:9.063
