queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
13,cf17beddcb28,Eu,63,3,CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,"[21, 33, 34, 35]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_11c19850c8fc.xyz,1,standard,187912178,40,5,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_cf17beddcb28_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_cf17beddcb28_attempt01_standard.mol2,-3845.1931676917643,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O76:2.088;O75:2.112;O71:2.148;O72:2.167;N36:2.400;N22:2.440;N73:2.442;N69:2.488;N35:2.619,2.6194,2.6250,0.0055,O76:2.088;O75:2.112;O71:2.148;O72:2.167;N36:2.400;N22:2.440;N73:2.442;N69:2.488;N35:2.619;N34:2.625;O77:2.664;N37:3.097;N23:3.169;O74:3.636;O70:3.649;N9:4.620;N26:4.692;S4:6.990;S30:7.076
13,cf17beddcb28,Eu,63,3,CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,"[21, 33, 34, 35]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_11c19850c8fc.xyz,2,large_ligand_fast,187920097,50,6,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_cf17beddcb28_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_cf17beddcb28_attempt02_large_ligand_fast.mol2,-3845.223535404795,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O76:2.087;O75:2.109;O72:2.147;O71:2.173;N36:2.386;N22:2.433;N73:2.441;N69:2.485;N35:2.615,2.6153,2.6194,0.0040,O76:2.087;O75:2.109;O72:2.147;O71:2.173;N36:2.386;N22:2.433;N73:2.441;N69:2.485;N35:2.615;N34:2.619;O77:2.650;N37:3.083;N23:3.163;O74:3.635;O70:3.642;N9:4.607;N26:4.686;S4:6.978;S30:7.072
29,85f24a4c19c9,Eu,63,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,"[26, 27, 28, 29]",4,9,1,water,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_water_b42eadd4a6e5.xyz,1,standard,83831407,40,5,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/template_pincer/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_water_85f24a4c19c9_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_water_85f24a4c19c9_attempt01_standard.mol2,-3043.7727030440105,,OK,nearest_coreCN_qc_ok,N29:2.446;N30:2.462;O59:2.463;N27:2.489;N28:2.490;O68:2.623;O62:2.692;O65:2.700;O71:2.834,2.8342,3.3755,0.5414,N29:2.446;N30:2.462;O59:2.463;N27:2.489;N28:2.490;O68:2.623;O62:2.692;O65:2.700;O71:2.834;N31:3.376;N10:4.603
45,17eeb12c2d08,Nd,60,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[7, 15, 28]",3,9,3,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_c24902aaaf79.xyz,1,standard,379077351,40,5,250,0,accepted,True,tri_mer_bent,data/processed/geometries_family_regenerated/template_pincer/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_17eeb12c2d08_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_17eeb12c2d08_attempt01_standard.mol2,-7687.818038019342,,OK,nearest_coreCN_qc_ok,N81:2.346;N8:2.406;N146:2.414;N16:2.541;N29:2.549;N138:2.625;N94:2.637;N73:2.642;N159:2.788,2.7881,2.8975,0.1094,N81:2.346;N8:2.406;N146:2.414;N16:2.541;N29:2.549;N138:2.625;N94:2.637;N73:2.642;N159:2.788;N147:2.897;N82:3.049;N7:3.113;N17:3.320;N137:3.330;N72:3.446;N30:4.602;N85:4.609;N150:4.661;N20:4.717;N160:4.846;N95:4.850
61,88b2fe6d4513,Tm,69,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[7, 15, 28]",3,9,3,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tm/Tm_Z69_ox3_CN8_nlig1_nitrate_7b3aca9f455b.xyz,1,standard,1756037400,40,5,250,0,accepted,True,tri_mer_bent,data/processed/geometries_family_regenerated/template_pincer/accepted/Tm/Tm_Z69_ox3_CN9_nlig3_nitrate_88b2fe6d4513_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Tm/Tm_Z69_ox3_CN9_nlig3_nitrate_88b2fe6d4513_attempt01_standard.mol2,-7685.726885159807,,OK,nearest_coreCN_qc_ok,N8:2.351;N73:2.372;N146:2.374;N81:2.505;N29:2.505;N94:2.574;N138:2.600;N16:2.612;N159:2.627,2.6267,3.0370,0.4103,N8:2.351;N73:2.372;N146:2.374;N81:2.505;N29:2.505;N94:2.574;N138:2.600;N16:2.612;N159:2.627;N147:3.037;N72:3.101;N7:3.139;N82:3.239;N137:3.388;N17:3.500;N30:4.567;N95:4.573;N150:4.608;N85:4.720;N20:4.764;N160:4.807
