queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,attempts_run,best_qc_class,best_coreCN_max_dist,best_gap_after_coreCN,best_xyz_path,best_failed_xyz_path,failure_note,accepted_for_clean_3d_features,ligtype_override
22,e0774a1f16ed,Eu,63,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,9,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.5653,0.0439,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_e0774a1f16ed_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_e0774a1f16ed_attempt02_large_ligand_fast.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
31,cb692aadc103,Gd,64,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,9,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.5785,0.0295,data/processed/geometries_family_regenerated/template_pincer/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_cb692aadc103_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_cb692aadc103_attempt01_standard.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
32,12617cf87837,Gd,64,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,9,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.5815,0.029,data/processed/geometries_family_regenerated/template_pincer/rejected/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_12617cf87837_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Gd/Gd_Z64_ox3_CN9_nlig1_nitrate_12617cf87837_attempt01_standard.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
37,877a364053d7,La,57,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,9,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.5974,0.003,data/processed/geometries_family_regenerated/template_pincer/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_877a364053d7_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/La/La_Z57_ox3_CN9_nlig1_nitrate_877a364053d7_attempt02_large_ligand_fast.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
40,bf70a6327be6,La,57,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,9,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.6116,0.0256,data/processed/geometries_family_regenerated/template_pincer/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_bf70a6327be6_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/La/La_Z57_ox3_CN9_nlig1_nitrate_bf70a6327be6_attempt02_large_ligand_fast.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
42,58a409ad735b,Lu,71,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,8,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.4795,0.0925,data/processed/geometries_family_regenerated/template_pincer/rejected/Lu/Lu_Z71_ox3_CN8_nlig1_nitrate_58a409ad735b_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Lu/Lu_Z71_ox3_CN8_nlig1_nitrate_58a409ad735b_attempt02_large_ligand_fast.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
43,1e406462b863,Lu,71,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,8,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.4539,0.0746,data/processed/geometries_family_regenerated/template_pincer/rejected/Lu/Lu_Z71_ox3_CN8_nlig1_nitrate_1e406462b863_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Lu/Lu_Z71_ox3_CN8_nlig1_nitrate_1e406462b863_attempt02_large_ligand_fast.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
44,3d655ed61f71,Nd,60,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,9,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.6112,0.0067,data/processed/geometries_family_regenerated/template_pincer/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_3d655ed61f71_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_3d655ed61f71_attempt02_large_ligand_fast.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
46,524f1979e1e5,Nd,60,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,9,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.6278,0.0197,data/processed/geometries_family_regenerated/template_pincer/rejected/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_524f1979e1e5_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Nd/Nd_Z60_ox3_CN9_nlig1_nitrate_524f1979e1e5_attempt02_large_ligand_fast.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
48,b0f810f696d4,Pr,59,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,9,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.5946,0.0266,data/processed/geometries_family_regenerated/template_pincer/rejected/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_b0f810f696d4_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_b0f810f696d4_attempt02_large_ligand_fast.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
51,11c653f8c68c,Pr,59,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,9,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.6429,0.0396,data/processed/geometries_family_regenerated/template_pincer/rejected/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_11c653f8c68c_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Pr/Pr_Z59_ox3_CN9_nlig1_nitrate_11c653f8c68c_attempt02_large_ligand_fast.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
53,fd596e20d9c3,Sm,62,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,9,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.6251,0.0083,data/processed/geometries_family_regenerated/template_pincer/rejected/Sm/Sm_Z62_ox3_CN9_nlig1_nitrate_fd596e20d9c3_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Sm/Sm_Z62_ox3_CN9_nlig1_nitrate_fd596e20d9c3_attempt01_standard.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
55,3c4fdbb73108,Sm,62,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,9,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.5626,0.0356,data/processed/geometries_family_regenerated/template_pincer/rejected/Sm/Sm_Z62_ox3_CN9_nlig1_nitrate_3c4fdbb73108_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Sm/Sm_Z62_ox3_CN9_nlig1_nitrate_3c4fdbb73108_attempt02_large_ligand_fast.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
58,c5b62f89dd75,Tb,65,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,8,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.5072,0.06,data/processed/geometries_family_regenerated/template_pincer/rejected/Tb/Tb_Z65_ox3_CN8_nlig1_nitrate_c5b62f89dd75_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Tb/Tb_Z65_ox3_CN8_nlig1_nitrate_c5b62f89dd75_attempt02_large_ligand_fast.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
60,954cea314d96,Tm,69,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,8,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.4974,0.0691,data/processed/geometries_family_regenerated/template_pincer/rejected/Tm/Tm_Z69_ox3_CN8_nlig1_nitrate_954cea314d96_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Tm/Tm_Z69_ox3_CN8_nlig1_nitrate_954cea314d96_attempt01_standard.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
63,6d3e44b6c9fb,Yb,70,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,8,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.475,0.0384,data/processed/geometries_family_regenerated/template_pincer/rejected/Yb/Yb_Z70_ox3_CN8_nlig1_nitrate_6d3e44b6c9fb_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Yb/Yb_Z70_ox3_CN8_nlig1_nitrate_6d3e44b6c9fb_attempt01_standard.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
64,132184907ac8,Yb,70,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,8,1,nitrate,,2,BORDERLINE_AMBIGUOUS_SHELL,2.4484,0.0904,data/processed/geometries_family_regenerated/template_pincer/rejected/Yb/Yb_Z70_ox3_CN8_nlig1_nitrate_132184907ac8_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/best_failed/Yb/Yb_Z70_ox3_CN8_nlig1_nitrate_132184907ac8_attempt01_standard.xyz,gap_after_coreCN<0.10,False,tetra_planar_bent
