queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,accepted_attempt,accepted_xyz_path,accepted_mol2_path,qc_class,coreCN_max_dist,gap_after_coreCN,nearest_coreCN_sig,accepted_for_clean_3d_features,ligtype_override
28,d69bcbed26a0,Eu,63,3,CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,"[21, 33, 34, 35]",4,9,1,water,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_water_d69bcbed26a0_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_water_d69bcbed26a0_attempt01_standard.mol2,OK,2.7992,0.3187,N22:2.330;N36:2.350;O69:2.445;N35:2.489;N34:2.506;O72:2.627;O75:2.635;O81:2.702;O78:2.799,True,tetra_planar_bent
29,85f24a4c19c9,Eu,63,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,"[26, 27, 28, 29]",4,9,1,water,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_water_85f24a4c19c9_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Eu/Eu_Z63_ox3_CN9_nlig1_water_85f24a4c19c9_attempt01_standard.mol2,OK,2.8342,0.5414,N29:2.446;N30:2.462;O59:2.463;N27:2.489;N28:2.490;O68:2.623;O62:2.692;O65:2.700;O71:2.834,True,tetra_planar_bent
30,ddcd093eef63,Gd,64,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[7, 15, 28]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_ddcd093eef63_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Gd/Gd_Z64_ox3_CN9_nlig3_nitrate_ddcd093eef63_attempt01_standard.mol2,OK,2.6143,0.5155,N16:2.386;N138:2.404;N81:2.409;N29:2.513;N73:2.515;N94:2.521;N8:2.543;N159:2.567;N146:2.614,True,tri_mer_bent
33,21e525fbd19c,Ho,67,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,8,1,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_21e525fbd19c_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_21e525fbd19c_attempt01_standard.mol2,OK,2.5151,0.1345,O97:2.095;O98:2.135;O102:2.136;O101:2.152;N8:2.386;N21:2.456;N95:2.466;N99:2.515,True,tetra_planar_bent
34,b0f948efeb96,Ho,67,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[7, 15, 28]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Ho/Ho_Z67_ox3_CN9_nlig3_nitrate_b0f948efeb96_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Ho/Ho_Z67_ox3_CN9_nlig3_nitrate_b0f948efeb96_attempt01_standard.mol2,OK,2.6425,0.4035,N81:2.411;N138:2.422;N73:2.437;N146:2.487;N16:2.491;N94:2.565;N159:2.579;N29:2.615;N8:2.642,True,tri_mer_bent
35,171464402dab,Ho,67,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,8,1,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_171464402dab_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_171464402dab_attempt01_standard.mol2,OK,2.5009,0.1095,O82:2.078;O85:2.123;O81:2.132;O86:2.159;N23:2.386;N38:2.394;N79:2.442;N83:2.501,True,tetra_planar_bent
36,633bb9a91abb,Ho,67,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[5, 13, 24]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Ho/Ho_Z67_ox3_CN9_nlig3_nitrate_633bb9a91abb_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Ho/Ho_Z67_ox3_CN9_nlig3_nitrate_633bb9a91abb_attempt01_standard.mol2,OK,2.6569,0.558,N6:2.439;N67:2.480;N75:2.490;N128:2.511;N14:2.519;N136:2.559;N25:2.586;N86:2.643;N147:2.657,True,tri_mer_bent
38,ca803c71b2b1,La,57,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[7, 15, 28]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/La/La_Z57_ox3_CN9_nlig3_nitrate_ca803c71b2b1_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/La/La_Z57_ox3_CN9_nlig3_nitrate_ca803c71b2b1_attempt01_standard.mol2,OK,2.6282,0.6949,N73:2.483;N138:2.515;N94:2.533;N29:2.540;N159:2.545;N16:2.547;N146:2.589;N81:2.626;N8:2.628,True,tri_mer_bent
39,d344f93c2bca,La,57,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[5, 13, 24]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/La/La_Z57_ox3_CN9_nlig3_nitrate_d344f93c2bca_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/La/La_Z57_ox3_CN9_nlig3_nitrate_d344f93c2bca_attempt01_standard.mol2,OK,2.5443,0.7711,N75:2.463;N67:2.495;N128:2.501;N25:2.517;N136:2.519;N86:2.520;N14:2.537;N147:2.537;N6:2.544,True,tri_mer_bent
41,f572badf7b00,Lu,71,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[7, 15, 28]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Lu/Lu_Z71_ox3_CN9_nlig3_nitrate_f572badf7b00_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Lu/Lu_Z71_ox3_CN9_nlig3_nitrate_f572badf7b00_attempt01_standard.mol2,OK,2.7559,0.2504,N73:2.314;N8:2.341;N146:2.383;N138:2.429;N16:2.429;N81:2.518;N29:2.562;N94:2.607;N159:2.756,True,tri_mer_bent
45,17eeb12c2d08,Nd,60,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[7, 15, 28]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_17eeb12c2d08_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_17eeb12c2d08_attempt01_standard.mol2,OK,2.7881,0.1094,N81:2.346;N8:2.406;N146:2.414;N16:2.541;N29:2.549;N138:2.625;N94:2.637;N73:2.642;N159:2.788,True,tri_mer_bent
47,6b6af1c74412,Nd,60,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[5, 13, 24]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_6b6af1c74412_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Nd/Nd_Z60_ox3_CN9_nlig3_nitrate_6b6af1c74412_attempt01_standard.mol2,OK,2.5957,0.6443,N67:2.457;N6:2.480;N25:2.487;N128:2.501;N14:2.565;N75:2.581;N86:2.587;N136:2.588;N147:2.596,True,tri_mer_bent
49,b70074b9c893,Pr,59,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[5, 13, 24]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_b70074b9c893_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_b70074b9c893_attempt01_standard.mol2,OK,2.5559,0.6995,N75:2.390;N25:2.421;N6:2.427;N14:2.440;N86:2.446;N147:2.470;N128:2.490;N67:2.511;N136:2.556,True,tri_mer_bent
50,8b4027156d43,Pr,59,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[7, 15, 28]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_8b4027156d43_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Pr/Pr_Z59_ox3_CN9_nlig3_nitrate_8b4027156d43_attempt01_standard.mol2,OK,2.7446,0.2371,N81:2.389;N138:2.398;N16:2.431;N73:2.494;N8:2.630;N29:2.642;N94:2.649;N146:2.670;N159:2.745,True,tri_mer_bent
52,4f6b97b03ea1,Sm,62,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[7, 15, 28]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Sm/Sm_Z62_ox3_CN9_nlig3_nitrate_4f6b97b03ea1_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Sm/Sm_Z62_ox3_CN9_nlig3_nitrate_4f6b97b03ea1_attempt01_standard.mol2,OK,2.6759,0.3358,N81:2.379;N146:2.436;N73:2.438;N138:2.490;N8:2.515;N16:2.593;N94:2.655;N159:2.673;N29:2.676,True,tri_mer_bent
54,7429951183bc,Sm,62,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[5, 13, 24]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Sm/Sm_Z62_ox3_CN9_nlig3_nitrate_7429951183bc_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Sm/Sm_Z62_ox3_CN9_nlig3_nitrate_7429951183bc_attempt01_standard.mol2,OK,2.5707,0.7055,N67:2.452;N14:2.457;N136:2.465;N128:2.474;N75:2.476;N86:2.486;N6:2.526;N147:2.545;N25:2.571,True,tri_mer_bent
56,9ac46db09c4b,Tb,65,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,8,1,nitrate,,2,data/processed/geometries_family_regenerated/template_pincer/accepted/Tb/Tb_Z65_ox3_CN8_nlig1_nitrate_9ac46db09c4b_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Tb/Tb_Z65_ox3_CN8_nlig1_nitrate_9ac46db09c4b_attempt02_large_ligand_fast.mol2,OK,2.4777,0.1354,O101:2.105;O98:2.108;O102:2.122;O97:2.140;N21:2.357;N8:2.412;N95:2.471;N99:2.478,True,tetra_planar_bent
57,257529852176,Tb,65,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[7, 15, 28]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Tb/Tb_Z65_ox3_CN9_nlig3_nitrate_257529852176_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Tb/Tb_Z65_ox3_CN9_nlig3_nitrate_257529852176_attempt01_standard.mol2,OK,2.734,0.3568,N73:2.407;N16:2.456;N138:2.473;N81:2.502;N8:2.507;N146:2.579;N29:2.607;N159:2.670;N94:2.734,True,tri_mer_bent
59,f9bcf88fa10e,Tb,65,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[5, 13, 24]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Tb/Tb_Z65_ox3_CN9_nlig3_nitrate_f9bcf88fa10e_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Tb/Tb_Z65_ox3_CN9_nlig3_nitrate_f9bcf88fa10e_attempt01_standard.mol2,OK,2.5557,0.6426,N75:2.421;N136:2.424;N6:2.446;N67:2.461;N128:2.502;N14:2.506;N147:2.512;N86:2.529;N25:2.556,True,tri_mer_bent
61,88b2fe6d4513,Tm,69,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[7, 15, 28]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Tm/Tm_Z69_ox3_CN9_nlig3_nitrate_88b2fe6d4513_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Tm/Tm_Z69_ox3_CN9_nlig3_nitrate_88b2fe6d4513_attempt01_standard.mol2,OK,2.6267,0.4103,N8:2.351;N73:2.372;N146:2.374;N81:2.505;N29:2.505;N94:2.574;N138:2.600;N16:2.612;N159:2.627,True,tri_mer_bent
62,0aecd3489a9f,Tm,69,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[5, 13, 24]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Tm/Tm_Z69_ox3_CN9_nlig3_nitrate_0aecd3489a9f_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Tm/Tm_Z69_ox3_CN9_nlig3_nitrate_0aecd3489a9f_attempt01_standard.mol2,OK,2.5288,0.7014,N25:2.430;N67:2.431;N75:2.433;N6:2.441;N147:2.457;N128:2.460;N86:2.464;N136:2.467;N14:2.529,True,tri_mer_bent
65,fab4dd563558,Yb,70,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[5, 13, 24]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Yb/Yb_Z70_ox3_CN9_nlig3_nitrate_fab4dd563558_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Yb/Yb_Z70_ox3_CN9_nlig3_nitrate_fab4dd563558_attempt01_standard.mol2,OK,2.4861,0.7539,N6:2.370;N25:2.396;N147:2.413;N86:2.418;N14:2.423;N67:2.429;N75:2.437;N136:2.466;N128:2.486,True,tri_mer_bent
66,8a9d686f7b7f,Yb,70,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[7, 15, 28]",3,9,3,nitrate,,1,data/processed/geometries_family_regenerated/template_pincer/accepted/Yb/Yb_Z70_ox3_CN9_nlig3_nitrate_8a9d686f7b7f_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Yb/Yb_Z70_ox3_CN9_nlig3_nitrate_8a9d686f7b7f_attempt01_standard.mol2,OK,2.5621,0.5864,N138:2.356;N29:2.429;N146:2.451;N159:2.456;N73:2.464;N94:2.467;N16:2.489;N8:2.519;N81:2.562,True,tri_mer_bent
