queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
8,a8cebae3a691,Dy,66,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[5, 13, 24]",3,9,3,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Dy/Dy_Z66_ox3_CN8_nlig1_nitrate_fefdc4e8deb0.xyz,1,standard,1924202277,40,5,250,0,accepted,True,tri_mer_bent,data/processed/geometries_family_regenerated/template_pincer/accepted/Dy/Dy_Z66_ox3_CN9_nlig3_nitrate_a8cebae3a691_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Dy/Dy_Z66_ox3_CN9_nlig3_nitrate_a8cebae3a691_attempt01_standard.mol2,-6983.956204517225,,OK,nearest_coreCN_qc_ok,N136:2.380;N75:2.408;N6:2.419;N128:2.439;N67:2.440;N14:2.455;N86:2.496;N25:2.499;N147:2.509,2.5091,3.1842,0.6752,N136:2.380;N75:2.408;N6:2.419;N128:2.439;N67:2.440;N14:2.455;N86:2.496;N25:2.499;N147:2.509;N137:3.184;N127:3.222;N76:3.234;N5:3.258;N66:3.267;N15:3.293;N148:4.574;N85:4.583;N146:4.585;N26:4.594;N87:4.599;N24:4.626
40,bf70a6327be6,La,57,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig1_nitrate_fa1405552d8e.xyz,1,standard,1123968992,40,5,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/template_pincer/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_bf70a6327be6_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_bf70a6327be6_attempt01_standard.mol2,-4016.4354362202876,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O85:2.142;O86:2.168;O82:2.215;O81:2.260;N38:2.410;N83:2.521;N37:2.567;N23:2.616;N79:2.622,2.6218,2.6282,0.0064,O85:2.142;O86:2.168;O82:2.215;O81:2.260;N38:2.410;N83:2.521;N37:2.567;N23:2.616;N79:2.622;N36:2.628;O87:2.649;N39:3.225;N24:3.439;O84:3.711;O80:3.811;N10:4.606;N27:4.806
40,bf70a6327be6,La,57,3,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,"[22, 35, 36, 37]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/La/La_Z57_ox3_CN9_nlig1_nitrate_fa1405552d8e.xyz,2,large_ligand_fast,1123976911,50,6,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/template_pincer/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_bf70a6327be6_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/rejected/La/La_Z57_ox3_CN9_nlig1_nitrate_bf70a6327be6_attempt02_large_ligand_fast.mol2,-4016.493093895807,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O85:2.140;O86:2.163;O82:2.211;O81:2.295;N38:2.449;N83:2.506;N23:2.529;N37:2.584;N36:2.612,2.6116,2.6371,0.0256,O85:2.140;O86:2.163;O82:2.211;O81:2.295;N38:2.449;N83:2.506;N23:2.529;N37:2.584;N36:2.612;N79:2.637;O87:2.715;N39:3.250;N24:3.325;O84:3.691;O80:3.828;N10:4.645;N27:4.733
56,9ac46db09c4b,Tb,65,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,8,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tb/Tb_Z65_ox3_CN8_nlig1_nitrate_507be9f6716c.xyz,1,standard,2016286868,40,5,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/template_pincer/rejected/Tb/Tb_Z65_ox3_CN8_nlig1_nitrate_9ac46db09c4b_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/rejected/Tb/Tb_Z65_ox3_CN8_nlig1_nitrate_9ac46db09c4b_attempt01_standard.mol2,-4272.571755881122,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O97:2.120;O101:2.125;O102:2.131;O98:2.171;N8:2.442;N21:2.456;N99:2.504;N95:2.517,2.5173,2.5877,0.0703,O97:2.120;O101:2.125;O102:2.131;O98:2.171;N8:2.442;N21:2.456;N99:2.504;N95:2.517;N36:2.588;N37:2.592;N7:3.235;N22:3.250;O100:3.691;O96:3.703;N38:4.652;N35:4.667
56,9ac46db09c4b,Tb,65,3,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,"[7, 20, 35, 36]",4,8,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Tb/Tb_Z65_ox3_CN8_nlig1_nitrate_507be9f6716c.xyz,2,large_ligand_fast,2016294787,50,6,250,0,accepted,True,tetra_planar_bent,data/processed/geometries_family_regenerated/template_pincer/accepted/Tb/Tb_Z65_ox3_CN8_nlig1_nitrate_9ac46db09c4b_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Tb/Tb_Z65_ox3_CN8_nlig1_nitrate_9ac46db09c4b_attempt02_large_ligand_fast.mol2,-4272.994009432158,,OK,nearest_coreCN_qc_ok,O101:2.105;O98:2.108;O102:2.122;O97:2.140;N21:2.357;N8:2.412;N95:2.471;N99:2.478,2.4777,2.6131,0.1354,O101:2.105;O98:2.108;O102:2.122;O97:2.140;N21:2.357;N8:2.412;N95:2.471;N99:2.478;N36:2.613;N37:2.617;N22:3.120;N7:3.223;O96:3.640;O100:3.665;N35:4.586;N38:4.606
