queue_index,build_id,metal_symbol,Atomic Number_metal,metal_ox,smiles_for_architector_used,COORDLIST,DENTATE,coreCN,n_ligs,inner_sphere_anion,geometry_key,source_xyz_path,attempt,profile,seed,n_symmetries,n_conformers,xtb_max_iterations,returncode,attempt_status,accepted_for_clean_3d_features,ligtype_override,generated_xyz_path,generated_mol2_path,energy_eV,note,qc_class,qc_note,nearest_coreCN_sig,coreCN_max_dist,next_donor_dist,gap_after_coreCN,all_nearest
4,db492aca339e,Ce,58,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[5, 13, 24]",3,9,3,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ce/Ce_Z58_ox3_CN9_nlig1_nitrate_9fa96db16fe2.xyz,1,standard,1453439131,40,5,250,0,accepted,True,tri_mer_bent,data/processed/geometries_family_regenerated/template_pincer/accepted/Ce/Ce_Z58_ox3_CN9_nlig3_nitrate_db492aca339e_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Ce/Ce_Z58_ox3_CN9_nlig3_nitrate_db492aca339e_attempt01_standard.mol2,-6986.273111097389,,OK,nearest_coreCN_qc_ok,N67:2.474;N128:2.492;N75:2.492;N14:2.501;N6:2.507;N136:2.528;N86:2.564;N25:2.574;N147:2.584,2.5845,3.2889,0.7044,N67:2.474;N128:2.492;N75:2.492;N14:2.501;N6:2.507;N136:2.528;N86:2.564;N25:2.574;N147:2.584;N66:3.289;N127:3.293;N15:3.306;N76:3.327;N137:3.335;N5:3.345;N87:4.665;N24:4.675;N26:4.680;N148:4.680;N85:4.681;N146:4.705
20,99c2c5354425,Eu,63,3,CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,"[21, 33, 34, 35]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_8d3294e0ac8d.xyz,1,standard,850810711,40,5,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_99c2c5354425_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_99c2c5354425_attempt01_standard.mol2,-3889.708927904821,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O76:2.094;O75:2.119;O71:2.166;O72:2.174;N36:2.378;N22:2.420;N73:2.454;N69:2.506;N35:2.627,2.6265,2.6322,0.0057,O76:2.094;O75:2.119;O71:2.166;O72:2.174;N36:2.378;N22:2.420;N73:2.454;N69:2.506;N35:2.627;N34:2.632;O77:2.653;N37:3.069;N23:3.131;O74:3.647;O70:3.671;N9:4.630;N26:4.691;O4:6.622;O30:6.689
20,99c2c5354425,Eu,63,3,CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,"[21, 33, 34, 35]",4,9,1,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_8d3294e0ac8d.xyz,2,large_ligand_fast,850818630,50,6,250,0,rejected_by_nearest_coreCN_qc,False,tetra_planar_bent,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_99c2c5354425_attempt02_large_ligand_fast.xyz,data/processed/geometries_family_regenerated/template_pincer/rejected/Eu/Eu_Z63_ox3_CN9_nlig1_nitrate_99c2c5354425_attempt02_large_ligand_fast.mol2,-3889.6767954861184,,BORDERLINE_AMBIGUOUS_SHELL,gap_after_coreCN<0.10,O76:2.083;O75:2.115;O71:2.159;O72:2.185;N36:2.423;N73:2.443;N22:2.454;N69:2.516;N35:2.592,2.5919,2.6191,0.0272,O76:2.083;O75:2.115;O71:2.159;O72:2.185;N36:2.423;N73:2.443;N22:2.454;N69:2.516;N35:2.592;N34:2.619;O77:2.653;N37:3.112;N23:3.163;O74:3.636;O70:3.683;N9:4.600;N26:4.712;O4:6.615;O30:6.718
36,633bb9a91abb,Ho,67,3,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,"[5, 13, 24]",3,9,3,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Ho/Ho_Z67_ox3_CN8_nlig1_nitrate_a25c92c2c3c2.xyz,1,standard,1351704323,40,5,250,0,accepted,True,tri_mer_bent,data/processed/geometries_family_regenerated/template_pincer/accepted/Ho/Ho_Z67_ox3_CN9_nlig3_nitrate_633bb9a91abb_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Ho/Ho_Z67_ox3_CN9_nlig3_nitrate_633bb9a91abb_attempt01_standard.mol2,-6983.818891888725,,OK,nearest_coreCN_qc_ok,N6:2.439;N67:2.480;N75:2.490;N128:2.511;N14:2.519;N136:2.559;N25:2.586;N86:2.643;N147:2.657,2.6569,3.2149,0.5580,N6:2.439;N67:2.480;N75:2.490;N128:2.511;N14:2.519;N136:2.559;N25:2.586;N86:2.643;N147:2.657;N66:3.215;N127:3.258;N5:3.266;N76:3.281;N15:3.286;N137:3.389;N26:4.642;N87:4.670;N24:4.692;N148:4.711;N85:4.720;N146:4.732
52,4f6b97b03ea1,Sm,62,3,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,"[7, 15, 28]",3,9,3,nitrate,,/nfs/home/nshank3/lanthanide_dataset_builder/data/geometries/Sm/Sm_Z62_ox3_CN9_nlig1_nitrate_a2a36cd7a4f4.xyz,1,standard,1284329797,40,5,250,0,accepted,True,tri_mer_bent,data/processed/geometries_family_regenerated/template_pincer/accepted/Sm/Sm_Z62_ox3_CN9_nlig3_nitrate_4f6b97b03ea1_attempt01_standard.xyz,data/processed/geometries_family_regenerated/template_pincer/accepted/Sm/Sm_Z62_ox3_CN9_nlig3_nitrate_4f6b97b03ea1_attempt01_standard.mol2,-7687.709504047687,,OK,nearest_coreCN_qc_ok,N81:2.379;N146:2.436;N73:2.438;N138:2.490;N8:2.515;N16:2.593;N94:2.655;N159:2.673;N29:2.676,2.6759,3.0117,0.3358,N81:2.379;N146:2.436;N73:2.438;N138:2.490;N8:2.515;N16:2.593;N94:2.655;N159:2.673;N29:2.676;N82:3.012;N72:3.082;N137:3.149;N147:3.157;N7:3.309;N17:3.326;N95:4.630;N85:4.638;N150:4.705;N160:4.721;N30:4.737;N20:4.836
